#MCS	AdhesionEnergy
0	23062.0
10	25418.0
20	25753.0
30	25295.0
40	25399.0
50	25237.0
60	25182.0
70	24860.0
80	25295.0
90	25047.0
100	25246.0
110	25032.0
120	24793.0
130	25144.0
140	24835.0
150	24747.0
160	24776.0
170	24505.0
180	24704.0
190	24627.0
200	24552.0
210	24969.0
220	24927.0
230	24489.0
240	24293.0
250	24095.0
260	24221.0
270	24627.0
280	24439.0
290	24675.0
300	24444.0
310	24559.0
320	24153.0
330	24423.0
340	24396.0
350	24467.0
360	24359.0
370	24670.0
380	24309.0
390	24455.0
400	24464.0
410	24462.0
420	24866.0
430	24390.0
440	24413.0
450	24483.0
460	24484.0
470	24514.0
480	24471.0
490	24137.0
500	24480.0
510	24727.0
520	24187.0
530	24266.0
540	24154.0
550	24267.0
560	24422.0
570	24234.0
580	24169.0
590	24728.0
600	24610.0
610	24467.0
620	24680.0
630	24502.0
640	24259.0
650	24195.0
660	24718.0
670	24268.0
680	24522.0
690	24374.0
700	24543.0
710	24269.0
720	24462.0
730	24470.0
740	24159.0
750	24068.0
760	24350.0
770	24270.0
780	24286.0
790	24679.0
800	24396.0
810	24512.0
820	24536.0
830	24526.0
840	24572.0
850	24197.0
860	24382.0
870	24401.0
880	24351.0
890	24391.0
900	24164.0
910	24355.0
920	24376.0
930	24269.0
940	24077.0
950	24249.0
960	24363.0
970	24361.0
980	24116.0
990	24434.0
1000	23941.0
1010	24028.0
1020	24058.0
1030	24233.0
1040	24135.0
1050	23924.0
1060	24111.0
1070	24072.0
1080	24070.0
1090	24311.0
1100	23936.0
1110	23757.0
1120	24507.0
1130	24181.0
1140	23760.0
1150	24303.0
1160	23986.0
1170	24081.0
1180	24130.0
1190	24075.0
1200	24055.0
1210	24211.0
1220	24327.0
1230	24086.0
1240	23939.0
1250	23977.0
1260	23881.0
1270	23866.0
1280	23826.0
1290	23800.0
1300	23907.0
1310	23831.0
1320	23833.0
1330	24500.0
1340	24069.0
1350	23986.0
1360	23793.0
1370	23946.0
1380	24076.0
1390	23976.0
1400	24045.0
1410	24058.0
1420	24088.0
1430	23979.0
1440	24351.0
1450	23920.0
1460	23880.0
1470	23898.0
1480	23528.0
1490	24076.0
1500	23666.0
1510	23833.0
1520	23996.0
1530	23821.0
1540	24014.0
1550	23862.0
1560	24452.0
1570	24213.0
1580	23755.0
1590	24164.0
1600	24085.0
1610	24039.0
1620	23983.0
1630	24169.0
1640	24151.0
1650	23738.0
1660	23675.0
1670	23991.0
1680	23863.0
1690	23655.0
1700	23897.0
1710	23934.0
1720	23946.0
1730	23733.0
1740	23747.0
1750	24117.0
1760	23962.0
1770	24206.0
1780	24005.0
1790	24089.0
1800	23979.0
1810	23815.0
1820	23870.0
1830	23978.0
1840	24238.0
1850	23932.0
1860	23684.0
1870	23604.0
1880	23937.0
1890	23893.0
1900	23799.0
1910	23554.0
1920	23715.0
1930	23875.0
1940	23999.0
1950	23826.0
1960	24068.0
1970	23600.0
1980	23777.0
1990	24184.0
2000	23720.0
2010	23947.0
2020	23770.0
2030	23878.0
2040	23996.0
2050	24010.0
2060	24009.0
2070	23807.0
2080	24072.0
2090	24187.0
2100	23974.0
2110	24174.0
2120	23740.0
2130	23734.0
2140	24205.0
2150	23788.0
2160	23858.0
2170	24016.0
2180	23621.0
2190	24098.0
2200	24132.0
2210	24121.0
2220	23820.0
