#MCS	TotalEnergy
0	23988.0
10	26926.0
20	27585.0
30	27417.0
40	27281.0
50	27293.0
60	27270.0
70	27304.0
80	27837.0
90	27773.0
100	27772.0
110	27458.0
120	27065.0
130	27468.0
140	27691.0
150	27401.0
160	27478.0
170	27355.0
180	27756.0
190	27137.0
200	27322.0
210	27705.0
220	27485.0
230	27261.0
240	27001.0
250	26969.0
260	27287.0
270	27183.0
280	27001.0
290	27479.0
300	26980.0
310	27497.0
320	27125.0
330	27237.0
340	27286.0
350	26991.0
360	26843.0
370	27040.0
380	26797.0
390	27145.0
400	27300.0
410	27316.0
420	27642.0
430	27382.0
440	27251.0
450	27197.0
460	27152.0
470	27202.0
480	27163.0
490	26859.0
500	27516.0
510	27395.0
520	26985.0
530	26804.0
540	26672.0
550	26725.0
560	26756.0
570	27054.0
580	27005.0
590	27100.0
600	26966.0
610	26629.0
620	27136.0
630	26990.0
640	26951.0
650	26847.0
660	27118.0
670	27238.0
680	27226.0
690	26952.0
700	27121.0
710	26789.0
720	27172.0
730	26988.0
740	26873.0
750	26900.0
760	26716.0
770	26378.0
780	26874.0
790	27121.0
800	27012.0
810	26968.0
820	26930.0
830	26736.0
840	26972.0
850	26519.0
860	27034.0
870	27267.0
880	27259.0
890	27023.0
900	26984.0
910	26935.0
920	26946.0
930	26883.0
940	26799.0
950	26603.0
960	26889.0
970	26847.0
980	26510.0
990	26634.0
1000	26657.0
1010	26562.0
1020	26688.0
1030	26779.0
1040	26927.0
1050	26632.0
1060	26937.0
1070	26948.0
1080	26946.0
1090	27033.0
1100	26480.0
1110	26341.0
1120	27273.0
1130	26961.0
1140	26764.0
1150	26943.0
1160	26780.0
1170	26965.0
1180	27050.0
1190	26947.0
1200	26875.0
1210	26951.0
1220	26951.0
1230	27142.0
1240	27021.0
1250	26905.0
1260	26827.0
1270	26718.0
1280	26582.0
1290	26436.0
1300	26569.0
1310	26629.0
1320	26497.0
1330	27302.0
1340	26717.0
1350	26688.0
1360	26647.0
1370	26574.0
1380	26864.0
1390	26680.0
1400	26447.0
1410	26776.0
1420	26422.0
1430	26633.0
1440	27325.0
1450	26626.0
1460	26524.0
1470	26588.0
1480	26276.0
1490	26914.0
1500	26190.0
1510	26405.0
1520	26674.0
1530	26585.0
1540	26528.0
1550	26636.0
1560	27066.0
1570	26783.0
1580	26143.0
1590	26682.0
1600	26617.0
1610	26871.0
1620	26647.0
1630	26935.0
1640	26849.0
1650	26492.0
1660	26369.0
1670	27001.0
1680	26797.0
1690	26477.0
1700	26689.0
1710	26554.0
1720	26510.0
1730	26059.0
1740	26031.0
1750	26511.0
1760	26306.0
1770	26598.0
1780	26521.0
1790	26423.0
1800	26477.0
1810	26743.0
1820	26710.0
1830	26652.0
1840	26954.0
1850	26496.0
1860	26184.0
1870	26376.0
1880	26311.0
1890	26469.0
1900	26411.0
1910	25984.0
1920	26287.0
1930	26781.0
1940	26733.0
1950	26626.0
1960	26736.0
1970	26174.0
1980	26393.0
1990	27072.0
2000	26472.0
2010	26713.0
2020	26312.0
2030	26264.0
2040	26638.0
2050	26406.0
2060	26503.0
2070	26265.0
2080	26630.0
2090	26905.0
2100	26628.0
2110	26718.0
2120	26348.0
2130	26708.0
2140	26735.0
2150	26796.0
2160	26652.0
2170	27078.0
2180	26425.0
2190	26624.0
2200	26770.0
2210	26771.0
2220	26614.0
2230	26984.0
2240	26357.0
2250	26682.0
2260	26932.0
2270	26503.0
2280	27074.0
2290	26564.0
2300	26233.0
2310	26348.0
2320	26277.0
2330	26731.0
2340	26612.0
2350	26101.0
2360	26397.0
2370	26500.0
2380	26465.0
2390	26448.0
2400	26448.0
2410	26912.0
2420	26616.0
2430	26295.0
2440	26233.0
2450	26489.0
2460	26072.0
2470	26179.0
2480	26476.0
2490	25977.0
2500	26159.0
2510	26354.0
2520	26393.0
2530	26580.0
2540	26072.0
2550	26168.0
2560	26294.0
2570	26523.0
2580	26337.0
2590	26468.0
2600	26408.0
2610	26462.0
2620	26376.0
2630	26445.0
2640	25995.0
2650	26188.0
2660	26382.0
2670	26435.0
2680	26493.0
2690	26052.0
2700	26323.0
2710	26830.0
2720	26140.0
2730	26402.0
2740	26082.0
2750	26148.0
2760	26391.0
2770	26511.0
2780	26262.0
2790	26240.0
2800	26214.0
2810	26381.0
2820	25918.0
2830	26408.0
2840	26274.0
2850	26344.0
2860	25866.0
2870	26100.0
2880	25834.0
2890	26073.0
2900	26026.0
2910	26413.0
2920	26298.0
2930	25910.0
2940	26392.0
2950	26124.0
2960	25868.0
2970	25875.0
2980	26306.0
2990	26247.0
3000	26345.0
3010	26227.0
3020	26368.0
3030	26185.0
3040	26257.0
3050	26382.0
3060	26123.0
3070	26229.0
3080	25983.0
3090	26352.0
3100	26119.0
3110	25941.0
3120	25988.0
3130	26294.0
3140	26383.0
3150	26149.0
3160	26461.0
3170	26269.0
3180	26290.0
3190	26236.0
3200	26092.0
3210	26174.0
3220	26603.0
3230	26399.0
3240	26280.0
3250	25992.0
3260	25975.0
3270	26002.0
3280	26032.0
3290	26426.0
3300	26036.0
3310	26219.0
3320	26267.0
3330	26090.0
3340	26007.0
3350	26202.0
3360	26499.0
3370	26166.0
3380	26210.0
3390	26134.0
3400	26669.0
3410	26857.0
3420	25955.0
3430	26624.0
3440	26153.0
3450	25823.0
3460	25960.0
3470	26353.0
3480	26357.0
3490	25977.0
3500	26237.0
3510	25812.0
3520	26341.0
3530	25938.0
3540	26025.0
3550	26166.0
3560	25974.0
3570	25831.0
3580	26055.0
3590	26249.0
3600	25818.0
3610	26368.0
3620	26369.0
3630	26123.0
3640	26078.0
3650	25683.0
3660	25909.0
3670	26023.0
3680	26028.0
3690	25659.0
3700	25978.0
3710	26014.0
3720	26078.0
3730	26019.0
3740	25823.0
3750	26152.0
3760	25778.0
3770	25830.0
3780	25778.0
3790	25433.0
3800	25739.0
3810	25786.0
3820	25654.0
3830	26403.0
3840	25980.0
3850	25844.0
3860	25652.0
3870	26010.0
3880	26163.0
3890	26257.0
3900	26440.0
3910	26293.0
3920	25931.0
3930	26099.0
3940	25666.0
3950	25729.0
3960	26030.0
3970	25935.0
3980	26314.0
3990	26191.0
4000	26249.0
4010	25963.0
4020	25787.0
4030	26032.0
4040	26349.0
4050	25877.0
4060	26115.0
4070	26067.0
4080	26038.0
4090	25956.0
4100	26287.0
4110	25871.0
4120	26113.0
4130	26289.0
4140	26110.0
4150	25937.0
4160	25861.0
4170	26494.0
4180	26155.0
4190	25861.0
4200	26287.0
4210	25509.0
4220	25853.0
4230	26187.0
4240	25575.0
4250	25841.0
4260	25493.0
4270	26302.0
4280	26066.0
4290	26275.0
4300	25876.0
4310	25953.0
4320	25909.0
4330	25943.0
4340	26327.0
4350	25640.0
4360	25847.0
4370	25904.0
4380	26138.0
4390	26037.0
4400	25652.0
4410	25972.0
4420	26101.0
4430	25581.0
4440	26014.0
4450	25933.0
4460	25993.0
4470	25817.0
4480	25861.0
4490	25687.0
4500	26043.0
4510	26176.0
4520	26140.0
4530	26336.0
4540	25941.0
4550	26491.0
4560	26044.0
4570	26395.0
4580	26190.0
4590	25757.0
4600	26535.0
4610	26064.0
4620	26204.0
4630	26105.0
4640	25591.0
4650	26200.0
4660	26106.0
4670	26167.0
4680	25963.0
4690	26019.0
4700	25621.0
4710	25994.0
4720	26005.0
4730	26064.0
4740	25971.0
4750	25908.0
4760	26176.0
4770	25668.0
4780	26240.0
4790	26149.0
4800	25836.0
4810	26355.0
4820	26200.0
4830	25915.0
4840	25942.0
4850	25609.0
4860	25826.0
4870	26022.0
4880	26103.0
4890	26386.0
4900	26271.0
4910	26156.0
4920	25705.0
4930	25969.0
4940	25783.0
4950	25562.0
4960	25963.0
4970	25532.0
4980	25411.0
4990	25715.0
5000	25794.0
5010	26312.0
5020	25639.0
5030	25610.0
5040	26155.0
5050	25871.0
5060	25455.0
5070	25761.0
5080	25789.0
5090	25909.0
5100	25770.0
5110	25995.0
5120	25944.0
5130	25751.0
5140	25972.0
5150	25940.0
5160	25634.0
5170	26003.0
