#MCS	VolumeEnergy
0	926.0
10	1508.0
20	1832.0
30	2122.0
40	1882.0
50	2056.0
60	2088.0
70	2444.0
80	2542.0
90	2726.0
100	2526.0
110	2426.0
120	2272.0
130	2324.0
140	2856.0
150	2654.0
160	2702.0
170	2850.0
180	3052.0
190	2510.0
200	2770.0
210	2736.0
220	2558.0
230	2772.0
240	2708.0
250	2874.0
260	3066.0
270	2556.0
280	2562.0
290	2804.0
300	2536.0
310	2938.0
320	2972.0
330	2814.0
340	2890.0
350	2524.0
360	2484.0
370	2370.0
380	2488.0
390	2690.0
400	2836.0
410	2854.0
420	2776.0
430	2992.0
440	2838.0
450	2714.0
460	2668.0
470	2688.0
480	2692.0
490	2722.0
500	3036.0
510	2668.0
520	2798.0
530	2538.0
540	2518.0
550	2458.0
560	2334.0
570	2820.0
580	2836.0
590	2372.0
600	2356.0
610	2162.0
620	2456.0
630	2488.0
640	2692.0
650	2652.0
660	2400.0
670	2970.0
680	2704.0
690	2578.0
700	2578.0
710	2520.0
720	2710.0
730	2518.0
740	2714.0
750	2832.0
760	2366.0
770	2108.0
780	2588.0
790	2442.0
800	2616.0
810	2456.0
820	2394.0
830	2210.0
840	2400.0
850	2322.0
860	2652.0
870	2866.0
880	2908.0
890	2632.0
900	2820.0
910	2580.0
920	2570.0
930	2614.0
940	2722.0
950	2354.0
960	2526.0
970	2486.0
980	2394.0
990	2200.0
1000	2716.0
1010	2534.0
1020	2630.0
1030	2546.0
1040	2792.0
1050	2708.0
1060	2826.0
1070	2876.0
1080	2876.0
1090	2722.0
1100	2544.0
1110	2584.0
1120	2766.0
1130	2780.0
1140	3004.0
1150	2640.0
1160	2794.0
1170	2884.0
1180	2920.0
1190	2872.0
1200	2820.0
1210	2740.0
1220	2624.0
1230	3056.0
1240	3082.0
1250	2928.0
1260	2946.0
1270	2852.0
1280	2756.0
1290	2636.0
1300	2662.0
1310	2798.0
1320	2664.0
1330	2802.0
1340	2648.0
1350	2702.0
1360	2854.0
1370	2628.0
1380	2788.0
1390	2704.0
1400	2402.0
1410	2718.0
1420	2334.0
1430	2654.0
1440	2974.0
1450	2706.0
1460	2644.0
1470	2690.0
1480	2748.0
1490	2838.0
