#MCS	TotalEnergy
0	25124.0
10	28615.0
20	28841.0
30	28900.0
40	29044.0
50	29195.0
60	29165.0
70	29066.0
80	28869.0
90	29035.0
100	28958.0
110	28778.0
120	29092.0
130	28766.0
140	28681.0
150	29006.0
160	29268.0
170	29126.0
180	29164.0
190	29334.0
200	28925.0
210	29054.0
220	28799.0
230	28507.0
240	28638.0
250	28938.0
260	28927.0
270	28983.0
280	29174.0
290	29082.0
300	28705.0
310	29036.0
320	28844.0
330	29096.0
340	29354.0
350	29337.0
360	28941.0
370	28812.0
380	28785.0
390	29251.0
400	29024.0
410	29000.0
420	28912.0
430	28865.0
440	28773.0
450	28877.0
460	29149.0
470	29078.0
480	28758.0
490	28915.0
500	28904.0
510	28898.0
520	29326.0
530	28915.0
540	28750.0
550	28548.0
560	28547.0
570	28854.0
580	28852.0
590	28976.0
600	28989.0
610	29011.0
620	28599.0
630	28610.0
640	28910.0
650	29136.0
660	28568.0
670	28463.0
680	28308.0
690	29046.0
700	28719.0
710	28828.0
720	28821.0
730	28669.0
740	28710.0
750	28836.0
760	28923.0
770	28925.0
780	28715.0
790	28455.0
800	28995.0
810	28419.0
820	28646.0
830	28528.0
840	28718.0
850	28190.0
860	28315.0
870	29020.0
880	28480.0
890	28570.0
900	28725.0
910	28107.0
920	28323.0
930	27924.0
940	27865.0
950	28199.0
960	28781.0
970	28724.0
980	28569.0
990	28586.0
1000	28241.0
1010	27892.0
1020	27982.0
1030	28106.0
1040	28486.0
1050	28253.0
1060	28409.0
1070	28362.0
1080	28699.0
1090	28374.0
1100	28063.0
1110	28124.0
1120	28353.0
1130	28132.0
1140	28073.0
1150	28320.0
1160	28262.0
1170	28469.0
1180	28485.0
1190	28213.0
1200	28690.0
1210	28665.0
1220	28148.0
1230	28394.0
1240	28413.0
1250	28819.0
1260	28422.0
1270	28371.0
1280	28020.0
1290	28476.0
1300	28450.0
1310	28108.0
1320	28558.0
1330	28444.0
1340	28376.0
1350	28486.0
1360	28338.0
1370	28600.0
1380	28672.0
1390	28399.0
1400	28754.0
1410	28732.0
1420	28658.0
1430	28415.0
1440	28678.0
1450	28434.0
1460	28806.0
1470	28264.0
1480	28299.0
1490	28486.0
1500	28603.0
1510	28469.0
1520	28429.0
1530	28288.0
1540	28358.0
1550	28294.0
1560	28247.0
1570	28370.0
1580	28255.0
1590	28521.0
1600	28210.0
1610	28422.0
1620	28018.0
1630	28292.0
1640	28322.0
1650	28186.0
1660	28548.0
1670	28126.0
1680	28875.0
1690	28356.0
1700	28322.0
1710	28421.0
1720	28366.0
1730	28435.0
1740	28287.0
1750	28532.0
1760	28545.0
1770	28348.0
1780	28163.0
1790	28115.0
1800	28328.0
1810	28339.0
1820	28402.0
1830	28589.0
1840	28206.0
1850	28154.0
1860	28403.0
1870	28363.0
1880	29030.0
1890	28568.0
1900	28998.0
1910	28698.0
1920	28454.0
1930	28471.0
1940	28312.0
1950	28608.0
1960	28684.0
1970	28256.0
1980	28308.0
1990	28676.0
2000	28390.0
2010	28608.0
2020	28312.0
2030	28764.0
2040	28360.0
2050	28172.0
2060	28270.0
2070	28849.0
2080	28390.0
2090	27998.0
2100	28332.0
2110	28258.0
2120	28102.0
2130	28250.0
2140	28042.0
2150	28364.0
2160	28478.0
2170	28190.0
2180	28316.0
2190	28704.0
2200	28472.0
2210	28312.0
2220	28374.0
2230	28258.0
2240	28168.0
2250	28750.0
2260	28521.0
2270	28583.0
2280	28500.0
2290	28426.0
2300	28498.0
2310	28358.0
2320	28416.0
2330	28794.0
2340	28366.0
2350	28580.0
2360	28276.0
2370	28484.0
2380	28524.0
2390	28270.0
2400	28290.0
2410	27882.0
2420	28402.0
2430	28214.0
2440	28336.0
2450	28930.0
2460	28680.0
2470	28538.0
2480	28258.0
2490	28246.0
2500	28164.0
2510	28054.0
2520	28748.0
2530	28358.0
2540	28338.0
2550	28344.0
2560	28416.0
