#MCS	AdhesionEnergy
0	17302.0
10	15143.0
20	14675.0
30	13824.0
40	13710.0
50	13772.0
60	14019.0
70	13175.0
80	13556.0
90	13765.0
100	13458.0
110	13665.0
120	13641.0
130	13250.0
140	13534.0
150	13458.0
160	13477.0
170	13303.0
180	13284.0
190	13796.0
200	13574.0
210	13264.0
220	13472.0
230	13146.0
240	13320.0
250	13624.0
260	13331.0
270	13531.0
280	13546.0
290	13474.0
300	13604.0
310	13239.0
320	13541.0
330	13167.0
340	13215.0
350	13132.0
360	13244.0
370	13342.0
380	13142.0
390	13078.0
400	13088.0
410	13393.0
420	13216.0
430	13564.0
440	13318.0
450	13461.0
460	13115.0
470	13138.0
480	13162.0
490	13417.0
500	13056.0
510	13424.0
520	13237.0
530	13186.0
540	13450.0
550	13278.0
560	13245.0
570	13503.0
580	13707.0
590	13535.0
600	13490.0
610	13373.0
620	12963.0
630	13143.0
640	13452.0
650	13453.0
660	13216.0
670	13322.0
680	13381.0
690	13360.0
700	13212.0
710	13323.0
720	13488.0
730	13357.0
740	13245.0
750	13311.0
760	13308.0
770	13563.0
780	13332.0
790	13181.0
800	13380.0
810	13345.0
820	13124.0
830	13423.0
840	13420.0
850	13537.0
860	13420.0
870	13438.0
880	13200.0
890	13260.0
900	13488.0
910	13417.0
920	13507.0
930	13353.0
940	13477.0
950	13172.0
960	13163.0
970	13176.0
980	13513.0
990	13337.0
1000	13231.0
1010	13077.0
1020	13094.0
1030	13443.0
1040	13325.0
1050	13078.0
1060	13259.0
1070	13325.0
1080	13212.0
1090	13235.0
1100	13260.0
1110	13695.0
1120	13389.0
1130	13251.0
1140	13448.0
1150	13167.0
1160	13320.0
1170	13326.0
1180	13372.0
1190	13422.0
1200	13257.0
1210	13370.0
1220	13027.0
1230	13386.0
1240	13366.0
1250	13439.0
1260	13271.0
1270	13555.0
1280	13269.0
1290	13218.0
1300	13275.0
1310	13222.0
1320	13106.0
1330	13405.0
1340	13056.0
1350	13077.0
1360	13375.0
1370	13421.0
1380	13125.0
1390	13428.0
1400	13275.0
1410	13234.0
1420	13476.0
1430	13152.0
1440	13359.0
1450	13210.0
1460	12854.0
1470	13359.0
1480	13100.0
1490	12970.0
1500	12820.0
1510	13183.0
1520	13174.0
1530	12952.0
1540	13042.0
1550	13355.0
1560	13193.0
1570	13162.0
1580	13162.0
1590	13350.0
1600	13023.0
1610	13065.0
1620	13167.0
1630	13175.0
1640	13243.0
1650	13419.0
1660	13029.0
1670	13030.0
1680	13177.0
1690	13183.0
1700	13164.0
1710	13000.0
1720	13043.0
1730	12927.0
1740	13085.0
1750	13055.0
1760	13079.0
1770	13163.0
1780	12953.0
1790	13260.0
1800	13266.0
1810	12871.0
1820	12931.0
1830	13038.0
1840	12967.0
1850	13187.0
1860	13001.0
1870	13170.0
1880	13008.0
1890	13188.0
1900	13232.0
1910	12802.0
1920	12835.0
1930	13166.0
1940	13111.0
1950	13175.0
1960	13190.0
1970	13116.0
1980	13008.0
1990	13072.0
2000	13186.0
2010	12981.0
2020	12893.0
2030	12911.0
2040	12927.0
2050	13119.0
