#MCS	TotalEnergy
0	18020.0
10	16615.0
20	16051.0
30	15252.0
40	14850.0
50	15060.0
60	15057.0
70	14659.0
80	15106.0
90	14929.0
100	14624.0
110	14881.0
120	14823.0
130	14574.0
140	14948.0
150	14728.0
160	14769.0
170	14717.0
180	14548.0
190	15270.0
200	14874.0
210	14546.0
220	14754.0
230	14408.0
240	14462.0
250	14852.0
260	14529.0
270	14753.0
280	14634.0
290	14852.0
300	15120.0
310	14567.0
320	14839.0
330	14359.0
340	14387.0
350	14382.0
360	14598.0
370	14826.0
380	14414.0
390	14300.0
400	14396.0
410	14705.0
420	14678.0
430	14994.0
440	14830.0
450	14537.0
460	14185.0
470	14370.0
480	14322.0
490	14835.0
500	14466.0
510	14712.0
520	14357.0
530	14666.0
540	14838.0
550	14618.0
560	14533.0
570	14951.0
580	14845.0
590	14879.0
600	14780.0
610	14659.0
620	14283.0
630	14479.0
640	14826.0
650	14845.0
660	14674.0
670	14608.0
680	14637.0
690	14688.0
700	14420.0
710	14529.0
720	14946.0
730	14503.0
740	14599.0
750	14665.0
760	14642.0
770	14961.0
780	14662.0
790	14301.0
800	14416.0
810	14563.0
820	14396.0
830	14493.0
840	14704.0
850	14799.0
860	14500.0
870	14876.0
880	14702.0
890	14726.0
900	14824.0
910	14879.0
920	14957.0
930	14577.0
940	14799.0
950	14514.0
960	14649.0
970	14392.0
980	14775.0
990	14991.0
1000	14635.0
1010	14459.0
1020	14344.0
1030	14871.0
1040	14579.0
1050	14536.0
1060	14545.0
1070	14877.0
1080	14730.0
1090	14703.0
1100	14546.0
1110	15061.0
1120	14591.0
1130	14561.0
1140	14782.0
1150	14353.0
1160	14534.0
1170	14596.0
1180	14890.0
1190	14602.0
1200	14539.0
1210	14812.0
1220	14237.0
1230	14884.0
1240	14842.0
1250	14887.0
1260	14771.0
1270	14535.0
1280	14347.0
1290	14306.0
1300	14661.0
1310	14790.0
1320	14278.0
1330	14805.0
1340	14356.0
1350	14365.0
1360	14617.0
1370	14639.0
1380	14357.0
1390	14674.0
1400	14333.0
1410	14524.0
1420	14696.0
1430	14516.0
1440	14703.0
1450	14514.0
1460	14262.0
1470	14771.0
1480	14368.0
1490	14134.0
1500	14074.0
1510	14567.0
1520	14426.0
1530	14472.0
1540	14476.0
1550	14597.0
1560	14281.0
1570	14216.0
1580	14284.0
1590	14602.0
1600	14107.0
1610	14243.0
1620	14379.0
1630	14415.0
1640	14393.0
1650	14541.0
1660	14401.0
1670	14296.0
1680	14447.0
1690	14461.0
1700	14570.0
1710	14474.0
1720	14303.0
1730	14265.0
1740	14435.0
1750	14347.0
1760	14253.0
1770	14389.0
1780	14189.0
1790	14434.0
1800	14576.0
1810	14321.0
1820	14307.0
1830	14260.0
1840	14381.0
1850	14469.0
1860	14211.0
1870	14532.0
1880	14388.0
1890	14486.0
1900	14472.0
1910	13938.0
1920	14069.0
1930	14542.0
1940	14631.0
1950	14613.0
1960	14352.0
1970	14278.0
1980	14254.0
1990	14348.0
2000	14398.0
2010	14223.0
2020	14267.0
2030	14287.0
2040	14239.0
2050	14397.0
2060	14336.0
2070	14401.0
2080	14290.0
2090	14076.0
2100	14502.0
2110	14456.0
2120	14570.0
2130	14340.0
2140	14165.0
2150	14303.0
2160	14509.0
2170	14223.0
2180	14188.0
2190	14085.0
2200	14526.0
2210	14227.0
2220	14050.0
2230	14355.0
2240	14532.0
2250	14422.0
2260	14547.0
2270	14515.0
2280	14803.0
2290	14757.0
2300	14339.0
2310	14249.0
2320	14427.0
2330	14327.0
2340	14302.0
2350	14427.0
2360	14676.0
2370	14439.0
2380	14849.0
2390	14772.0
2400	14004.0
2410	14641.0
2420	14489.0
2430	14151.0
2440	14324.0
2450	14370.0
2460	14270.0
2470	14416.0
2480	14095.0
2490	14803.0
2500	14406.0
2510	14292.0
2520	14495.0
2530	14502.0
2540	14251.0
2550	14123.0
2560	14362.0
2570	14536.0
2580	14376.0
2590	14229.0
2600	14379.0
2610	14464.0
2620	14317.0
2630	14649.0
2640	14269.0
2650	14397.0
2660	14571.0
2670	14712.0
2680	14635.0
2690	14688.0
2700	14702.0
2710	14768.0
2720	14565.0
2730	14713.0
2740	14443.0
2750	14253.0
2760	14705.0
2770	14175.0
2780	14604.0
2790	14628.0
2800	14653.0
2810	14288.0
2820	14389.0
2830	14404.0
2840	14513.0
2850	14600.0
2860	14417.0
2870	14228.0
2880	14706.0
2890	14463.0
2900	14516.0
2910	14332.0
2920	14523.0
2930	14269.0
2940	14410.0
2950	14411.0
2960	14421.0
2970	14325.0
2980	14550.0
2990	14535.0
3000	14495.0
3010	14321.0
3020	14478.0
3030	14192.0
3040	14493.0
3050	14451.0
3060	14333.0
3070	14289.0
3080	14191.0
3090	14594.0
3100	14346.0
3110	14291.0
3120	14436.0
3130	14483.0
3140	14447.0
3150	14567.0
3160	14692.0
3170	14671.0
3180	14190.0
3190	14306.0
3200	14402.0
3210	14691.0
3220	14305.0
3230	14766.0
3240	14228.0
3250	14723.0
3260	14510.0
3270	14644.0
3280	14450.0
3290	14461.0
3300	14542.0
3310	14535.0
3320	14344.0
3330	14214.0
3340	14523.0
3350	14396.0
3360	14246.0
3370	14339.0
3380	14023.0
3390	14398.0
3400	13994.0
3410	14446.0
3420	14318.0
3430	14742.0
3440	14547.0
3450	14441.0
3460	14468.0
3470	14614.0
3480	14277.0
3490	14723.0
3500	14384.0
3510	14438.0
3520	14599.0
3530	14492.0
3540	14581.0
3550	14550.0
3560	14311.0
3570	14247.0
3580	14437.0
3590	14584.0
3600	14590.0
3610	14674.0
3620	14094.0
3630	14347.0
3640	14383.0
3650	14303.0
3660	14452.0
3670	14019.0
3680	14581.0
3690	14356.0
3700	14465.0
3710	14482.0
3720	14223.0
3730	14095.0
3740	14452.0
3750	14402.0
3760	14350.0
3770	14473.0
3780	14035.0
3790	14374.0
3800	14524.0
3810	14319.0
3820	14345.0
3830	14126.0
3840	14903.0
3850	13952.0
3860	14154.0
3870	14498.0
3880	14278.0
3890	14389.0
3900	14263.0
3910	14530.0
3920	14431.0
3930	13909.0
3940	14457.0
3950	14221.0
3960	14387.0
3970	14294.0
3980	14346.0
3990	14139.0
4000	14298.0
4010	14230.0
4020	14334.0
4030	14093.0
4040	14440.0
4050	14612.0
4060	13970.0
4070	14230.0
4080	14198.0
4090	14114.0
4100	14133.0
4110	14108.0
4120	14198.0
4130	14152.0
4140	13933.0
4150	13992.0
4160	14366.0
4170	14823.0
4180	14128.0
4190	14136.0
4200	14220.0
4210	14479.0
4220	14534.0
4230	14474.0
4240	14264.0
4250	14234.0
4260	14419.0
4270	14140.0
4280	14198.0
4290	14184.0
4300	14696.0
4310	14000.0
4320	14348.0
4330	14457.0
4340	14587.0
4350	14262.0
4360	14647.0
4370	14649.0
4380	14355.0
4390	14436.0
4400	14559.0
4410	14300.0
4420	14220.0
4430	14684.0
4440	14257.0
4450	14226.0
4460	14232.0
4470	14565.0
4480	14315.0
4490	14249.0
4500	14130.0
4510	14428.0
4520	14276.0
4530	14413.0
4540	14112.0
4550	14143.0
4560	14169.0
4570	14412.0
4580	14384.0
4590	14473.0
4600	14152.0
4610	14291.0
4620	14546.0
4630	14297.0
4640	14592.0
4650	14217.0
4660	14359.0
4670	14211.0
4680	14406.0
4690	14659.0
4700	14183.0
4710	14509.0
4720	14338.0
4730	14232.0
4740	14314.0
4750	14123.0
4760	14265.0
4770	14507.0
4780	14155.0
4790	13942.0
4800	14135.0
4810	14306.0
4820	14473.0
4830	14530.0
4840	14027.0
4850	14257.0
4860	14150.0
4870	14228.0
4880	14604.0
4890	14458.0
4900	14293.0
4910	14439.0
4920	14743.0
4930	14425.0
