#MCS	VolumeEnergy
0	718.0
10	1472.0
20	1376.0
30	1428.0
40	1140.0
50	1288.0
60	1038.0
70	1484.0
80	1550.0
90	1164.0
100	1166.0
110	1216.0
120	1182.0
130	1324.0
140	1414.0
150	1270.0
160	1292.0
170	1414.0
180	1264.0
190	1474.0
200	1300.0
210	1282.0
220	1282.0
230	1262.0
240	1142.0
250	1228.0
260	1198.0
270	1222.0
280	1088.0
290	1378.0
300	1516.0
310	1328.0
320	1298.0
330	1192.0
340	1172.0
350	1250.0
360	1354.0
370	1484.0
380	1272.0
390	1222.0
400	1308.0
410	1312.0
420	1462.0
430	1430.0
440	1512.0
450	1076.0
460	1070.0
470	1232.0
480	1160.0
490	1418.0
500	1410.0
510	1288.0
520	1120.0
530	1480.0
540	1388.0
550	1340.0
560	1288.0
570	1448.0
580	1138.0
590	1344.0
600	1290.0
610	1286.0
620	1320.0
630	1336.0
640	1374.0
650	1392.0
660	1458.0
670	1286.0
680	1256.0
690	1328.0
700	1208.0
710	1206.0
720	1458.0
730	1146.0
740	1354.0
750	1354.0
760	1334.0
770	1398.0
780	1330.0
790	1120.0
800	1036.0
810	1218.0
820	1272.0
830	1070.0
840	1284.0
850	1262.0
860	1080.0
870	1438.0
880	1502.0
890	1466.0
900	1336.0
910	1462.0
920	1450.0
930	1224.0
940	1322.0
950	1342.0
960	1486.0
970	1216.0
980	1262.0
990	1654.0
1000	1404.0
1010	1382.0
1020	1250.0
1030	1428.0
1040	1254.0
1050	1458.0
1060	1286.0
1070	1552.0
1080	1518.0
1090	1468.0
1100	1286.0
1110	1366.0
1120	1202.0
1130	1310.0
1140	1334.0
1150	1186.0
1160	1214.0
1170	1270.0
1180	1518.0
1190	1180.0
1200	1282.0
1210	1442.0
1220	1210.0
1230	1498.0
1240	1476.0
1250	1448.0
1260	1500.0
1270	980.0
1280	1078.0
1290	1088.0
1300	1386.0
1310	1568.0
1320	1172.0
1330	1400.0
1340	1300.0
1350	1288.0
1360	1242.0
1370	1218.0
1380	1232.0
1390	1246.0
1400	1058.0
1410	1290.0
1420	1220.0
1430	1364.0
1440	1344.0
1450	1304.0
1460	1408.0
1470	1412.0
1480	1268.0
1490	1164.0
1500	1254.0
1510	1384.0
1520	1252.0
1530	1520.0
1540	1434.0
1550	1242.0
1560	1088.0
1570	1054.0
1580	1122.0
1590	1252.0
1600	1084.0
1610	1178.0
1620	1212.0
1630	1240.0
1640	1150.0
1650	1122.0
1660	1372.0
1670	1266.0
1680	1270.0
1690	1278.0
1700	1406.0
1710	1474.0
1720	1260.0
1730	1338.0
1740	1350.0
1750	1292.0
1760	1174.0
1770	1226.0
1780	1236.0
1790	1174.0
1800	1310.0
1810	1450.0
1820	1376.0
1830	1222.0
1840	1414.0
1850	1282.0
1860	1210.0
1870	1362.0
1880	1380.0
1890	1298.0
1900	1240.0
1910	1136.0
1920	1234.0
1930	1376.0
1940	1520.0
1950	1438.0
1960	1162.0
1970	1162.0
1980	1246.0
1990	1276.0
2000	1212.0
2010	1242.0
2020	1374.0
2030	1376.0
2040	1312.0
2050	1278.0
2060	1324.0
2070	1166.0
2080	1156.0
2090	990.0
2100	1262.0
2110	1174.0
2120	1298.0
2130	1146.0
2140	1162.0
2150	1074.0
2160	1030.0
2170	1186.0
2180	1012.0
2190	1148.0
2200	1326.0
2210	1082.0
2220	1084.0
2230	1338.0
2240	1322.0
2250	1106.0
2260	1170.0
2270	1440.0
2280	1282.0
2290	1408.0
2300	1326.0
2310	1090.0
2320	1160.0
2330	1128.0
2340	1288.0
2350	1150.0
2360	1186.0
2370	1138.0
2380	1158.0
2390	1250.0
2400	1092.0
2410	1244.0
2420	1146.0
2430	1010.0
2440	1224.0
2450	1126.0
2460	1136.0
2470	1200.0
2480	1126.0
2490	1464.0
2500	1080.0
2510	1244.0
2520	1150.0
2530	1232.0
2540	1142.0
2550	1138.0
2560	1074.0
2570	1202.0
2580	1218.0
2590	1194.0
2600	1244.0
2610	1170.0
2620	1212.0
2630	1396.0
2640	1256.0
2650	1216.0
2660	1308.0
2670	1460.0
2680	1384.0
2690	1532.0
2700	1550.0
2710	1306.0
2720	1682.0
2730	1378.0
2740	1348.0
2750	1346.0
2760	1574.0
2770	1172.0
2780	1360.0
2790	1470.0
2800	1372.0
2810	1268.0
2820	1278.0
2830	1234.0
2840	1196.0
2850	1126.0
2860	1028.0
2870	1162.0
2880	1308.0
2890	1228.0
2900	1230.0
2910	1032.0
2920	1040.0
2930	1122.0
2940	1272.0
2950	1026.0
2960	1206.0
2970	1288.0
2980	1408.0
2990	1350.0
3000	1174.0
3010	1102.0
3020	1072.0
3030	1062.0
3040	1074.0
3050	1202.0
3060	1126.0
3070	930.0
3080	1108.0
3090	1282.0
3100	1262.0
3110	1202.0
3120	1226.0
3130	1138.0
3140	1210.0
3150	1304.0
3160	1392.0
3170	1246.0
3180	1052.0
3190	1292.0
3200	1228.0
3210	1294.0
3220	990.0
3230	1226.0
3240	1122.0
3250	1404.0
3260	1178.0
3270	1464.0
3280	1254.0
3290	1350.0
3300	1308.0
3310	1342.0
3320	1174.0
3330	1220.0
3340	1354.0
3350	1118.0
3360	1026.0
3370	1184.0
3380	1300.0
3390	1186.0
3400	940.0
3410	1254.0
3420	1164.0
3430	1384.0
3440	1424.0
3450	1460.0
3460	1318.0
3470	1468.0
3480	1296.0
3490	1440.0
3500	1300.0
3510	1270.0
3520	1382.0
3530	1290.0
3540	1450.0
3550	1318.0
3560	1204.0
3570	1152.0
3580	1300.0
3590	1248.0
3600	1338.0
3610	1328.0
3620	1040.0
3630	1186.0
3640	1116.0
3650	1202.0
3660	1426.0
3670	1052.0
3680	1416.0
3690	1308.0
3700	1272.0
3710	1258.0
3720	1092.0
3730	1066.0
3740	1050.0
3750	1072.0
3760	1228.0
3770	1312.0
3780	1046.0
3790	1230.0
3800	1210.0
3810	1252.0
3820	1384.0
3830	1174.0
3840	1504.0
3850	1062.0
3860	948.0
3870	1310.0
3880	1140.0
3890	1096.0
3900	996.0
3910	1096.0
3920	1036.0
3930	984.0
3940	1176.0
3950	1028.0
3960	1202.0
3970	1092.0
3980	1314.0
3990	1152.0
4000	1104.0
4010	1192.0
4020	1224.0
4030	1148.0
4040	1212.0
4050	1418.0
4060	1148.0
4070	1172.0
4080	946.0
4090	1194.0
4100	1258.0
4110	1262.0
4120	1208.0
4130	1140.0
4140	1036.0
4150	1160.0
4160	1320.0
4170	1510.0
4180	1242.0
4190	1230.0
4200	1320.0
4210	1382.0
4220	1426.0
4230	1374.0
4240	1086.0
4250	1138.0
4260	1326.0
4270	1258.0
4280	1040.0
4290	1098.0
4300	1298.0
4310	1044.0
4320	1060.0
4330	1210.0
4340	1500.0
4350	1226.0
4360	1284.0
4370	1358.0
4380	1114.0
4390	1112.0
4400	1458.0
4410	1262.0
4420	964.0
4430	1376.0
4440	1112.0
4450	1228.0
4460	1346.0
4470	1432.0
4480	1264.0
4490	1228.0
4500	1078.0
4510	1438.0
4520	1276.0
4530	1148.0
4540	1196.0
4550	1138.0
4560	1174.0
4570	1328.0
4580	1348.0
4590	1330.0
4600	1206.0
4610	1180.0
4620	1286.0
4630	1172.0
4640	1212.0
4650	1170.0
4660	1230.0
4670	1200.0
4680	1206.0
4690	1246.0
4700	1196.0
4710	1216.0
4720	1290.0
4730	1388.0
4740	1246.0
4750	1214.0
4760	1236.0
4770	1320.0
4780	1128.0
4790	1008.0
4800	978.0
4810	1256.0
4820	1276.0
4830	1212.0
4840	1250.0
4850	1322.0
4860	1134.0
4870	1274.0
4880	1542.0
4890	1228.0
4900	1238.0
4910	1324.0
4920	1452.0
4930	1228.0
4940	1256.0
4950	1396.0
4960	1356.0
4970	1226.0
4980	1344.0
4990	1372.0
5000	1220.0
5010	1282.0
5020	1236.0
5030	1204.0
5040	1332.0
5050	1262.0
5060	1334.0
5070	1474.0
5080	1244.0
5090	1366.0
5100	1044.0
5110	1146.0
5120	1352.0
5130	1210.0
5140	1066.0
5150	1270.0
5160	1144.0
5170	1294.0
5180	1318.0
5190	1440.0
5200	1336.0
5210	1318.0
5220	1292.0
5230	1326.0
5240	1250.0
5250	1480.0
5260	1440.0
5270	1250.0
5280	1478.0
5290	1340.0
5300	1348.0
5310	1472.0
5320	1440.0
5330	1592.0
5340	1236.0
5350	1302.0
5360	1234.0
5370	1220.0
5380	1158.0
5390	1004.0
5400	1162.0
5410	1150.0
5420	1282.0
5430	1278.0
5440	1116.0
5450	1010.0
5460	1244.0
5470	1234.0
5480	1106.0
5490	1150.0
5500	1164.0
5510	1402.0
5520	1210.0
5530	1394.0
5540	1198.0
5550	1094.0
5560	1150.0
5570	1200.0
5580	1136.0
5590	1314.0
5600	1102.0
5610	1174.0
5620	1410.0
5630	1218.0
5640	1234.0
5650	1166.0
5660	1172.0
5670	1174.0
5680	1216.0
5690	1168.0
5700	1148.0
5710	1244.0
5720	1490.0
5730	1190.0
5740	1386.0
5750	1214.0
5760	1120.0
5770	1134.0
5780	1212.0
5790	1092.0
5800	1226.0
5810	1356.0
5820	1378.0
5830	1238.0
5840	1158.0
5850	1330.0
5860	1236.0
5870	1150.0
5880	1162.0
5890	1368.0
5900	1312.0
5910	1528.0
5920	1292.0
5930	1388.0
5940	1378.0
5950	1328.0
5960	1296.0
5970	1220.0
5980	1376.0
5990	1270.0
6000	1266.0
6010	1326.0
6020	1290.0
6030	1198.0
6040	1230.0
6050	1168.0
6060	996.0
6070	1194.0
6080	1148.0
6090	1108.0
6100	1190.0
6110	1346.0
6120	1220.0
6130	1382.0
6140	1208.0
6150	1348.0
6160	1474.0
6170	1176.0
6180	1218.0
6190	1332.0
6200	1090.0
6210	1240.0
6220	1166.0
6230	1036.0
6240	1270.0
6250	1368.0
6260	1436.0
6270	1168.0
6280	1490.0
6290	1298.0
6300	1246.0
6310	1340.0
6320	1338.0
6330	1414.0
6340	1186.0
6350	1224.0
6360	1320.0
6370	1318.0
6380	1344.0
6390	1206.0
6400	1314.0
6410	1298.0
6420	1238.0
6430	1258.0
6440	1220.0
6450	1308.0
6460	1246.0
6470	1206.0
6480	1364.0
6490	1190.0
6500	1164.0
6510	1218.0
6520	1222.0
6530	1174.0
6540	1276.0
6550	1178.0
6560	1144.0
6570	1414.0
6580	1492.0
6590	1328.0
6600	1208.0
6610	1348.0
6620	1026.0
6630	1172.0
6640	1144.0
6650	1312.0
6660	1152.0
6670	1270.0
6680	1274.0
6690	1050.0
6700	1066.0
6710	1278.0
6720	1228.0
6730	1254.0
6740	1094.0
6750	1092.0
6760	1410.0
6770	1082.0
6780	1320.0
6790	1294.0
6800	1376.0
6810	1430.0
6820	1296.0
6830	1050.0
6840	1476.0
6850	1360.0
6860	1344.0
6870	1232.0
6880	1234.0
6890	1166.0
6900	1386.0
6910	1212.0
6920	1146.0
6930	1326.0
6940	1148.0
6950	1272.0
6960	1312.0
6970	1064.0
6980	1322.0
6990	1124.0
7000	1380.0
7010	1334.0
7020	1482.0
7030	1460.0
7040	1472.0
7050	1600.0
7060	1312.0
7070	1316.0
7080	1180.0
7090	1292.0
7100	1228.0
7110	1400.0
7120	1320.0
7130	1536.0
7140	1404.0
7150	1442.0
7160	1320.0
7170	1202.0
7180	1300.0
7190	1210.0
7200	1094.0
7210	1268.0
7220	1320.0
7230	1098.0
7240	1322.0
7250	1306.0
7260	1304.0
7270	1328.0
7280	1424.0
7290	1490.0
7300	1220.0
7310	1018.0
7320	1114.0
7330	1280.0
7340	1150.0
7350	1348.0
7360	1402.0
7370	1272.0
7380	1236.0
7390	1152.0
7400	1258.0
7410	1444.0
7420	1260.0
7430	1344.0
7440	1288.0
7450	1118.0
7460	1120.0
7470	1032.0
7480	1180.0
7490	1244.0
7500	1440.0
7510	1092.0
7520	1244.0
7530	1222.0
7540	1196.0
7550	1062.0
7560	1136.0
7570	1186.0
7580	1250.0
7590	1120.0
7600	1310.0
7610	1324.0
7620	1306.0
7630	1142.0
7640	1240.0
7650	1180.0
7660	1064.0
7670	1166.0
7680	1484.0
7690	1148.0
7700	1380.0
7710	1234.0
7720	1344.0
7730	1338.0
7740	1318.0
7750	1246.0
7760	1380.0
7770	1208.0
7780	1128.0
7790	1414.0
7800	1234.0
7810	1464.0
7820	1380.0
7830	1200.0
7840	1450.0
7850	1144.0
7860	1434.0
7870	1274.0
7880	1416.0
7890	1278.0
7900	1284.0
7910	1180.0
7920	1260.0
7930	1368.0
7940	1376.0
7950	1400.0
7960	1318.0
7970	1292.0
7980	1042.0
7990	1042.0
8000	1156.0
8010	1506.0
8020	1294.0
8030	1286.0
8040	1066.0
8050	1208.0
8060	1342.0
8070	1358.0
8080	1200.0
8090	974.0
8100	1180.0
8110	1096.0
8120	1226.0
8130	1256.0
8140	1186.0
8150	1020.0
8160	1160.0
8170	1340.0
8180	1442.0
8190	1400.0
8200	1354.0
8210	1172.0
8220	1162.0
8230	1218.0
8240	1246.0
8250	1202.0
8260	1328.0
8270	1346.0
8280	1268.0
8290	1254.0
8300	1316.0
8310	1110.0
8320	1322.0
8330	1140.0
8340	1354.0
8350	1310.0
8360	1262.0
8370	1314.0
8380	1208.0
8390	1276.0
8400	1442.0
8410	1454.0
8420	1168.0
8430	1384.0
8440	1360.0
8450	1182.0
8460	1324.0
