#MCS	AdhesionEnergy
0	23588.0
10	26014.0
20	25488.0
30	25200.0
40	24636.0
50	24188.0
60	24360.0
70	23998.0
80	24372.0
90	24238.0
100	23564.0
110	24126.0
120	23766.0
130	23836.0
140	23880.0
150	23546.0
160	23628.0
170	23792.0
180	23706.0
190	23758.0
200	23390.0
210	23444.0
220	23428.0
230	23716.0
240	23562.0
250	23602.0
260	23218.0
270	23336.0
280	23494.0
290	23588.0
300	23350.0
310	23106.0
320	22974.0
330	23164.0
340	23064.0
350	22990.0
360	22730.0
370	23126.0
380	23086.0
390	22954.0
400	23212.0
410	23234.0
420	23068.0
430	23224.0
440	23302.0
450	22948.0
460	23574.0
470	23306.0
480	23286.0
490	23410.0
500	22990.0
510	23392.0
520	23162.0
530	23060.0
540	22844.0
550	22854.0
560	23120.0
570	22800.0
580	22822.0
590	22646.0
600	22898.0
610	22838.0
620	22870.0
630	22878.0
640	22826.0
650	22922.0
660	22930.0
670	22880.0
680	22886.0
690	23004.0
700	22888.0
710	23034.0
720	22964.0
730	22878.0
740	22796.0
750	22854.0
760	22632.0
770	22794.0
780	22648.0
790	22376.0
800	22712.0
810	22336.0
820	22174.0
830	22138.0
840	22782.0
850	22418.0
860	22492.0
870	22544.0
880	22596.0
890	22522.0
900	22242.0
910	22570.0
920	22728.0
930	22448.0
940	22620.0
950	22374.0
960	22694.0
970	22380.0
980	22382.0
990	22646.0
1000	22296.0
1010	22260.0
1020	21934.0
1030	22248.0
1040	22152.0
1050	22282.0
1060	22110.0
1070	22074.0
1080	21830.0
1090	22252.0
1100	21868.0
1110	22212.0
1120	22182.0
1130	21718.0
1140	22226.0
1150	22052.0
1160	22286.0
1170	22224.0
1180	22290.0
1190	22136.0
1200	21912.0
1210	22052.0
1220	22186.0
1230	22028.0
1240	22118.0
1250	22330.0
1260	21996.0
1270	22240.0
1280	22076.0
1290	22324.0
1300	22204.0
1310	22364.0
1320	21876.0
1330	21830.0
1340	21720.0
1350	22054.0
1360	22382.0
1370	21960.0
1380	22278.0
1390	21840.0
1400	22114.0
1410	21914.0
1420	22012.0
1430	22114.0
1440	22392.0
1450	22124.0
1460	21992.0
1470	22126.0
1480	21914.0
1490	22088.0
1500	21686.0
1510	22094.0
1520	21954.0
1530	22128.0
1540	22048.0
1550	21860.0
1560	21780.0
1570	21922.0
1580	21644.0
1590	21900.0
1600	21544.0
1610	21798.0
1620	21240.0
1630	21496.0
1640	21218.0
1650	21706.0
1660	21364.0
1670	21104.0
1680	21278.0
1690	20914.0
1700	20756.0
1710	20536.0
1720	20664.0
1730	20530.0
1740	20554.0
1750	21042.0
1760	20398.0
1770	20550.0
1780	20526.0
1790	20134.0
1800	20400.0
1810	20340.0
1820	20372.0
1830	20206.0
1840	20280.0
1850	20340.0
1860	20004.0
1870	20320.0
1880	20106.0
1890	20092.0
1900	20330.0
1910	20058.0
1920	20376.0
1930	20184.0
1940	20150.0
1950	20322.0
1960	20208.0
1970	20224.0
1980	20032.0
1990	20114.0
2000	19800.0
2010	19952.0
2020	19922.0
2030	20148.0
2040	20258.0
2050	20106.0
2060	19910.0
2070	20012.0
2080	20102.0
2090	20178.0
2100	19748.0
2110	19814.0
2120	19742.0
2130	20006.0
2140	20052.0
2150	20070.0
2160	20170.0
2170	20096.0
2180	20042.0
2190	19916.0
2200	20178.0
2210	20302.0
2220	20356.0
2230	20070.0
2240	20258.0
2250	19790.0
2260	19938.0
2270	19948.0
2280	19964.0
2290	19940.0
2300	19870.0
2310	19866.0
2320	19874.0
2330	20370.0
2340	19814.0
2350	20052.0
2360	20162.0
2370	20094.0
2380	20076.0
2390	19554.0
2400	19898.0
2410	19834.0
2420	19916.0
2430	19940.0
2440	19980.0
2450	19622.0
2460	19758.0
2470	20050.0
2480	19724.0
2490	19776.0
2500	19874.0
2510	19860.0
2520	20128.0
2530	19794.0
2540	19798.0
2550	19930.0
2560	19788.0
2570	20054.0
2580	19812.0
2590	19904.0
2600	19910.0
2610	19738.0
2620	20018.0
2630	19798.0
2640	19806.0
2650	19876.0
2660	19648.0
2670	19516.0
2680	19794.0
2690	20006.0
2700	20020.0
2710	19794.0
2720	19942.0
2730	19622.0
2740	20018.0
2750	19830.0
2760	19584.0
2770	19756.0
2780	19420.0
2790	19644.0
2800	19686.0
2810	19782.0
2820	19806.0
2830	19902.0
2840	19856.0
2850	19532.0
2860	19596.0
2870	19628.0
2880	19764.0
2890	19744.0
2900	19868.0
2910	19720.0
2920	19406.0
2930	19694.0
2940	19566.0
2950	19844.0
2960	19712.0
2970	20060.0
2980	19628.0
2990	20108.0
3000	19726.0
3010	19780.0
3020	19752.0
3030	19636.0
3040	19544.0
3050	19578.0
3060	19598.0
3070	20062.0
3080	19788.0
3090	19598.0
3100	19544.0
3110	19680.0
3120	19936.0
3130	19740.0
3140	19738.0
3150	19878.0
3160	19652.0
3170	19584.0
3180	19868.0
3190	19756.0
3200	19670.0
3210	19424.0
3220	19776.0
3230	19700.0
3240	19476.0
3250	19594.0
3260	19598.0
3270	19432.0
3280	19600.0
3290	19572.0
3300	19502.0
3310	19832.0
3320	19798.0
3330	19740.0
3340	19768.0
3350	19324.0
3360	19754.0
3370	19470.0
3380	19304.0
3390	19400.0
3400	19646.0
3410	19502.0
3420	19572.0
3430	19440.0
3440	19774.0
3450	19652.0
3460	19532.0
3470	19524.0
3480	19212.0
3490	19458.0
3500	19550.0
3510	19314.0
3520	19364.0
3530	19558.0
3540	19672.0
3550	19250.0
3560	19520.0
3570	19116.0
3580	19394.0
3590	19016.0
3600	18806.0
3610	19040.0
3620	19256.0
3630	18986.0
3640	19296.0
3650	19076.0
3660	19292.0
3670	19240.0
3680	19286.0
3690	19394.0
3700	19198.0
3710	19294.0
3720	19190.0
3730	19326.0
3740	19160.0
3750	19094.0
3760	18958.0
3770	19362.0
3780	19126.0
3790	19120.0
3800	19412.0
3810	19160.0
3820	18994.0
3830	18896.0
3840	19050.0
3850	19150.0
3860	18962.0
3870	19150.0
3880	19124.0
3890	19352.0
3900	19220.0
3910	19292.0
3920	18980.0
3930	19298.0
3940	19372.0
3950	18888.0
3960	19450.0
3970	19216.0
3980	19336.0
3990	18950.0
4000	19096.0
4010	19050.0
4020	19146.0
4030	18842.0
4040	18946.0
4050	19204.0
4060	19352.0
4070	19408.0
4080	19254.0
4090	19200.0
4100	19246.0
4110	18774.0
4120	19038.0
4130	19238.0
4140	18932.0
4150	18924.0
4160	19038.0
4170	18914.0
4180	18690.0
4190	18946.0
4200	19066.0
4210	18806.0
4220	19510.0
4230	19276.0
4240	19286.0
4250	19218.0
4260	18896.0
4270	18766.0
4280	18882.0
4290	18788.0
4300	18998.0
4310	19226.0
4320	19102.0
4330	18942.0
4340	19130.0
4350	18856.0
4360	18840.0
4370	18892.0
4380	19028.0
4390	19034.0
4400	19004.0
4410	18776.0
4420	18832.0
4430	19172.0
4440	19080.0
4450	19120.0
4460	18720.0
4470	19258.0
4480	19234.0
4490	18794.0
4500	19044.0
4510	18812.0
4520	19152.0
4530	19100.0
4540	19200.0
4550	19088.0
4560	19214.0
4570	19226.0
4580	19382.0
4590	19092.0
4600	19008.0
4610	18614.0
4620	18486.0
4630	18946.0
4640	19268.0
4650	18920.0
4660	19074.0
4670	18888.0
4680	19212.0
4690	18782.0
4700	18788.0
4710	18924.0
4720	19300.0
4730	19342.0
4740	19180.0
4750	19124.0
4760	18874.0
4770	18864.0
4780	18886.0
4790	18722.0
4800	19056.0
4810	18624.0
4820	19058.0
4830	18872.0
4840	18806.0
4850	19080.0
4860	18770.0
4870	19110.0
4880	18778.0
4890	18880.0
4900	18676.0
4910	18890.0
4920	18710.0
4930	18948.0
4940	18834.0
4950	18978.0
4960	18574.0
4970	18680.0
4980	18766.0
4990	18590.0
5000	19054.0
5010	19010.0
5020	18932.0
5030	18864.0
5040	18642.0
5050	18696.0
5060	18790.0
5070	18764.0
5080	19024.0
5090	18944.0
5100	18872.0
5110	18962.0
5120	18770.0
5130	19088.0
5140	18946.0
5150	18802.0
5160	19088.0
5170	19022.0
5180	18942.0
5190	18898.0
5200	18854.0
5210	18940.0
5220	18732.0
5230	19030.0
5240	18856.0
5250	18930.0
5260	18786.0
5270	18566.0
5280	18606.0
5290	18702.0
5300	18916.0
5310	18640.0
5320	18908.0
5330	18934.0
5340	18798.0
5350	18658.0
5360	18776.0
5370	19044.0
5380	18862.0
5390	18854.0
5400	19160.0
5410	19166.0
5420	19132.0
5430	18948.0
5440	19074.0
5450	18722.0
5460	18968.0
5470	18794.0
5480	18680.0
5490	18756.0
5500	18604.0
5510	18698.0
5520	19038.0
5530	18610.0
5540	18964.0
5550	18862.0
5560	18906.0
5570	18616.0
5580	18638.0
5590	18770.0
5600	19004.0
5610	19170.0
5620	19224.0
5630	18926.0
5640	18858.0
5650	19102.0
5660	18778.0
5670	18850.0
5680	18868.0
5690	19038.0
5700	18854.0
5710	18684.0
5720	18862.0
5730	18938.0
5740	18844.0
5750	19006.0
5760	18984.0
5770	18846.0
5780	18942.0
5790	18772.0
5800	18972.0
5810	18766.0
5820	19302.0
5830	19004.0
5840	18688.0
5850	19060.0
5860	18892.0
5870	18772.0
5880	19270.0
5890	18908.0
5900	18866.0
5910	18926.0
5920	18934.0
5930	18974.0
5940	19048.0
5950	18920.0
5960	18704.0
5970	19130.0
5980	18652.0
5990	18618.0
6000	18792.0
6010	19186.0
6020	18984.0
6030	18712.0
6040	19100.0
6050	18950.0
6060	18554.0
6070	18874.0
6080	18698.0
6090	18736.0
6100	18512.0
6110	18942.0
6120	18760.0
6130	18716.0
6140	18680.0
6150	18744.0
6160	18688.0
6170	18626.0
6180	19060.0
6190	19074.0
6200	18612.0
6210	18418.0
6220	18544.0
6230	18720.0
6240	18610.0
6250	18730.0
6260	18850.0
6270	19122.0
6280	18782.0
6290	18650.0
6300	18872.0
6310	18864.0
6320	18604.0
6330	18856.0
6340	18686.0
6350	19238.0
6360	19244.0
6370	19010.0
6380	18716.0
6390	18914.0
6400	18912.0
6410	18922.0
6420	19000.0
6430	19098.0
6440	18724.0
6450	18944.0
6460	18628.0
6470	18596.0
6480	18794.0
6490	18958.0
6500	19142.0
6510	18704.0
6520	18660.0
6530	18634.0
6540	18754.0
6550	18694.0
6560	19160.0
6570	18870.0
6580	18944.0
6590	18936.0
6600	19032.0
6610	18842.0
6620	19058.0
6630	19014.0
6640	18778.0
6650	18966.0
6660	18984.0
6670	18994.0
6680	18744.0
6690	19020.0
6700	18808.0
6710	18564.0
6720	18840.0
6730	18392.0
6740	18796.0
6750	18674.0
6760	18768.0
6770	18730.0
6780	18774.0
6790	19060.0
6800	18788.0
6810	18656.0
6820	18728.0
6830	18818.0
6840	18912.0
6850	18582.0
6860	18960.0
6870	18820.0
6880	18938.0
6890	18912.0
6900	18822.0
6910	18608.0
6920	18802.0
6930	18922.0
6940	19054.0
6950	18982.0
6960	18808.0
6970	19040.0
6980	19118.0
6990	18724.0
7000	18714.0
7010	18894.0
7020	18880.0
7030	18792.0
7040	18616.0
7050	18736.0
7060	18744.0
7070	18914.0
7080	18864.0
7090	19128.0
7100	18738.0
7110	18620.0
7120	18700.0
7130	19086.0
7140	18846.0
7150	19020.0
7160	18590.0
7170	18678.0
7180	19012.0
7190	19504.0
7200	18938.0
7210	18994.0
7220	19178.0
7230	18896.0
7240	18896.0
7250	18978.0
7260	19112.0
7270	18830.0
7280	18544.0
7290	18600.0
7300	18836.0
7310	18792.0
7320	18884.0
7330	18718.0
7340	19132.0
7350	18988.0
7360	18968.0
7370	18852.0
7380	18500.0
7390	18762.0
7400	18784.0
7410	18852.0
7420	18812.0
7430	18644.0
7440	18824.0
7450	18728.0
7460	18862.0
7470	18712.0
7480	18910.0
7490	18914.0
7500	18908.0
7510	19114.0
7520	19136.0
7530	18694.0
7540	18818.0
7550	18974.0
7560	18654.0
7570	18972.0
7580	18718.0
7590	19056.0
7600	18764.0
7610	18942.0
7620	18938.0
7630	18800.0
7640	18886.0
7650	18600.0
7660	18912.0
7670	18896.0
7680	18632.0
7690	18644.0
7700	18994.0
7710	18842.0
7720	18756.0
7730	18798.0
7740	18608.0
7750	18688.0
7760	18644.0
7770	19022.0
7780	18836.0
7790	18934.0
7800	19092.0
7810	18714.0
7820	18756.0
7830	18956.0
7840	18892.0
7850	18890.0
7860	19092.0
7870	18998.0
7880	18900.0
7890	19002.0
7900	19318.0
7910	19034.0
7920	18612.0
7930	18690.0
7940	18808.0
7950	19202.0
7960	19250.0
7970	18988.0
7980	19004.0
7990	19004.0
8000	18870.0
8010	18748.0
8020	19028.0
8030	18840.0
8040	18820.0
8050	18652.0
8060	18494.0
8070	18766.0
8080	18688.0
8090	18968.0
8100	18802.0
8110	19192.0
8120	18898.0
8130	18852.0
8140	18484.0
8150	18872.0
8160	18774.0
8170	18800.0
8180	19166.0
8190	19038.0
8200	18642.0
8210	19046.0
8220	18680.0
8230	18914.0
8240	18848.0
8250	18970.0
8260	18846.0
8270	18944.0
8280	18842.0
8290	18908.0
8300	18766.0
8310	18680.0
8320	18550.0
8330	18956.0
8340	19360.0
8350	18630.0
8360	18644.0
8370	19084.0
8380	18796.0
8390	18938.0
8400	18688.0
8410	18860.0
8420	18764.0
8430	18804.0
8440	19072.0
8450	18732.0
8460	18912.0
8470	19112.0
8480	18846.0
8490	18842.0
8500	18774.0
8510	19110.0
8520	18812.0
8530	18968.0
8540	18880.0
8550	18818.0
8560	18696.0
8570	18754.0
8580	18668.0
8590	19060.0
8600	19106.0
8610	18856.0
8620	19104.0
8630	18874.0
8640	18988.0
8650	18650.0
8660	18886.0
8670	18614.0
8680	18942.0
8690	19066.0
8700	19164.0
8710	18258.0
8720	18858.0
8730	18486.0
8740	18940.0
8750	18846.0
8760	18896.0
8770	18744.0
8780	19104.0
8790	19022.0
8800	18862.0
8810	18942.0
8820	18778.0
8830	18792.0
8840	18696.0
8850	18902.0
8860	18834.0
8870	19388.0
8880	18822.0
8890	18830.0
8900	18954.0
8910	18994.0
8920	19098.0
8930	18746.0
8940	18806.0
8950	18748.0
8960	18718.0
8970	18614.0
8980	18872.0
8990	18764.0
9000	18802.0
9010	19200.0
9020	18966.0
9030	18780.0
9040	19048.0
9050	18848.0
9060	19028.0
9070	18840.0
9080	18792.0
9090	18772.0
9100	18874.0
9110	18836.0
9120	19102.0
9130	18674.0
9140	19296.0
9150	19052.0
9160	19234.0
9170	18622.0
9180	18706.0
9190	19034.0
9200	18762.0
9210	18864.0
9220	18922.0
9230	18666.0
9240	18656.0
9250	18982.0
9260	18794.0
9270	18916.0
9280	18892.0
9290	18716.0
9300	18834.0
9310	18900.0
9320	18644.0
9330	18930.0
9340	18856.0
9350	19084.0
9360	18928.0
9370	19142.0
9380	18974.0
9390	18766.0
9400	18814.0
9410	19076.0
9420	18760.0
9430	18780.0
9440	18708.0
9450	18892.0
9460	18680.0
9470	18600.0
9480	18678.0
9490	18650.0
9500	18810.0
9510	18830.0
9520	18916.0
9530	19042.0
9540	18512.0
9550	18764.0
9560	18968.0
9570	18588.0
9580	18854.0
9590	18964.0
9600	18864.0
9610	18908.0
9620	18828.0
9630	19024.0
9640	18752.0
9650	18460.0
9660	19032.0
9670	18848.0
9680	18682.0
9690	19084.0
9700	19108.0
9710	19180.0
9720	18872.0
9730	18606.0
9740	18956.0
9750	18946.0
9760	18870.0
9770	18790.0
9780	18860.0
9790	18630.0
9800	18970.0
9810	18644.0
9820	18564.0
9830	18622.0
9840	18786.0
9850	18804.0
9860	18950.0
9870	18848.0
9880	18698.0
9890	18630.0
9900	19086.0
9910	18704.0
9920	19292.0
9930	18708.0
9940	18970.0
9950	18884.0
9960	18914.0
9970	19026.0
9980	18570.0
9990	18782.0
