#MCS	VolumeEnergy
0	724.0
10	1626.0
20	1584.0
30	1778.0
40	1944.0
50	2130.0
60	2016.0
70	2206.0
80	2132.0
90	2180.0
100	2376.0
110	2232.0
120	2362.0
130	2430.0
140	2572.0
150	2510.0
160	2532.0
170	2430.0
180	2600.0
190	2380.0
200	2598.0
210	2646.0
220	2206.0
230	2374.0
240	2072.0
250	2272.0
260	2556.0
270	2140.0
280	2266.0
290	2164.0
300	2030.0
310	2038.0
320	2198.0
330	2664.0
340	2760.0
350	2756.0
360	2732.0
370	2730.0
380	2644.0
390	2552.0
400	2474.0
410	2460.0
420	2506.0
430	2502.0
440	2490.0
450	2450.0
460	2302.0
470	2546.0
480	2340.0
490	2256.0
500	2540.0
510	2434.0
520	2422.0
530	2394.0
540	2286.0
550	2242.0
560	2602.0
570	2388.0
580	2604.0
590	2370.0
600	2290.0
610	2332.0
620	2294.0
630	2066.0
640	2276.0
650	2068.0
660	2208.0
670	2286.0
680	2406.0
690	2112.0
700	1938.0
710	2202.0
720	2516.0
730	2380.0
740	2398.0
750	2348.0
760	2724.0
770	2706.0
780	2574.0
790	2764.0
800	2342.0
810	2680.0
820	2736.0
830	2398.0
840	2162.0
850	2716.0
860	2420.0
870	2232.0
880	2218.0
890	1976.0
900	1966.0
910	2094.0
920	2060.0
930	1956.0
940	1876.0
950	2010.0
960	1866.0
970	2196.0
980	2170.0
990	2364.0
1000	2320.0
1010	2408.0
1020	2586.0
1030	1990.0
1040	2530.0
1050	2128.0
1060	2662.0
1070	2600.0
1080	2382.0
1090	2356.0
1100	2640.0
1110	2138.0
1120	2502.0
1130	2322.0
1140	2170.0
1150	2068.0
1160	2242.0
1170	2182.0
1180	2236.0
1190	2408.0
1200	2504.0
1210	2294.0
1220	2428.0
1230	2162.0
1240	2048.0
1250	2112.0
1260	2086.0
1270	2284.0
1280	2336.0
1290	2374.0
1300	2158.0
1310	1892.0
1320	2166.0
1330	2270.0
1340	2380.0
1350	2002.0
1360	1800.0
1370	1856.0
1380	1904.0
1390	2086.0
1400	2104.0
1410	2292.0
1420	2322.0
1430	2150.0
1440	2082.0
1450	2286.0
1460	2012.0
1470	2032.0
1480	2202.0
1490	2442.0
1500	2266.0
1510	2370.0
1520	2508.0
1530	2138.0
1540	2278.0
1550	2428.0
1560	2196.0
1570	2198.0
1580	2306.0
1590	2274.0
1600	2350.0
1610	2574.0
1620	2476.0
1630	2482.0
1640	2110.0
1650	2210.0
1660	2588.0
1670	2540.0
1680	2182.0
1690	2580.0
1700	2720.0
1710	2668.0
1720	2514.0
1730	2632.0
1740	2784.0
1750	2290.0
1760	2784.0
1770	2766.0
1780	2680.0
1790	2474.0
1800	2284.0
1810	2538.0
1820	2168.0
1830	2298.0
1840	2216.0
1850	2562.0
1860	2172.0
1870	2182.0
1880	2000.0
1890	2320.0
1900	2226.0
1910	2242.0
1920	2376.0
1930	1926.0
1940	2122.0
1950	2166.0
1960	2050.0
1970	1914.0
1980	2170.0
1990	1860.0
2000	2314.0
2010	1916.0
2020	2112.0
2030	1966.0
2040	2112.0
2050	2370.0
2060	2112.0
2070	2230.0
2080	2214.0
2090	2066.0
2100	2050.0
2110	2482.0
2120	2366.0
2130	2196.0
2140	2150.0
2150	2008.0
2160	1992.0
2170	1744.0
2180	2168.0
2190	2052.0
2200	1674.0
2210	2016.0
2220	2062.0
2230	1904.0
2240	1712.0
2250	2060.0
2260	2056.0
2270	2146.0
2280	2250.0
2290	1948.0
2300	2024.0
2310	2022.0
2320	1706.0
2330	1810.0
2340	1898.0
2350	1812.0
2360	1662.0
2370	1944.0
2380	1928.0
2390	2222.0
2400	2152.0
2410	2002.0
2420	2294.0
2430	2124.0
2440	1900.0
2450	2032.0
2460	1830.0
2470	1928.0
2480	1898.0
2490	1872.0
2500	2064.0
2510	1982.0
2520	1540.0
2530	1896.0
2540	2156.0
2550	2098.0
2560	2022.0
2570	2108.0
2580	2126.0
2590	1968.0
2600	2068.0
2610	1870.0
2620	1864.0
2630	1980.0
2640	1938.0
2650	1816.0
2660	2184.0
2670	1928.0
2680	2078.0
2690	1780.0
2700	1922.0
2710	1454.0
2720	2028.0
2730	1850.0
2740	1830.0
2750	1864.0
2760	1644.0
2770	2080.0
2780	1622.0
2790	2106.0
2800	1936.0
2810	2042.0
2820	1840.0
2830	1838.0
2840	1916.0
2850	1796.0
2860	1642.0
2870	1584.0
2880	2102.0
2890	1788.0
2900	1844.0
2910	1836.0
2920	1726.0
2930	2046.0
2940	1868.0
2950	1896.0
2960	1804.0
2970	1688.0
2980	1936.0
2990	1838.0
3000	1942.0
3010	1826.0
3020	1986.0
3030	1672.0
3040	2078.0
3050	1940.0
3060	1992.0
3070	1964.0
3080	1794.0
