#MCS	TotalEnergy
0	22960.0
10	25397.0
20	25112.0
30	24730.0
40	25189.0
50	24899.0
60	24965.0
70	24882.0
80	24894.0
90	24852.0
100	24805.0
110	24603.0
120	24610.0
130	24628.0
140	24384.0
150	24176.0
160	24249.0
170	23999.0
180	24173.0
190	24700.0
200	23996.0
210	24414.0
220	24097.0
230	24309.0
240	24348.0
250	24331.0
260	24114.0
270	24179.0
280	24501.0
290	24276.0
300	24085.0
310	24419.0
320	24461.0
330	24068.0
340	23849.0
350	24078.0
360	23968.0
370	24257.0
380	23938.0
390	24067.0
400	23841.0
410	24036.0
420	23758.0
430	24112.0
440	23985.0
450	23606.0
460	24084.0
470	24108.0
480	24196.0
490	23961.0
500	23941.0
510	24131.0
520	23612.0
530	23628.0
540	23642.0
550	23983.0
560	23977.0
570	23794.0
580	23937.0
590	23441.0
600	23853.0
610	23671.0
620	23838.0
630	23843.0
640	24022.0
650	24097.0
660	23808.0
670	24014.0
680	23683.0
690	23855.0
700	23749.0
710	23711.0
720	23489.0
730	24276.0
740	23374.0
750	23781.0
760	23514.0
770	23498.0
780	24029.0
790	23503.0
800	23195.0
810	23725.0
820	23749.0
830	23425.0
840	23702.0
850	23961.0
860	23729.0
870	23445.0
880	23514.0
890	23539.0
900	23339.0
910	23361.0
920	23294.0
930	23389.0
940	23518.0
950	23079.0
960	23524.0
970	23384.0
980	23308.0
990	23302.0
1000	23678.0
1010	23345.0
1020	23372.0
1030	23202.0
1040	23465.0
1050	22843.0
1060	23372.0
1070	23647.0
1080	23411.0
1090	23304.0
1100	23444.0
1110	23407.0
1120	23597.0
1130	23177.0
1140	23288.0
1150	23386.0
1160	23169.0
1170	23251.0
1180	22991.0
1190	23034.0
1200	23211.0
1210	23383.0
1220	23068.0
1230	23166.0
1240	22921.0
1250	23338.0
1260	23089.0
1270	23240.0
1280	23051.0
1290	23354.0
1300	22999.0
1310	23260.0
1320	23470.0
1330	23272.0
1340	23402.0
1350	23349.0
1360	22965.0
1370	23289.0
1380	23106.0
1390	23071.0
1400	23055.0
1410	23412.0
1420	22973.0
1430	23260.0
1440	23180.0
1450	23171.0
1460	23325.0
1470	23056.0
1480	23023.0
1490	22971.0
1500	23159.0
1510	23051.0
1520	22956.0
1530	23469.0
1540	23148.0
1550	22868.0
1560	22988.0
