#MCS	AdhesionEnergy
0	21572.0
10	24044.0
20	23858.0
30	24268.0
40	23872.0
50	23806.0
60	23930.0
70	23446.0
80	23812.0
90	23374.0
100	23484.0
110	23168.0
120	23354.0
130	23522.0
140	23084.0
150	23026.0
160	23360.0
170	23642.0
180	23604.0
190	23434.0
200	23382.0
210	23144.0
220	23210.0
230	23224.0
240	23570.0
250	23272.0
260	23562.0
270	23406.0
280	23264.0
290	23228.0
300	23348.0
310	23042.0
320	23056.0
330	22892.0
340	22896.0
350	23246.0
360	23042.0
370	23064.0
380	23084.0
390	23012.0
400	23008.0
410	23446.0
420	22936.0
430	22700.0
440	23294.0
450	22722.0
460	22800.0
470	23138.0
480	23198.0
490	23114.0
500	23082.0
510	23202.0
520	23096.0
530	22920.0
540	22756.0
550	22428.0
560	22836.0
570	22872.0
580	22682.0
590	22814.0
600	23138.0
610	22886.0
620	22790.0
630	22702.0
640	22680.0
650	22884.0
660	22764.0
670	22900.0
680	22894.0
690	22930.0
700	22742.0
710	22676.0
720	22564.0
730	22742.0
740	22738.0
750	23032.0
760	22684.0
770	22578.0
780	23082.0
790	22872.0
800	22620.0
810	22796.0
820	23092.0
830	22832.0
840	22788.0
850	22662.0
860	22924.0
870	22830.0
880	22792.0
890	22466.0
900	22740.0
910	22660.0
920	22668.0
930	22462.0
940	22516.0
950	22780.0
960	22652.0
970	22440.0
980	23002.0
990	22246.0
1000	22882.0
1010	22722.0
1020	22752.0
1030	22682.0
1040	22534.0
1050	22604.0
1060	22462.0
1070	22476.0
1080	22682.0
1090	22486.0
1100	22538.0
1110	22552.0
1120	22534.0
1130	22914.0
1140	22934.0
1150	22762.0
1160	22350.0
1170	22636.0
1180	22448.0
1190	22996.0
1200	22634.0
1210	22456.0
1220	22680.0
1230	22736.0
1240	23046.0
1250	22962.0
1260	22688.0
1270	22512.0
1280	22580.0
1290	22736.0
1300	22394.0
1310	22564.0
1320	22778.0
1330	22908.0
1340	22652.0
1350	22774.0
1360	22594.0
1370	22572.0
1380	22704.0
1390	22632.0
1400	22454.0
1410	22486.0
1420	22406.0
1430	22686.0
1440	22588.0
1450	22472.0
1460	22456.0
1470	22754.0
1480	22430.0
1490	22968.0
1500	22736.0
1510	22554.0
1520	22298.0
1530	22682.0
1540	22948.0
1550	22688.0
1560	22652.0
1570	22272.0
1580	22732.0
1590	22526.0
1600	22820.0
1610	22454.0
1620	22456.0
1630	22680.0
1640	22600.0
1650	22426.0
1660	22388.0
1670	22760.0
1680	22356.0
1690	22694.0
1700	22776.0
1710	22564.0
1720	22594.0
1730	22884.0
1740	22550.0
1750	22754.0
1760	22522.0
1770	22498.0
1780	22244.0
1790	22646.0
1800	22410.0
1810	22674.0
1820	22634.0
1830	22528.0
1840	22774.0
1850	22490.0
1860	22672.0
1870	22918.0
1880	22638.0
1890	22454.0
1900	22644.0
1910	22376.0
1920	22624.0
1930	22778.0
1940	22378.0
1950	22206.0
1960	22700.0
1970	22526.0
1980	22346.0
1990	22338.0
2000	22208.0
2010	22530.0
2020	22564.0
2030	22462.0
2040	22206.0
2050	22264.0
2060	22548.0
2070	22712.0
2080	22580.0
2090	22434.0
2100	22518.0
2110	22318.0
2120	22218.0
2130	22224.0
2140	22164.0
2150	22244.0
2160	22422.0
2170	22064.0
2180	22238.0
2190	22514.0
2200	22342.0
2210	22484.0
2220	22414.0
2230	22496.0
2240	22438.0
2250	22320.0
2260	22328.0
2270	22254.0
2280	22516.0
2290	22614.0
2300	22286.0
2310	22368.0
2320	22286.0
2330	22390.0
2340	22526.0
2350	22150.0
2360	22272.0
2370	22396.0
2380	22354.0
2390	22534.0
2400	22596.0
2410	22332.0
2420	22570.0
2430	22450.0
2440	22308.0
2450	22354.0
2460	22590.0
2470	22388.0
2480	22258.0
2490	22010.0
2500	22440.0
2510	22584.0
2520	22500.0
2530	22486.0
2540	22654.0
2550	22656.0
2560	22788.0
2570	22434.0
2580	22528.0
2590	22384.0
2600	22534.0
2610	22310.0
2620	22464.0
2630	22594.0
2640	22304.0
2650	22394.0
2660	22516.0
2670	22662.0
2680	22400.0
2690	22584.0
2700	22314.0
2710	22484.0
2720	22276.0
2730	22384.0
2740	22424.0
2750	22146.0
2760	22360.0
2770	22466.0
2780	22712.0
2790	22372.0
2800	22590.0
2810	22230.0
2820	22238.0
2830	22470.0
2840	22108.0
2850	22602.0
2860	22446.0
2870	22714.0
2880	22554.0
2890	22304.0
2900	22436.0
2910	22426.0
2920	22230.0
2930	22290.0
2940	22520.0
2950	22556.0
2960	22400.0
2970	22286.0
2980	22330.0
2990	22270.0
3000	22448.0
3010	22458.0
3020	22790.0
3030	22756.0
3040	22804.0
3050	22048.0
3060	22248.0
3070	22298.0
3080	22332.0
3090	22220.0
3100	22476.0
3110	22158.0
3120	22258.0
3130	22284.0
3140	22252.0
3150	22264.0
3160	22344.0
3170	22110.0
3180	21996.0
3190	22002.0
3200	22168.0
3210	22280.0
3220	22372.0
3230	22464.0
3240	22386.0
3250	22438.0
3260	22324.0
3270	22318.0
3280	22050.0
3290	21928.0
3300	22482.0
3310	22454.0
3320	22358.0
3330	22568.0
3340	22254.0
3350	22404.0
3360	22324.0
3370	22510.0
3380	22452.0
3390	22410.0
3400	22476.0
3410	22320.0
3420	22568.0
3430	22224.0
3440	22624.0
3450	22438.0
3460	22360.0
3470	22516.0
3480	22576.0
3490	22524.0
3500	22446.0
3510	22294.0
3520	22102.0
3530	22452.0
3540	22624.0
3550	22424.0
3560	22544.0
3570	22334.0
3580	22580.0
3590	22354.0
3600	22370.0
3610	22660.0
3620	22220.0
3630	22304.0
3640	22436.0
3650	22094.0
3660	22140.0
3670	22426.0
3680	22282.0
3690	22444.0
3700	22458.0
3710	22320.0
3720	21926.0
3730	21934.0
3740	21914.0
3750	22020.0
3760	22054.0
3770	22220.0
3780	22292.0
3790	22268.0
3800	22434.0
3810	22190.0
3820	22536.0
3830	22386.0
3840	22176.0
3850	22398.0
3860	22470.0
3870	22708.0
3880	22372.0
3890	22482.0
3900	22140.0
3910	22256.0
3920	22176.0
3930	22462.0
3940	22266.0
3950	22228.0
3960	22296.0
3970	22268.0
3980	22334.0
3990	21968.0
4000	22286.0
4010	22312.0
4020	22256.0
4030	22294.0
4040	22168.0
4050	21980.0
4060	22200.0
4070	22194.0
4080	22234.0
4090	22594.0
4100	21920.0
4110	22164.0
4120	22094.0
4130	22228.0
4140	22118.0
4150	22152.0
4160	22184.0
4170	22176.0
4180	22438.0
4190	22242.0
4200	22358.0
4210	22688.0
4220	22390.0
4230	22406.0
4240	22408.0
4250	22206.0
4260	22482.0
4270	22616.0
4280	22278.0
4290	22202.0
4300	22462.0
4310	22380.0
4320	22286.0
4330	22598.0
4340	22476.0
4350	22434.0
4360	22498.0
4370	22450.0
4380	22210.0
4390	22240.0
4400	22236.0
4410	22408.0
4420	22262.0
4430	22256.0
4440	22632.0
4450	22102.0
4460	22334.0
4470	22290.0
4480	22256.0
4490	22408.0
4500	22150.0
4510	22412.0
4520	22414.0
4530	22362.0
4540	22580.0
4550	22294.0
4560	22420.0
4570	22248.0
4580	22272.0
4590	22342.0
4600	22078.0
4610	22532.0
4620	22208.0
4630	22322.0
4640	22276.0
4650	22234.0
4660	22484.0
4670	22116.0
4680	22348.0
4690	22002.0
4700	22056.0
4710	22342.0
4720	22618.0
4730	22282.0
4740	22450.0
4750	22396.0
4760	22218.0
4770	22476.0
4780	22672.0
4790	22388.0
4800	22536.0
4810	22492.0
4820	22168.0
4830	22340.0
4840	22238.0
4850	22070.0
4860	22386.0
4870	22040.0
4880	22500.0
4890	22420.0
4900	22552.0
4910	22386.0
4920	22578.0
4930	22462.0
4940	22484.0
4950	22144.0
4960	22298.0
4970	22424.0
4980	22278.0
4990	22302.0
5000	22384.0
5010	22284.0
5020	22204.0
5030	22372.0
5040	22566.0
5050	22394.0
5060	22320.0
5070	22318.0
5080	22342.0
5090	22070.0
5100	22346.0
5110	22256.0
5120	22494.0
5130	22048.0
5140	22252.0
5150	22350.0
5160	22382.0
5170	22720.0
5180	22136.0
5190	22092.0
5200	22182.0
5210	22372.0
5220	22566.0
5230	22208.0
5240	22402.0
5250	22388.0
5260	22334.0
5270	22378.0
5280	22492.0
5290	22348.0
5300	21982.0
5310	22532.0
5320	22404.0
5330	22188.0
5340	22574.0
5350	22414.0
5360	22410.0
5370	22294.0
5380	22370.0
5390	22154.0
5400	22238.0
5410	22300.0
5420	22310.0
5430	22498.0
5440	22320.0
5450	22654.0
5460	22250.0
5470	22430.0
5480	22330.0
5490	22486.0
5500	22636.0
5510	21998.0
5520	22134.0
5530	22364.0
5540	22574.0
5550	22250.0
5560	21836.0
5570	22482.0
5580	22316.0
5590	22254.0
5600	22112.0
5610	22064.0
5620	21902.0
5630	22578.0
5640	22526.0
5650	22280.0
5660	22118.0
5670	22426.0
5680	22148.0
5690	22320.0
5700	22340.0
5710	22266.0
5720	22148.0
5730	22074.0
5740	22244.0
5750	22328.0
5760	22202.0
5770	22140.0
5780	22478.0
5790	22400.0
5800	22062.0
5810	22520.0
5820	22492.0
5830	22330.0
5840	22270.0
5850	22222.0
5860	22422.0
5870	22346.0
5880	22066.0
5890	22370.0
5900	22262.0
5910	22044.0
5920	22208.0
5930	22386.0
5940	22328.0
5950	22284.0
5960	22358.0
5970	22474.0
5980	22512.0
5990	22288.0
6000	22498.0
6010	22152.0
6020	22344.0
6030	22340.0
6040	22268.0
6050	22114.0
6060	22114.0
6070	22276.0
6080	22250.0
6090	22532.0
6100	22506.0
6110	22380.0
6120	22312.0
6130	22486.0
6140	22418.0
