#MCS	TotalEnergy
0	22316.0
10	25512.0
20	25554.0
30	25998.0
40	26064.0
50	25896.0
60	26176.0
70	25616.0
80	26178.0
90	25824.0
100	25816.0
110	25520.0
120	26004.0
130	26336.0
140	25892.0
150	25794.0
160	26186.0
170	26154.0
180	26050.0
190	25922.0
200	25688.0
210	25854.0
220	25844.0
230	25860.0
240	26368.0
250	25714.0
260	26092.0
270	25824.0
280	25768.0
290	25540.0
300	25712.0
310	25516.0
320	25558.0
330	25594.0
340	25632.0
350	25478.0
360	25576.0
370	25444.0
380	25552.0
390	25664.0
400	25284.0
410	25794.0
420	25482.0
430	25348.0
440	25880.0
450	25580.0
460	25620.0
470	25422.0
480	25594.0
490	25412.0
500	25538.0
510	25686.0
520	25760.0
530	25460.0
540	25580.0
550	25206.0
560	25250.0
570	25262.0
580	25388.0
590	25580.0
600	25700.0
610	25296.0
620	25364.0
630	25620.0
640	25308.0
650	25574.0
660	25390.0
670	25418.0
680	25356.0
690	25590.0
700	25522.0
710	25264.0
720	25196.0
730	25716.0
740	25556.0
750	25784.0
760	25618.0
770	25486.0
780	25624.0
790	25726.0
800	25364.0
810	25250.0
820	25380.0
830	25418.0
840	25438.0
850	25096.0
860	25242.0
870	25358.0
880	25446.0
890	25154.0
900	25102.0
910	25036.0
920	25150.0
930	25164.0
940	25212.0
950	24952.0
960	25256.0
970	24900.0
980	25196.0
990	24804.0
1000	25370.0
1010	25306.0
1020	25132.0
1030	25138.0
1040	25268.0
1050	25440.0
1060	25028.0
1070	24918.0
1080	25096.0
1090	24974.0
1100	24874.0
1110	25268.0
1120	24970.0
1130	25478.0
1140	25454.0
1150	25348.0
1160	24820.0
1170	25292.0
1180	24966.0
1190	25408.0
1200	25244.0
1210	24992.0
1220	25072.0
1230	25100.0
1240	25354.0
1250	24962.0
1260	25174.0
1270	24644.0
1280	24774.0
1290	25458.0
1300	25200.0
1310	25374.0
1320	25096.0
1330	25360.0
1340	25010.0
1350	25166.0
1360	24962.0
1370	25166.0
1380	25150.0
1390	24996.0
1400	24876.0
1410	25036.0
1420	24846.0
1430	25046.0
1440	25006.0
1450	24966.0
1460	24902.0
1470	25520.0
1480	25344.0
1490	25650.0
1500	25136.0
1510	24928.0
1520	24894.0
1530	25276.0
1540	25204.0
1550	25060.0
1560	24916.0
1570	24564.0
1580	25174.0
1590	24754.0
1600	24990.0
1610	24964.0
1620	24604.0
1630	25090.0
1640	24932.0
1650	24758.0
1660	24776.0
1670	25226.0
1680	24710.0
1690	24888.0
1700	24660.0
1710	24616.0
1720	24740.0
1730	24682.0
1740	24990.0
1750	24922.0
1760	24692.0
1770	24790.0
1780	24344.0
1790	25246.0
1800	25042.0
1810	24828.0
1820	24864.0
1830	25104.0
1840	24900.0
1850	24856.0
1860	24846.0
1870	25028.0
1880	24822.0
1890	24726.0
1900	24842.0
1910	24522.0
1920	24866.0
1930	25160.0
1940	24916.0
1950	24502.0
1960	24680.0
