#MCS	VolumeEnergy
0	744.0
10	1468.0
20	1696.0
30	1730.0
40	2192.0
50	2090.0
60	2246.0
70	2170.0
80	2366.0
90	2450.0
100	2332.0
110	2352.0
120	2650.0
130	2814.0
140	2808.0
150	2768.0
160	2826.0
170	2512.0
180	2446.0
190	2488.0
200	2306.0
210	2710.0
220	2634.0
230	2636.0
240	2798.0
250	2442.0
260	2530.0
270	2418.0
280	2504.0
290	2312.0
300	2364.0
310	2474.0
320	2502.0
330	2702.0
340	2736.0
350	2232.0
360	2534.0
370	2380.0
380	2468.0
390	2652.0
400	2276.0
410	2348.0
420	2546.0
430	2648.0
440	2586.0
450	2858.0
460	2820.0
470	2284.0
480	2396.0
490	2298.0
500	2456.0
510	2484.0
520	2664.0
530	2540.0
540	2824.0
550	2778.0
560	2414.0
570	2390.0
580	2706.0
590	2766.0
600	2562.0
610	2410.0
620	2574.0
630	2918.0
640	2628.0
650	2690.0
660	2626.0
670	2518.0
680	2462.0
690	2660.0
700	2780.0
710	2588.0
720	2632.0
730	2974.0
740	2818.0
750	2752.0
760	2934.0
770	2908.0
780	2542.0
790	2854.0
800	2744.0
810	2454.0
820	2288.0
830	2586.0
840	2650.0
850	2434.0
860	2318.0
870	2528.0
880	2654.0
890	2688.0
900	2362.0
910	2376.0
920	2482.0
930	2702.0
940	2696.0
950	2172.0
960	2604.0
970	2460.0
980	2194.0
990	2558.0
1000	2488.0
1010	2584.0
1020	2380.0
1030	2456.0
1040	2734.0
1050	2836.0
1060	2566.0
1070	2442.0
1080	2414.0
1090	2488.0
1100	2336.0
1110	2716.0
1120	2436.0
1130	2564.0
1140	2520.0
1150	2586.0
1160	2470.0
1170	2656.0
1180	2518.0
1190	2412.0
1200	2610.0
1210	2536.0
1220	2392.0
1230	2364.0
1240	2308.0
1250	2000.0
1260	2486.0
1270	2132.0
1280	2194.0
1290	2722.0
1300	2806.0
1310	2810.0
1320	2318.0
1330	2452.0
1340	2358.0
1350	2392.0
1360	2368.0
1370	2594.0
1380	2446.0
1390	2364.0
1400	2422.0
1410	2550.0
1420	2440.0
1430	2360.0
1440	2418.0
1450	2494.0
1460	2446.0
1470	2766.0
1480	2914.0
1490	2682.0
1500	2400.0
1510	2374.0
1520	2596.0
1530	2594.0
1540	2256.0
1550	2372.0
1560	2264.0
1570	2292.0
1580	2442.0
1590	2228.0
1600	2170.0
1610	2510.0
1620	2148.0
1630	2410.0
1640	2332.0
1650	2332.0
1660	2388.0
1670	2466.0
1680	2354.0
1690	2194.0
1700	1884.0
1710	2052.0
1720	2146.0
1730	1798.0
1740	2440.0
1750	2168.0
1760	2170.0
1770	2292.0
1780	2100.0
1790	2600.0
1800	2632.0
1810	2154.0
1820	2230.0
1830	2576.0
1840	2126.0
1850	2366.0
1860	2174.0
1870	2110.0
1880	2184.0
1890	2272.0
1900	2198.0
1910	2146.0
1920	2242.0
1930	2382.0
1940	2538.0
1950	2296.0
1960	1980.0
1970	2384.0
1980	2554.0
1990	2260.0
2000	2568.0
2010	2538.0
2020	2502.0
2030	2474.0
2040	2720.0
2050	2360.0
2060	2608.0
2070	2410.0
2080	2434.0
2090	2418.0
2100	2518.0
2110	2766.0
2120	2700.0
2130	2956.0
2140	2714.0
2150	2844.0
2160	2514.0
2170	2308.0
2180	2440.0
2190	2342.0
2200	2692.0
2210	2510.0
2220	2414.0
2230	2164.0
2240	2218.0
2250	2492.0
2260	2390.0
2270	2554.0
2280	2124.0
2290	2336.0
2300	2306.0
2310	2486.0
2320	2536.0
2330	2128.0
2340	2124.0
2350	2430.0
2360	2170.0
2370	2200.0
2380	2288.0
2390	2250.0
2400	2290.0
2410	2166.0
2420	2176.0
2430	2560.0
2440	2454.0
2450	2358.0
2460	2376.0
2470	2530.0
2480	2536.0
2490	2404.0
2500	2332.0
2510	2426.0
2520	2274.0
2530	1920.0
2540	1970.0
2550	2126.0
2560	2056.0
2570	2302.0
2580	2326.0
2590	2366.0
2600	2290.0
2610	2584.0
2620	2366.0
2630	2534.0
2640	2486.0
2650	2430.0
2660	2470.0
2670	2398.0
2680	2548.0
2690	2342.0
2700	2194.0
2710	2102.0
2720	2288.0
2730	2202.0
2740	2248.0
2750	2334.0
2760	2522.0
2770	2296.0
2780	2338.0
2790	2398.0
2800	2340.0
2810	2232.0
2820	2330.0
2830	2220.0
2840	2496.0
2850	2542.0
2860	2494.0
2870	2004.0
2880	2188.0
2890	2638.0
2900	2296.0
2910	2242.0
2920	2638.0
2930	2456.0
2940	2736.0
2950	2400.0
2960	2330.0
2970	2520.0
2980	2356.0
2990	2106.0
3000	2148.0
3010	2168.0
3020	2032.0
3030	2116.0
3040	1778.0
3050	1938.0
3060	1834.0
3070	2246.0
3080	2582.0
3090	2416.0
3100	2100.0
3110	2274.0
3120	2280.0
3130	2682.0
3140	2634.0
3150	2626.0
3160	3128.0
3170	2714.0
3180	2862.0
3190	2426.0
3200	2460.0
3210	2294.0
3220	2382.0
3230	2058.0
3240	2344.0
3250	2184.0
3260	2218.0
3270	2058.0
3280	2400.0
3290	2304.0
3300	2328.0
3310	2576.0
3320	2332.0
3330	2534.0
3340	2190.0
3350	2814.0
3360	2396.0
3370	2372.0
3380	2296.0
3390	2132.0
3400	2534.0
3410	2302.0
3420	2248.0
3430	2096.0
3440	2346.0
3450	2432.0
3460	2192.0
3470	2240.0
3480	2428.0
3490	2382.0
3500	2488.0
3510	2516.0
3520	2372.0
3530	2434.0
3540	2254.0
3550	2378.0
3560	2374.0
3570	2236.0
3580	2396.0
3590	2260.0
3600	2266.0
3610	2046.0
3620	2056.0
3630	2342.0
3640	2280.0
3650	2700.0
3660	2264.0
3670	2478.0
3680	2566.0
3690	2726.0
3700	2418.0
3710	2434.0
3720	2886.0
3730	3026.0
3740	2580.0
3750	3154.0
3760	2696.0
3770	2782.0
3780	2802.0
3790	2452.0
3800	2642.0
3810	2550.0
3820	2314.0
3830	2634.0
3840	2504.0
3850	2422.0
3860	2526.0
3870	2514.0
3880	1928.0
3890	2506.0
3900	2434.0
3910	2192.0
3920	2468.0
3930	2462.0
3940	2742.0
3950	2636.0
3960	2616.0
3970	2330.0
3980	2284.0
3990	2486.0
4000	2390.0
4010	2290.0
4020	2394.0
4030	2110.0
4040	2230.0
4050	2294.0
4060	2400.0
4070	2288.0
4080	2404.0
4090	2118.0
4100	2252.0
4110	2618.0
4120	2556.0
4130	2600.0
4140	2408.0
4150	2550.0
4160	2354.0
4170	2494.0
4180	2882.0
4190	2646.0
4200	2492.0
4210	2500.0
4220	2596.0
4230	2526.0
4240	2442.0
4250	2436.0
4260	2272.0
4270	2282.0
4280	2178.0
4290	2306.0
4300	2164.0
4310	2170.0
4320	2132.0
4330	2340.0
4340	2450.0
4350	2262.0
4360	2600.0
4370	2368.0
4380	2560.0
4390	2226.0
4400	2268.0
4410	2246.0
4420	2230.0
4430	2372.0
4440	2226.0
4450	2082.0
4460	2176.0
4470	2022.0
4480	1986.0
4490	2628.0
4500	2302.0
4510	2314.0
4520	2362.0
4530	2500.0
4540	2034.0
4550	2136.0
4560	2202.0
4570	2658.0
4580	2558.0
4590	2650.0
4600	2184.0
4610	2344.0
4620	2460.0
4630	2952.0
4640	2464.0
4650	2168.0
4660	2042.0
4670	2468.0
4680	2280.0
4690	2288.0
4700	2280.0
4710	2284.0
4720	2072.0
4730	2110.0
4740	2500.0
4750	2620.0
4760	2222.0
4770	2554.0
4780	2280.0
4790	2636.0
4800	2282.0
4810	2294.0
4820	2248.0
4830	2188.0
4840	2532.0
4850	2626.0
4860	2516.0
4870	2588.0
4880	2358.0
4890	2816.0
4900	2432.0
4910	2690.0
4920	2228.0
4930	2466.0
4940	2372.0
4950	2672.0
4960	2540.0
4970	2316.0
4980	2272.0
4990	2434.0
5000	2408.0
5010	2334.0
5020	2290.0
5030	2454.0
5040	2634.0
5050	2660.0
5060	2854.0
5070	2554.0
5080	2580.0
5090	2496.0
5100	2582.0
5110	2604.0
5120	2540.0
5130	2380.0
5140	2700.0
5150	2472.0
5160	2552.0
5170	2528.0
5180	2544.0
5190	2520.0
5200	2338.0
5210	2576.0
5220	2432.0
5230	2632.0
5240	2790.0
5250	2522.0
5260	2508.0
5270	2234.0
5280	2742.0
5290	2410.0
5300	2610.0
5310	2546.0
5320	2458.0
5330	2270.0
5340	2448.0
5350	2426.0
5360	2200.0
5370	2156.0
5380	2472.0
5390	2490.0
5400	2732.0
5410	2468.0
5420	2264.0
5430	2378.0
5440	2118.0
5450	2426.0
5460	2278.0
5470	2190.0
5480	2384.0
5490	2186.0
5500	2300.0
5510	2568.0
5520	2594.0
5530	2410.0
5540	2212.0
5550	2502.0
5560	2718.0
5570	2556.0
