#MCS	Adhesion_Energy
0	100.0
10	360.0
20	260.0
30	260.0
40	260.0
50	300.0
60	320.0
70	300.0
80	300.0
90	320.0
100	320.0
110	360.0
120	320.0
130	470.0
140	440.0
150	450.0
160	490.0
170	490.0
180	500.0
190	520.0
200	540.0
210	570.0
220	570.0
230	610.0
240	620.0
250	680.0
260	840.0
270	800.0
280	870.0
290	910.0
300	930.0
310	980.0
320	980.0
330	950.0
340	1030.0
350	1030.0
360	1060.0
370	1100.0
380	1250.0
390	1520.0
400	1520.0
410	1590.0
420	1660.0
430	1770.0
440	1780.0
450	1750.0
460	1830.0
470	1880.0
480	1910.0
490	1930.0
500	1910.0
510	2670.0
520	2760.0
530	2820.0
540	2950.0
550	3010.0
560	3030.0
570	3190.0
580	3250.0
590	3280.0
600	3410.0
610	3530.0
620	3670.0
630	3660.0
640	5410.0
650	5390.0
660	5520.0
670	5600.0
680	5910.0
690	5960.0
700	5990.0
710	6220.0
720	6530.0
730	6590.0
740	6620.0
750	6820.0
760	7300.0
770	10180.0
780	10290.0
790	10560.0
800	10770.0
810	11310.0
820	11690.0
830	11840.0
840	12100.0
850	12440.0
860	12810.0
870	13170.0
880	13290.0
890	15810.0
900	19780.0
910	20550.0
920	21130.0
930	21680.0
940	22340.0
950	23040.0
960	22950.0
970	23970.0
980	24730.0
990	25460.0
1000	25620.0
1010	26520.0
1020	32530.0
1030	38620.0
1040	40150.0
1050	40970.0
1060	42380.0
1070	43590.0
1080	44620.0
1090	45990.0
1100	47130.0
1110	48300.0
1120	49670.0
1130	50820.0
1140	52180.0
1150	60520.0
1160	70470.0
1170	77290.0
1180	79590.0
1190	83260.0
1200	86590.0
1210	88970.0
1220	92250.0
1230	94400.0
1240	97270.0
1250	98880.0
1260	101150.0
1270	104940.0
1280	115930.0
1290	126750.0
1300	137730.0
1310	156340.0
1320	158850.0
1330	163460.0
1340	167130.0
1350	173070.0
1360	178680.0
1370	186970.0
1380	191370.0
1390	197710.0
1400	206530.0
1410	221660.0
1420	233080.0
1430	248160.0
1440	258320.0
1450	276830.0
1460	283400.0
1470	308570.0
1480	313200.0
1490	312650.0
1500	316540.0
1510	319670.0
1520	321600.0
1530	324380.0
1540	326230.0
1550	325930.0
1560	321890.0
1570	318010.0
1580	313450.0
1590	310760.0
1600	308470.0
1610	307030.0
1620	305530.0
1630	304630.0
1640	304490.0
1650	303640.0
1660	302640.0
1670	302840.0
1680	302120.0
1690	302020.0
1700	302060.0
1710	302030.0
1720	301800.0
1730	300950.0
1740	300570.0
1750	300810.0
1760	300960.0
1770	301440.0
1780	302340.0
1790	301480.0
1800	300530.0
1810	300890.0
1820	301210.0
1830	300930.0
1840	301980.0
1850	301110.0
1860	301380.0
1870	300430.0
1880	300560.0
1890	301020.0
1900	299340.0
1910	300000.0
1920	299570.0
1930	300340.0
1940	300710.0
1950	300460.0
1960	300220.0
1970	300770.0
1980	301020.0
1990	300710.0
