#MCS	Cells_Number
0	1
10	1
20	1
30	1
40	1
50	1
60	1
70	1
80	1
90	1
100	1
110	1
120	1
130	2
140	2
150	2
160	2
170	2
180	2
190	2
200	2
210	2
220	2
230	2
240	2
250	2
260	4
270	4
280	4
290	4
300	4
310	4
320	4
330	4
340	4
350	4
360	4
370	4
380	5
390	8
400	8
410	8
420	8
430	8
440	8
450	8
460	8
470	8
480	8
490	8
500	8
510	14
520	16
530	16
540	16
550	16
560	16
570	16
580	16
590	16
600	16
610	16
620	16
630	16
640	32
650	32
660	32
670	32
680	32
690	32
700	32
710	32
720	32
730	32
740	32
750	32
760	34
770	64
780	64
790	64
800	64
810	64
820	64
830	64
840	64
850	64
860	64
870	64
880	64
890	88
900	127
910	128
920	128
930	128
940	128
950	128
960	128
970	128
980	128
990	128
1000	128
1010	128
1020	188
1030	255
1040	256
1050	256
1060	256
1070	256
1080	256
1090	256
1100	256
1110	256
1120	256
1130	256
1140	257
1150	345
1160	444
1170	512
1180	512
1190	512
1200	512
1210	512
1220	512
1230	512
1240	512
1250	512
1260	512
1270	524
1280	631
1290	730
1300	834
1310	1023
1320	1024
1330	1024
1340	1024
1350	1024
1360	1024
1370	1024
1380	1024
1390	1024
1400	1057
1410	1170
1420	1256
1430	1348
1440	1444
1450	1583
1460	1675
1470	1920
1480	2048
1490	2048
1500	2048
1510	2048
1520	2048
1530	2056
1540	2069
1550	2074
1560	2074
1570	2074
1580	2074
1590	2074
1600	2074
1610	2074
1620	2074
1630	2074
1640	2074
1650	2074
1660	2074
1670	2074
1680	2074
1690	2074
1700	2074
1710	2074
1720	2074
1730	2074
1740	2074
1750	2074
1760	2074
1770	2074
1780	2074
1790	2074
1800	2074
1810	2074
1820	2074
1830	2074
1840	2074
1850	2074
1860	2074
1870	2074
1880	2074
1890	2074
1900	2074
1910	2074
1920	2074
1930	2074
1940	2074
1950	2074
1960	2074
1970	2074
1980	2074
1990	2074
