#MCS	Total_Energy
0	8260.80061645509
10	388.8004028334399
20	260.80012817896204
30	260.8001892201719
40	260.80025026371004
50	328.8018677060609
60	320.80037235777127
70	300.80043340829434
80	300.8004944611457
90	320.8005555163254
100	320.8006165738334
110	360.8006776336697
120	320.8007386958343
130	480.4003998801636
140	498.40506910244585
150	464.40313127372065
160	504.4034975268005
170	500.4006289091194
180	514.4041384808952
190	534.4045047467807
200	554.4048710173229
210	580.4008732788498
220	584.405603572377
230	620.4009954916546
240	634.4063361460576
250	690.4011177230859
260	853.6018132051686
270	845.6019658903824
280	883.6021796200657
290	963.6102974117966
300	943.6025460722158
310	1025.61185406812
320	993.6029125616187
330	971.6031263378682
340	1043.608772252337
350	1075.6150285276817
360	1073.6036456521833
370	1161.610268157092
380	1271.1056904384168
390	1604.4167051180557
400	1560.410235622694
410	1674.4195132162713
420	1746.4162862335797
430	1814.4125328573864
440	1856.413296101382
450	1768.4087187878322
460	1872.4091463757213
470	1944.4036535720807
480	2002.4293497519102
490	2004.424009573413
500	1954.418089579558
510	2800.4797061061254
520	3020.4460419603856
530	2907.419644757756
540	3029.4117870210903
550	3097.422369494452
560	3188.4390937368153
570	3371.4467848133063
580	3352.432228612597
590	3411.43998079875
600	3603.454782582703
610	3630.4372357710963
620	3846.46693020768
630	3776.4553649158916
640	6011.493997399957
650	6025.005549280468
660	6003.491390175914
670	6070.001328479702
680	6357.007908062078
690	6352.982457666658
700	6426.020605978556
710	6631.509010712616
720	6803.996164300479
730	6988.4942737733945
740	6999.0057195024565
750	7083.50291359704
760	7657.368171372655
770	11394.690757114731
780	12134.274499370076
790	12672.840099074238
800	12409.300958376261
810	13175.095333377249
820	13285.039641388576
830	13222.05548275204
840	13276.559269821155
850	13627.818885896704
860	13913.563670578296
870	14445.106184901088
880	14464.864794343594
890	17472.105698713858
900	24031.519853962964
910	27139.843331832817
920	29043.860914386023
930	28763.722874532104
940	28281.715524776955
950	28920.14793362061
960	29243.735372059164
970	29233.02318921371
980	29889.81909382448
990	30389.561318313354
1000	30454.384872445953
1010	31292.784324093373
1020	40292.732638386515
1030	52053.57346544668
1040	64259.379032478755
1050	73846.41952017439
1060	79068.31998944166
1070	81031.32176953251
1080	83583.18738078582
1090	84905.6514423422
1100	82648.26763462159
1110	80713.5826495185
1120	80752.25932882982
1130	82855.16513471375
1140	81096.15950878695
1150	91758.79736980409
1160	112769.00230808329
1170	149817.67198081434
1180	199702.2040370079
1190	246161.59374968207
1200	279264.93709146394
1210	302423.5108127061
1220	306329.04162742547
1230	311374.94048532913
1240	317152.4427379796
1250	313949.2989346932
1260	306028.53443557746
1270	300588.88558954984
1280	317095.4414533075
1290	348756.69346705824
1300	397994.83506756736
1310	451153.3232147678
1320	603528.4478590774
1330	781641.0786679322
1340	961667.3816742562
1350	1132476.605076339
1360	1276884.942860687
1370	1399681.1259538205
1380	1502061.464322776
1390	1570086.6906946045
1400	1629744.0404809588
1410	1703786.4015826872
1420	1782424.4008670393
1430	1870024.1289442526
1440	1974027.0160751678
1450	2101714.0260332907
1460	2368815.924780259
1470	2574581.634796432
1480	3153503.2967064814
1490	4148627.052460544
1500	5325827.810913727
1510	6675179.782903147
1520	8217463.572829459
1530	9970754.658450654
1540	11972667.626064148
1550	14281553.198442467
1560	16960902.0718524
1570	20102402.00410046
1580	23747209.212726314
1590	27770545.857791666
1600	32148727.01056837
1610	36874201.5856654
1620	41937659.07066821
1630	47340588.74226734
1640	53079047.43751555
1650	59153066.87633415
1660	65558948.83834344
1670	72300322.61408773
1680	79373257.22502089
1690	86779065.4760133
1700	94519196.64517233
1710	102589488.80393955
1720	110992950.05027178
1730	119727759.98883747
1740	128795352.70661265
1750	138193986.10653287
1760	147926355.97289988
1770	157990026.72496456
1780	168385848.3087097
1790	179112827.9021772
1800	190170827.0321587
1810	201560895.19725204
1820	213284842.30712423
1830	225338830.70979857
1840	237726013.46466327
1850	250443078.0817866
1860	263492710.77119192
1870	276875148.02549344
1880	290588635.9887951
1890	304634503.437344
1900	319010604.69486636
1910	333720763.274425
1920	348760849.2925079
1930	364135072.93139386
1940	379840406.2950945
1950	395875914.4645497
1960	412244727.6714811
1970	428944598.19037837
1980	445978011.4666398
1990	463340720.5166027
