#MCS	Adhesion_Energy
0	240.0
10	260.0
20	280.0
30	280.0
40	300.0
50	260.0
60	280.0
70	320.0
80	300.0
90	300.0
100	300.0
110	320.0
120	340.0
130	500.0
140	530.0
150	480.0
160	500.0
170	490.0
180	480.0
190	520.0
200	540.0
210	580.0
220	570.0
230	600.0
240	590.0
250	600.0
260	810.0
270	780.0
280	880.0
290	870.0
300	870.0
310	950.0
320	1040.0
330	920.0
340	970.0
350	980.0
360	980.0
370	1010.0
380	1130.0
390	1520.0
400	1580.0
410	1570.0
420	1710.0
430	1730.0
440	1740.0
450	1790.0
460	1800.0
470	1800.0
480	1910.0
490	1940.0
500	1970.0
510	2440.0
520	2880.0
530	2920.0
540	3020.0
550	3160.0
560	3140.0
570	3280.0
580	3380.0
590	3500.0
600	3500.0
610	3500.0
620	3570.0
630	3720.0
640	5100.0
650	5660.0
660	5740.0
670	5980.0
680	5910.0
690	5970.0
700	6300.0
710	6330.0
720	6550.0
730	6760.0
740	7020.0
750	6910.0
760	7450.0
770	9990.0
780	10320.0
790	10780.0
800	10910.0
810	11350.0
820	11610.0
830	11850.0
840	12090.0
850	12430.0
860	12770.0
870	13090.0
880	13250.0
890	14880.0
900	19970.0
910	20430.0
920	21160.0
930	21690.0
940	22150.0
950	22750.0
960	23290.0
970	24130.0
980	24390.0
990	24820.0
1000	25250.0
1010	26090.0
1020	31290.0
1030	38170.0
1040	39890.0
1050	41090.0
1060	42830.0
1070	44200.0
1080	45570.0
1090	46440.0
1100	47430.0
1110	48730.0
1120	49960.0
1130	50030.0
1140	51410.0
1150	60180.0
1160	68550.0
1170	76890.0
1180	79010.0
1190	81710.0
1200	83180.0
1210	86180.0
1220	88850.0
1230	90080.0
1240	92530.0
1250	93960.0
1260	96450.0
1270	99970.0
1280	111780.0
1290	121380.0
1300	130020.0
1310	134860.0
1320	139670.0
1330	143140.0
1340	146580.0
1350	151630.0
1360	153620.0
1370	156990.0
1380	159270.0
1390	162490.0
1400	170450.0
1410	184530.0
1420	199540.0
1430	209680.0
1440	215100.0
1450	221080.0
1460	224910.0
1470	229960.0
1480	235180.0
1490	237040.0
1500	240290.0
1510	243260.0
1520	245110.0
1530	250620.0
1540	257420.0
1550	269230.0
1560	279780.0
1570	282400.0
1580	286260.0
1590	287490.0
1600	288450.0
1610	289830.0
1620	291610.0
1630	291650.0
1640	293130.0
1650	291750.0
1660	291610.0
1670	294590.0
1680	294990.0
1690	295680.0
1700	294830.0
1710	294260.0
1720	293980.0
1730	294680.0
1740	295240.0
1750	295090.0
1760	294450.0
1770	294780.0
1780	295020.0
1790	294030.0
1800	293510.0
1810	294480.0
1820	293630.0
1830	293840.0
1840	294860.0
1850	293490.0
1860	293970.0
1870	294430.0
1880	293890.0
1890	294080.0
1900	294860.0
1910	294520.0
1920	294000.0
1930	294270.0
1940	293060.0
1950	293880.0
1960	294590.0
1970	294200.0
1980	294990.0
1990	293190.0
2000	294150.0
2010	294260.0
2020	294080.0
2030	293190.0
2040	294230.0
2050	294800.0
2060	294530.0
2070	294510.0
2080	294940.0
2090	294710.0
2100	293770.0
2110	294800.0
2120	294400.0
2130	294960.0
2140	294420.0
2150	294830.0
2160	295120.0
2170	294960.0
2180	293270.0
2190	293790.0
2200	294110.0
2210	294590.0
2220	293820.0
2230	293870.0
2240	294850.0
2250	294570.0
2260	293720.0
2270	294010.0
2280	294960.0
2290	294110.0
2300	293670.0
2310	293680.0
2320	294060.0
2330	295600.0
2340	294630.0
2350	294570.0
2360	295170.0
2370	294430.0
2380	294860.0
2390	294890.0
2400	295260.0
2410	294400.0
2420	295730.0
2430	295390.0
2440	295090.0
2450	294460.0
2460	294420.0
2470	294690.0
2480	295520.0
2490	295000.0
2500	294610.0
2510	295900.0
2520	295580.0
2530	294890.0
2540	294770.0
2550	294520.0
2560	295130.0
2570	294540.0
2580	294890.0
2590	295150.0
2600	293930.0
2610	294240.0
2620	294810.0
2630	294590.0
2640	295080.0
2650	295470.0
2660	294140.0
2670	294760.0
2680	294630.0
2690	294120.0
2700	293840.0
2710	294920.0
2720	294510.0
2730	295450.0
2740	295330.0
2750	294580.0
2760	295640.0
2770	295240.0
2780	295240.0
2790	295090.0
2800	295250.0
2810	294660.0
2820	294890.0
2830	294520.0
2840	294690.0
2850	294580.0
2860	295850.0
2870	294110.0
2880	295060.0
2890	294970.0
2900	294570.0
2910	293930.0
2920	295140.0
2930	294530.0
2940	294150.0
2950	293950.0
2960	294190.0
2970	294860.0
2980	294370.0
2990	293990.0
