#MCS	Cells_Number
0	1
10	1
20	1
30	1
40	1
50	1
60	1
70	1
80	1
90	1
100	1
110	1
120	1
130	2
140	2
150	2
160	2
170	2
180	2
190	2
200	2
210	2
220	2
230	2
240	2
250	2
260	4
270	4
280	4
290	4
300	4
310	4
320	4
330	4
340	4
350	4
360	4
370	4
380	4
390	8
400	8
410	8
420	8
430	8
440	8
450	8
460	8
470	8
480	8
490	8
500	8
510	13
520	16
530	16
540	16
550	16
560	16
570	16
580	16
590	16
600	16
610	16
620	16
630	16
640	30
650	32
660	32
670	32
680	32
690	32
700	32
710	32
720	32
730	32
740	32
750	32
760	34
770	63
780	64
790	64
800	64
810	64
820	64
830	64
840	64
850	64
860	64
870	64
880	64
890	79
900	128
910	128
920	128
930	128
940	128
950	128
960	128
970	128
980	128
990	128
1000	128
1010	128
1020	178
1030	250
1040	256
1050	256
1060	256
1070	256
1080	256
1090	256
1100	256
1110	256
1120	256
1130	256
1140	257
1150	345
1160	424
1170	508
1180	511
1190	511
1200	511
1210	511
1220	511
1230	511
1240	511
1250	511
1260	511
1270	525
1280	648
1290	739
1300	816
1310	847
1320	863
1330	872
1340	883
1350	891
1360	895
1370	900
1380	902
1390	905
1400	959
1410	1099
1420	1237
1430	1323
1440	1371
1450	1390
1460	1394
1470	1400
1480	1415
1490	1418
1500	1427
1510	1431
1520	1435
1530	1485
1540	1568
1550	1677
1560	1785
1570	1826
1580	1846
1590	1860
1600	1868
1610	1875
1620	1880
1630	1884
1640	1887
1650	1892
1660	1899
1670	1934
1680	1958
1690	1977
1700	1979
1710	1981
1720	1985
1730	1987
1740	1989
1750	1991
1760	1994
1770	1995
1780	1998
1790	1999
1800	1999
1810	2002
1820	2003
1830	2003
1840	2003
1850	2004
1860	2005
1870	2005
1880	2007
1890	2007
1900	2008
1910	2008
1920	2008
1930	2010
1940	2011
1950	2012
1960	2012
1970	2012
1980	2012
1990	2013
2000	2014
2010	2014
2020	2015
2030	2015
2040	2016
2050	2016
2060	2017
2070	2018
2080	2018
2090	2019
2100	2019
2110	2019
2120	2019
2130	2020
2140	2020
2150	2020
2160	2020
2170	2020
2180	2020
2190	2021
2200	2021
2210	2021
2220	2023
2230	2023
2240	2023
2250	2024
2260	2024
2270	2024
2280	2024
2290	2024
2300	2024
2310	2025
2320	2026
2330	2026
2340	2026
2350	2026
2360	2026
2370	2027
2380	2027
2390	2027
2400	2027
2410	2027
2420	2027
2430	2027
2440	2027
2450	2027
2460	2029
2470	2029
2480	2029
2490	2029
2500	2030
2510	2030
2520	2030
2530	2030
2540	2030
2550	2030
2560	2031
2570	2031
2580	2031
2590	2031
2600	2031
2610	2031
2620	2031
2630	2031
2640	2031
2650	2031
2660	2033
2670	2033
2680	2033
2690	2034
2700	2034
2710	2034
2720	2034
2730	2034
2740	2034
2750	2034
2760	2034
2770	2034
2780	2034
2790	2034
2800	2034
2810	2034
2820	2034
2830	2034
2840	2034
2850	2034
2860	2034
2870	2034
2880	2034
2890	2034
2900	2034
2910	2035
2920	2035
2930	2035
2940	2035
2950	2035
2960	2035
2970	2035
2980	2035
2990	2035
