#MCS	Total_Energy
0	4160.0
10	272.80021972750546
20	292.8004638713901
30	292.80070801760303
40	300.7997619805974
50	272.8011963170138
60	292.8014404702117
70	332.80168462573783
80	300.7995178949204
90	300.79945687932195
100	312.80241710628616
110	332.80266127112554
120	340.79927384649636
130	519.6028199256398
140	533.5986085329205
150	483.5984254651703
160	511.6011720895767
170	509.60452907020226
180	499.6049563679844
190	523.5976932407357
200	559.6058109775186
210	647.6106938556768
220	581.6019048634917
230	667.6121588447131
240	601.6021491587162
250	619.6079475828446
260	840.2060978778172
270	812.2033208759967
280	888.2036871940363
290	900.207929253811
300	938.2128427096177
310	958.2046030985657
320	1070.2097607136238
330	952.2051527129952
340	1018.2055190869141
350	1010.2115922572557
360	990.1999957591761
370	1078.219252541894
380	1160.2134238847066
390	1610.5049871145457
400	1644.5133644195448
410	1618.514341230475
420	1757.5107289280277
430	1795.5209525988903
440	1830.5274836614262
450	1839.5020628382917
460	1939.536517522065
470	1889.5265691482928
480	1933.5150338790845
490	1961.5026746538933
500	2014.5234270195942
510	2536.7966069822432
520	3094.5906147277856
530	3077.0812768464384
540	3234.0927367318363
550	3449.1047325643012
560	3256.077511490439
570	3425.089932787814
580	3499.0924359095516
590	3639.57641489862
600	3683.603026981582
610	3727.0992435939843
620	3721.608491249499
630	3809.581789235235
640	5704.259369160427
650	6052.455908915144
660	6173.716011278448
670	6336.939100608142
680	6445.983545788331
690	6567.499843434198
700	6781.995724894805
710	6834.51467771898
720	6884.984375246568
730	7076.220064059598
740	7364.711459734244
750	7219.743535415037
760	8008.469000838086
770	11518.205359215499
780	11929.134035650204
790	12493.040516689216
800	12613.817605527875
810	12942.576403670246
820	12927.051351327682
830	13479.983177796239
840	13407.714809101308
850	13437.811400272185
860	13902.457246963168
870	14493.132299125427
880	14324.590127315605
890	16515.739992504678
900	23479.111810046015
910	27808.011228226824
920	28839.434374122648
930	29481.140802948503
940	30465.491119202925
950	29145.82990011084
960	29758.724375896854
970	29612.61143620941
980	30594.62715892936
990	30949.765440541087
1000	30818.871160194976
1010	31462.948956562905
1020	37006.89962996534
1030	49731.51937736824
1040	63861.083063864644
1050	75190.24783269691
1060	83184.14935646026
1070	82896.1671513578
1080	84769.42744986911
1090	82616.62688479031
1100	80468.02876760863
1110	82441.91958453332
1120	82125.88588996994
1130	81080.1862320269
1140	80957.57518771323
1150	92694.11823342467
1160	113089.09030849172
1170	142297.2581666788
1180	187934.88219231003
1190	214482.62051156088
1200	221294.44333385967
1210	223855.98188356962
1220	224446.67392414314
1230	220887.12690367823
1240	222571.86952821963
1250	220678.93501320743
1260	223286.2711819879
1270	225848.13710709184
1280	244895.17183487007
1290	278196.23115696135
1300	327097.5921413266
1310	372496.85757430986
1320	400094.82114590245
1330	416661.5264272839
1340	428444.7477215396
1350	439545.2247459911
1360	448941.49439561553
1370	453473.9117348419
1380	458956.495318353
1390	462091.4484625586
1400	468563.43504893413
1410	499761.314127477
1420	551527.6261970836
1430	622481.8712751598
1440	693919.8203588227
1450	736793.9545184245
1460	753497.8538538048
1470	762206.6964607309
1480	768972.5662310803
1490	783569.7451506271
1500	803888.5516298896
1510	832333.5450466133
1520	868228.3873501003
1530	907814.9793146125
1540	954746.185811404
1550	1017980.8492877239
1560	1102948.8664605012
1570	1184428.6944354626
1580	1235988.2745833793
1590	1274302.5868061155
1600	1302984.6878895322
1610	1323580.2919583397
1620	1340458.9112269343
1630	1356929.612362346
1640	1380487.9483240715
1650	1400242.7853005785
1660	1426516.7078426715
1670	1461054.9591387275
1680	1501728.916883468
1690	1541640.0756344106
1700	1565825.52398878
1710	1584555.5145949586
1720	1600456.8806391915
1730	1616322.1325814426
1740	1629322.7980751132
1750	1638070.344221836
1760	1645393.4447999499
1770	1653138.6052448498
1780	1659872.3055686902
1790	1666472.3098827316
1800	1673294.380856278
1810	1678897.008553249
1820	1683196.9041918903
1830	1688433.0925664187
1840	1695008.4182523892
1850	1698828.1290627678
1860	1703782.9531522465
1870	1709001.3691340003
1880	1711193.4757575977
1890	1715472.8766649037
1900	1719279.8519611142
1910	1722150.1644595438
1920	1724969.541056535
1930	1729186.1989045362
1940	1730566.1371539454
1950	1734463.8874652265
1960	1738078.7468487225
1970	1739895.9486504914
1980	1744124.2794112484
1990	1744189.9418465248
2000	1747835.4947820553
2010	1750792.5687209526
2020	1752420.186851151
2030	1753552.2986833036
2040	1755849.3193490442
2050	1759157.878610083
2060	1759914.4140297985
2070	1761933.5357976495
2080	1763751.3978958079
2090	1764179.2944332024
2100	1765284.623000037
2110	1767334.085715121
2120	1768664.7805129013
2130	1771012.5316557644
2140	1772006.0930515775
2150	1775335.0747035607
2160	1777749.3688654401
2170	1779106.1890147447
2180	1778494.1039476749
2190	1780693.5632715675
2200	1781459.2130812341
2210	1782740.9757885162
2220	1782963.0052020454
2230	1784721.0604233034
2240	1786589.452422865
2250	1787836.7270468555
2260	1788027.8329584915
2270	1789934.3689641547
2280	1792116.7623748044
2290	1792326.6563284185
2300	1793633.802010205
2310	1793933.2168302543
2320	1794816.111554234
2330	1798430.4131344268
2340	1797895.311327089
2350	1799358.132166573
2360	1801213.679779774
2370	1801011.7200980596
2380	1803034.297338339
2390	1803884.5476178245
2400	1805875.7862223834
2410	1805615.7462784837
2420	1807785.101359905
2430	1809206.385915476
2440	1809524.3350065455
2450	1810716.3969473501
2460	1810851.2931306195
2470	1811254.783217256
2480	1813757.3603761739
2490	1814457.2975783646
2500	1815001.5202101185
2510	1817063.6940431886
2520	1818819.9988931892
2530	1818550.9273066293
2540	1818883.7448223091
2550	1819846.3654775724
2560	1821025.3584638606
2570	1821928.7227919667
2580	1822379.8099028047
2590	1823760.205342378
2600	1823195.5975902828
2610	1823912.576567708
2620	1825842.2531877146
2630	1826431.8448261444
2640	1828075.442448942
2650	1828078.901621848
2660	1826813.2875636595
2670	1828480.7429811782
2680	1829101.3463540757
2690	1829196.5680096925
2700	1829056.0409332414
2710	1831401.1501422822
2720	1831871.3231995602
2730	1833510.9379407074
2740	1834088.439126558
2750	1834023.0139735092
2760	1836492.9715736688
2770	1837086.9818544104
2780	1838087.013594886
2790	1837829.3173713998
2800	1838680.001243555
2810	1838853.2943325178
2820	1839651.0916997779
2830	1839773.1671843233
2840	1840063.1161328275
2850	1842251.1108835717
2860	1842763.5854996485
2870	1842444.1943586944
2880	1843751.8355132183
2890	1843626.081816834
2900	1844227.5349132305
2910	1843060.6997084725
2920	1843883.2231530978
2930	1844562.4742744705
2940	1844608.9577000742
2950	1845991.791720638
2960	1845955.6061927448
2970	1847583.337245002
2980	1847900.669158619
2990	1847836.173985302
