#MCS	Adhesion_energy
0	100642.5
100	83737.5
200	85297.5
300	84030.0
400	84615.0
500	84120.0
600	85357.5
700	83392.5
800	84277.5
900	82897.5
1000	83445.0
1100	84652.5
1200	83730.0
1300	85110.0
1400	82860.0
1500	84772.5
1600	84097.5
1700	83167.5
1800	83977.5
1900	84705.0
2000	83565.0
2100	84172.5
2200	84645.0
2300	83947.5
2400	84862.5
2500	85492.5
2600	85492.5
2700	84802.5
2800	84225.0
2900	83265.0
3000	84787.5
3100	85147.5
3200	85500.0
3300	84907.5
3400	85672.5
3500	85042.5
3600	85732.5
3700	85335.0
3800	87217.5
3900	86595.0
4000	85950.0
4100	86512.5
4200	86475.0
4300	86512.5
4400	86662.5
4500	87142.5
4600	88717.5
4700	87585.0
4800	88035.0
4900	87615.0
5000	87517.5
5100	90277.5
5200	89430.0
5300	90720.0
5400	88492.5
5500	89025.0
5600	89355.0
5700	90562.5
5800	90105.0
5900	90330.0
6000	90712.5
6100	91012.5
6200	88500.0
6300	91485.0
6400	90825.0
6500	90900.0
6600	92565.0
6700	91522.5
6800	92257.5
6900	91567.5
7000	92212.5
7100	91560.0
7200	92910.0
7300	93622.5
7400	93765.0
7500	93360.0
7600	94372.5
7700	93622.5
7800	94597.5
7900	96172.5
8000	95107.5
8100	95782.5
8200	97057.5
8300	95632.5
8400	96022.5
8500	96532.5
8600	96660.0
8700	96210.0
8800	97365.0
8900	98797.5
9000	97110.0
9100	98775.0
9200	99435.0
9300	99007.5
9400	99592.5
9500	98865.0
9600	100680.0
9700	99772.5
9800	101107.5
9900	99727.5
10000	101385.0
10100	102367.5
10200	101482.5
10300	101040.0
10400	101707.5
10500	103252.5
10600	102930.0
10700	103530.0
10800	102802.5
10900	104467.5
11000	104977.5
11100	104460.0
11200	103672.5
11300	104655.0
11400	104827.5
11500	106102.5
11600	105592.5
11700	106530.0
11800	105697.5
11900	103410.0
12000	106207.5
12100	106785.0
12200	106732.5
12300	106672.5
12400	107175.0
12500	107797.5
12600	107947.5
12700	108442.5
12800	109117.5
12900	110617.5
13000	109792.5
13100	109155.0
13200	107692.5
13300	110152.5
13400	111202.5
13500	110617.5
13600	110917.5
13700	111412.5
13800	111682.5
13900	110677.5
14000	111472.5
14100	111105.0
14200	110902.5
14300	113760.0
14400	112507.5
14500	112155.0
14600	113445.0
14700	113520.0
14800	113272.5
14900	114210.0
15000	114150.0
15100	114772.5
15200	114555.0
15300	115545.0
15400	115522.5
15500	114952.5
15600	116175.0
15700	117075.0
15800	116745.0
15900	116527.5
16000	117697.5
16100	117855.0
16200	118920.0
16300	118395.0
16400	118875.0
16500	116580.0
16600	118830.0
16700	120105.0
16800	120555.0
16900	120247.5
17000	119265.0
17100	121057.5
17200	120262.5
17300	121747.5
17400	121717.5
17500	120945.0
17600	121207.5
17700	121747.5
17800	121590.0
17900	123540.0
18000	123330.0
18100	124072.5
18200	123480.0
18300	123840.0
18400	124477.5
18500	124312.5
18600	124867.5
18700	124035.0
18800	125595.0
18900	127102.5
19000	125925.0
19100	126975.0
19200	128512.5
19300	127372.5
19400	127792.5
19500	128872.5
19600	129067.5
19700	128430.0
19800	127965.0
19900	129007.5
20000	130545.0
20100	129652.5
20200	129652.5
20300	131482.5
20400	130230.0
20500	132165.0
20600	132915.0
20700	131272.5
20800	131152.5
20900	132465.0
21000	132562.5
21100	131700.0
21200	132472.5
21300	132780.0
21400	134092.5
21500	133627.5
21600	132045.0
21700	133830.0
21800	134212.5
21900	134730.0
22000	134767.5
22100	134062.5
22200	135990.0
22300	136147.5
22400	136102.5
22500	135555.0
22600	136792.5
22700	137415.0
