#MCS	TotalCells_Number	TCells_Number	ActivatedTCells_Number	Percentage_ActivatedTCells
0	100	97	3	3.0
100	100	92	8	8.0
200	100	90	10	10.0
300	100	88	12	12.0
400	100	88	12	12.0
500	100	84	16	16.0
600	100	84	16	16.0
700	100	84	16	16.0
800	100	83	17	17.0
900	100	80	20	20.0
1000	100	80	20	20.0
1100	100	77	23	23.0
1200	100	77	23	23.0
1300	100	77	23	23.0
1400	100	76	24	24.0
1500	100	76	24	24.0
1600	100	75	25	25.0
1700	100	75	25	25.0
1800	100	74	26	26.0
1900	100	74	26	26.0
2000	100	72	28	28.000000000000004
2100	100	71	29	28.999999999999996
2200	100	70	30	30.0
2300	100	70	30	30.0
2400	100	69	31	31.0
2500	100	67	33	33.0
2600	100	67	33	33.0
2700	100	66	34	34.0
2800	100	64	36	36.0
2900	100	62	38	38.0
3000	100	61	39	39.0
3100	100	60	40	40.0
3200	100	60	40	40.0
3300	100	59	41	41.0
3400	100	59	41	41.0
3500	100	58	42	42.0
3600	100	57	43	43.0
3700	100	57	43	43.0
3800	100	57	43	43.0
3900	100	57	43	43.0
4000	100	57	43	43.0
4100	100	57	43	43.0
4200	100	57	43	43.0
4300	100	55	45	45.0
4400	100	55	45	45.0
4500	100	55	45	45.0
4600	100	55	45	45.0
4700	100	55	45	45.0
4800	100	55	45	45.0
4900	100	54	46	46.0
5000	100	54	46	46.0
5100	100	53	47	47.0
5200	100	53	47	47.0
5300	100	52	48	48.0
5400	100	52	48	48.0
5500	100	51	49	49.0
5600	100	51	49	49.0
5700	100	50	50	50.0
5800	100	50	50	50.0
5900	100	50	50	50.0
6000	100	49	51	51.0
6100	100	49	51	51.0
6200	100	49	51	51.0
6300	100	48	52	52.0
6400	100	48	52	52.0
6500	100	48	52	52.0
6600	100	47	53	53.0
6700	100	47	53	53.0
6800	100	47	53	53.0
6900	100	47	53	53.0
7000	100	47	53	53.0
7100	100	47	53	53.0
7200	100	47	53	53.0
7300	100	47	53	53.0
7400	100	47	53	53.0
7500	100	47	53	53.0
7600	100	47	53	53.0
7700	100	47	53	53.0
7800	100	46	54	54.0
7900	100	46	54	54.0
8000	100	46	54	54.0
8100	100	46	54	54.0
8200	100	46	54	54.0
8300	100	46	54	54.0
8400	100	46	54	54.0
8500	100	45	55	55.00000000000001
8600	100	45	55	55.00000000000001
8700	100	44	56	56.00000000000001
8800	100	44	56	56.00000000000001
8900	100	44	56	56.00000000000001
9000	100	44	56	56.00000000000001
9100	100	44	56	56.00000000000001
9200	100	44	56	56.00000000000001
9300	100	44	56	56.00000000000001
9400	100	44	56	56.00000000000001
9500	100	44	56	56.00000000000001
9600	100	44	56	56.00000000000001
9700	100	44	56	56.00000000000001
9800	100	44	56	56.00000000000001
9900	100	44	56	56.00000000000001
10000	100	44	56	56.00000000000001
10100	100	44	56	56.00000000000001
10200	100	44	56	56.00000000000001
10300	100	44	56	56.00000000000001
10400	100	44	56	56.00000000000001
10500	100	44	56	56.00000000000001
10600	100	44	56	56.00000000000001
10700	100	44	56	56.00000000000001
10800	100	44	56	56.00000000000001
10900	100	44	56	56.00000000000001
11000	100	44	56	56.00000000000001
11100	100	44	56	56.00000000000001
11200	100	44	56	56.00000000000001
11300	100	44	56	56.00000000000001
11400	100	44	56	56.00000000000001
11500	100	44	56	56.00000000000001
11600	100	44	56	56.00000000000001
11700	100	44	56	56.00000000000001
11800	100	44	56	56.00000000000001
11900	100	44	56	56.00000000000001
12000	100	44	56	56.00000000000001
12100	100	44	56	56.00000000000001
12200	100	44	56	56.00000000000001
12300	100	44	56	56.00000000000001
12400	100	44	56	56.00000000000001
12500	100	44	56	56.00000000000001
