#MCS	Cells_reaching_warning_height
0	0
100	0
200	0
300	0
400	0
500	0
600	0
700	0
800	0
900	0
1000	0
1100	0
1200	0
1300	0
1400	0
1500	0
1600	0
1700	0
1800	0
1900	0
2000	0
2100	0
2200	0
2300	0
2400	0
2500	0
2600	0
2700	0
2800	0
2900	0
3000	0
3100	0
3200	0
3300	0
3400	0
3500	0
3600	0
3700	0
3800	0
3900	0
4000	0
4100	0
4200	0
4300	0
4400	0
4500	0
4600	0
4700	0
4800	0
4900	0
5000	0
5100	0
5200	0
5300	0
5400	0
5500	0
5600	0
5700	0
5800	0
5900	0
6000	0
6100	0
6200	0
6300	0
6400	0
6500	0
6600	0
6700	0
6800	0
6900	0
7000	0
7100	0
7200	0
7300	0
7400	0
7500	0
7600	0
7700	0
7800	0
7900	0
8000	0
8100	0
8200	0
8300	0
8400	0
8500	0
8600	0
8700	0
8800	0
8900	0
9000	0
9100	0
9200	0
9300	0
9400	0
9500	0
9600	0
9700	0
9800	0
9900	0
10000	0
10100	0
10200	0
10300	0
10400	0
10500	0
10600	0
10700	0
10800	0
10900	0
11000	0
11100	0
11200	0
11300	0
11400	0
11500	0
11600	0
11700	0
11800	0
11900	0
12000	0
12100	0
12200	0
12300	0
12400	0
12500	0
12600	0
12700	0
12800	0
12900	0
13000	0
13100	0
13200	0
13300	0
13400	0
13500	0
13600	0
13700	0
13800	0
13900	0
14000	0
14100	0
14200	0
14300	0
14400	0
14500	0
14600	0
14700	0
14800	0
14900	0
15000	0
15100	0
15200	0
15300	0
15400	0
15500	0
15600	0
15700	0
15800	0
15900	0
16000	0
16100	0
16200	0
16300	0
16400	0
16500	0
16600	0
16700	0
16800	0
16900	0
17000	0
17100	0
17200	0
17300	0
17400	0
17500	0
17600	0
17700	0
17800	0
17900	0
18000	0
18100	0
18200	0
18300	0
18400	0
18500	0
18600	0
18700	0
18800	0
18900	0
19000	0
19100	0
19200	0
19300	0
19400	0
19500	0
19600	0
19700	0
19800	0
19900	0
20000	0
20100	0
20200	0
20300	0
20400	0
20500	0
20600	0
20700	0
20800	0
20900	0
21000	0
21100	0
21200	0
21300	0
21400	0
21500	0
21600	0
21700	0
21800	0
21900	0
22000	0
22100	0
22200	0
22300	0
22400	0
22500	0
22600	0
22700	0
22800	0
22900	0
23000	0
23100	0
23200	0
23300	0
23400	0
23500	0
23600	0
23700	0
23800	0
23900	0
24000	0
24100	0
24200	0
24300	0
24400	0
24500	0
24600	0
24700	0
24800	0
24900	0
25000	0
25100	0
25200	0
25300	0
25400	0
25500	0
25600	0
25700	0
25800	0
25900	0
26000	0
26100	0
26200	0
26300	0
26400	0
26500	0
26600	0
26700	0
26800	0
26900	0
27000	0
27100	0
27200	0
27300	0
27400	0
27500	0
27600	0
27700	0
27800	0
27900	0
28000	0
28100	0
28200	0
28300	0
28400	0
28500	0
28600	0
28700	0
28800	0
28900	0
29000	0
29100	0
29200	0
29300	0
29400	0
29500	0
29600	0
29700	0
29800	0
29900	0
30000	0
30100	0
30200	0
30300	0
30400	0
30500	0
30600	0
30700	0
30800	0
30900	0
31000	0
31100	0
31200	0
31300	0
31400	0
31500	0
31600	0
31700	0
31800	0
31900	0
32000	0
32100	0
32200	0
32300	0
32400	0
32500	0
32600	0
32700	0
32800	0
32900	0
33000	0
33100	0
33200	0
33300	0
33400	0
33500	0
33600	0
33700	0
33800	0
33900	0
34000	0
34100	0
34200	0
34300	0
34400	0
34500	0
34600	0
34700	0
34800	0
34900	0
35000	0
35100	0
35200	0
35300	0
35400	0
35500	0
35600	0
35700	0
35800	0
35900	0
36000	0
36100	0
36200	0
36300	0
36400	0
36500	0
36600	0
36700	0
36800	0
36900	0
37000	0
37100	0
37200	0
37300	0
37400	0
37500	0
37600	0
37700	0
37800	0
37900	0
38000	0
38100	0
38200	0
38300	0
38400	0
38500	0
38600	0
38700	0
38800	0
38900	0
39000	0
39100	0
39200	0
39300	0
39400	0
39500	0
39600	0
39700	0
39800	0
39900	0
40000	0
40100	0
40200	0
40300	0
40400	0
40500	0
40600	0
40700	0
40800	0
40900	0
41000	0
41100	0
41200	0
41300	0
41400	0
41500	0
41600	0
41700	0
41800	0
41900	0
42000	0
42100	0
42200	0
42300	0
42400	0
42500	0
42600	0
42700	0
42800	0
42900	0
43000	0
43100	0
43200	0
43300	0
43400	0
43500	0
43600	0
43700	0
43800	0
43900	0
44000	0
44100	0
44200	0
44300	0
44400	0
44500	0
44600	0
44700	0
44800	0
44900	0
45000	0
45100	0
45200	0
45300	0
45400	0
45500	0
45600	0
45700	0
45800	0
45900	0
46000	0
46100	0
46200	0
46300	0
46400	0
46500	0
46600	0
46700	0
46800	0
46900	0
47000	0
47100	0
47200	0
47300	0
47400	0
47500	0
47600	0
47700	0
47800	0
47900	0
48000	0
48100	0
48200	0
48300	0
48400	0
48500	0
48600	0
48700	0
48800	0
48900	0
49000	0
49100	0
49200	0
49300	0
49400	0
49500	0
49600	0
49700	0
49800	0
49900	0
50000	0
50100	0
50200	0
50300	0
50400	0
50500	0
50600	0
50700	0
50800	0
50900	0
51000	0
51100	0
51200	0
51300	0
51400	0
51500	0
51600	0
51700	0
51800	0
51900	0
52000	0
52100	0
52200	0
52300	0
52400	0
52500	0
52600	0
52700	0
52800	0
52900	0
53000	0
53100	0
53200	0
53300	0
53400	0
53500	0
53600	0
53700	0
53800	0
53900	0
54000	0
54100	0
54200	0
54300	0
54400	0
54500	0
54600	0
54700	0
54800	0
54900	0
55000	0
55100	0
55200	0
55300	0
55400	0
55500	0
55600	0
55700	0
55800	0
55900	0
56000	0
56100	0
56200	0
56300	0
56400	0
56500	0
56600	0
56700	0
56800	0
56900	0
57000	0
57100	0
57200	0
57300	0
57400	0
57500	0
57600	0
57700	0
57800	0
57900	0
58000	0
58100	0
58200	0
58300	0
58400	0
58500	0
58600	0
58700	0
58800	0
58900	0
59000	0
59100	0
59200	0
59300	0
59400	0
59500	0
59600	0
59700	0
59800	0
59900	0
60000	0
60100	0
60200	0
60300	0
60400	0
60500	0
60600	0
60700	0
60800	0
60900	0
61000	0
61100	0
61200	0
61300	0
61400	0
61500	0
61600	0
61700	0
61800	0
61900	0
62000	0
62100	0
62200	0
62300	0
62400	0
62500	0
62600	0
62700	0
62800	0
62900	0
63000	0
63100	0
63200	0
63300	0
63400	0
63500	0
63600	0
63700	0
63800	0
63900	0
64000	0
64100	0
64200	0
64300	0
64400	0
64500	0
64600	0
64700	0
64800	0
64900	0
65000	0
65100	0
65200	0
65300	0
65400	0
65500	0
65600	0
65700	0
65800	0
65900	0
66000	0
66100	0
66200	0
66300	0
66400	0
66500	0
66600	0
66700	0
66800	0
66900	0
67000	0
67100	0
67200	0
67300	0
67400	0
67500	0
67600	0
67700	0
67800	0
67900	0
68000	0
68100	0
68200	0
68300	0
68400	0
68500	0
68600	0
68700	0
68800	0
68900	0
69000	0
69100	0
69200	0
69300	0
69400	0
69500	0
69600	0
69700	0
69800	0
69900	0
70000	0
70100	0
70200	0
70300	0
70400	0
70500	0
70600	0
70700	0
70800	0
70900	0
71000	0
71100	0
71200	0
71300	0
71400	0
71500	0
71600	0
71700	0
71800	0
71900	0
72000	0
72100	0
72200	0
72300	0
72400	0
72500	0
72600	0
72700	0
72800	0
72900	0
73000	0
73100	0
73200	0
73300	0
73400	0
73500	0
73600	0
73700	0
73800	0
73900	0
74000	0
74100	0
74200	0
74300	0
74400	0
74500	0
74600	0
74700	0
74800	0
74900	0
75000	0
75100	0
75200	0
75300	0
75400	0
75500	0
75600	0
75700	0
75800	0
75900	0
76000	0
76100	0
76200	0
76300	0
76400	0
76500	0
76600	0
76700	0
76800	0
76900	0
77000	0
77100	0
77200	0
77300	0
77400	0
77500	0
77600	0
77700	0
77800	0
77900	0
78000	0
78100	0
78200	0
78300	0
78400	0
78500	0
78600	0
78700	0
78800	0
78900	0
79000	0
79100	0
79200	0
79300	0
79400	0
79500	0
79600	0
79700	0
79800	0
79900	0
80000	0
80100	0
80200	0
80300	0
80400	0
80500	0
80600	0
80700	0
80800	0
80900	0
81000	0
81100	0
81200	0
81300	0
81400	0
81500	0
81600	0
81700	0
81800	0
81900	0
82000	0
82100	0
82200	0
82300	0
82400	0
82500	0
82600	0
82700	0
82800	0
82900	0
83000	0
83100	0
83200	0
83300	0
83400	0
83500	0
83600	0
83700	0
83800	0
83900	0
84000	0
84100	0
84200	0
84300	0
84400	0
84500	0
84600	0
84700	0
84800	0
84900	0
85000	0
85100	0
85200	0
85300	0
85400	0
85500	0
85600	0
85700	0
85800	0
85900	0
86000	0
86100	0
86200	0
86300	0
86400	1
86500	1
86600	1
86700	1
86800	1
86900	1
87000	1
87100	1
87200	1
87300	1
87400	1
87500	1
87600	1
87700	1
87800	1
87900	1
88000	1
88100	1
88200	1
88300	1
88400	1
88500	1
88600	1
88700	1
88800	1
88900	1
89000	1
89100	1
89200	0
89300	1
89400	1
89500	1
89600	1
89700	1
89800	0
89900	0
90000	1
90100	1
90200	1
90300	1
90400	1
90500	1
90600	1
90700	1
90800	1
90900	0
91000	1
91100	1
91200	1
91300	1
91400	0
91500	0
91600	1
91700	1
91800	1
91900	0
92000	0
92100	0
92200	0
92300	0
92400	0
92500	0
92600	0
92700	0
92800	0
92900	0
93000	0
93100	0
93200	0
93300	0
93400	0
93500	0
93600	0
93700	0
93800	0
93900	0
94000	0
94100	0
94200	0
94300	0
94400	0
94500	0
94600	0
94700	0
94800	0
94900	0
95000	0
95100	0
95200	1
95300	1
95400	1
95500	1
95600	1
95700	1
95800	1
95900	1
96000	1
96100	1
96200	1
96300	1
96400	1
96500	1
96600	1
96700	1
96800	1
96900	1
97000	1
97100	1
97200	1
97300	1
97400	1
97500	1
97600	1
97700	1
97800	1
97900	1
98000	1
98100	1
98200	1
98300	1
98400	1
98500	1
98600	1
98700	1
98800	1
98900	1
99000	1
99100	1
99200	1
99300	1
99400	1
99500	1
99600	1
99700	1
99800	1
99900	1
100000	1
100100	1
100200	1
100300	1
100400	1
100500	1
100600	1
100700	1
100800	1
100900	1
101000	1
101100	1
101200	1
101300	1
101400	1
101500	1
101600	1
101700	1
101800	1
101900	1
102000	1
102100	1
102200	1
102300	1
102400	1
102500	1
102600	1
102700	1
102800	1
102900	1
103000	1
103100	1
103200	1
103300	1
103400	1
103500	1
103600	1
103700	1
103800	1
103900	1
104000	1
104100	1
104200	1
104300	1
104400	1
104500	1
104600	1
104700	1
104800	1
104900	1
105000	1
105100	1
105200	1
105300	1
105400	1
105500	1
105600	1
105700	1
105800	1
105900	1
106000	1
106100	1
106200	1
106300	1
106400	1
106500	1
106600	1
106700	1
106800	1
106900	1
107000	1
107100	1
107200	1
107300	1
107400	1
107500	1
107600	1
107700	1
107800	1
107900	1
108000	1
108100	1
108200	1
108300	1
108400	1
108500	1
108600	1
108700	1
108800	1
108900	1
109000	1
109100	1
109200	1
109300	1
109400	1
109500	1
109600	1
109700	1
109800	1
109900	1
110000	0
110100	0
110200	0
110300	0
110400	0
110500	0
110600	0
110700	0
110800	0
110900	0
111000	0
111100	0
111200	0
111300	0
111400	0
111500	0
111600	0
111700	0
111800	0
111900	0
112000	0
112100	0
112200	0
112300	0
112400	0
112500	0
112600	0
112700	0
112800	0
112900	0
113000	0
113100	0
113200	1
113300	1
113400	1
113500	0
113600	0
113700	0
113800	0
113900	0
114000	0
114100	0
114200	0
114300	0
114400	0
114500	0
114600	0
114700	0
114800	0
114900	0
115000	0
115100	0
115200	0
115300	0
115400	0
115500	0
