#MCS	Mean_pressure	{Cells_over_pressure_threshold}
0	18.243465180115546	0
100	33.31629804181847	30
200	32.48375096967088	17
300	31.41169136746861	12
400	33.06154802748776	31
500	32.247768302036285	18
600	31.542580628184886	19
700	32.384482182384716	19
800	32.64224261366433	22
900	32.40313638431898	22
1000	32.00160174319973	16
1100	32.60209411156691	21
1200	31.912640419275167	20
1300	32.14705179256164	21
1400	31.95554414376269	21
1500	32.742117469063615	19
1600	31.764528839489067	12
1700	32.41294023518689	18
1800	32.280529444578995	26
1900	32.22945044132652	20
2000	31.619036538826432	11
2100	31.779995808043324	16
2200	31.829842486870767	19
2300	32.30904794489708	16
2400	31.64618990366992	18
2500	31.89221924821145	11
2600	32.424443963650276	16
2700	31.6849115188959	17
2800	32.07940608648898	16
2900	32.03568475891185	18
3000	32.410169783758654	21
3100	32.080904090233595	18
3200	32.14142252251916	17
3300	31.64739172443923	18
3400	31.859057890048444	12
3500	31.949621034240526	20
3600	31.264012682718214	16
3700	31.86705845519002	16
3800	30.842175586059337	9
3900	31.837919891994662	16
4000	32.035219775839266	23
4100	31.149473663273966	16
4200	31.865700556481016	18
4300	31.459954443915713	14
4400	31.786397254227484	24
4500	32.112273342638076	15
4600	32.09041930942896	20
4700	31.506357284539526	13
4800	32.07219710789573	23
4900	32.07336229633634	19
5000	31.96658145320509	17
5100	30.773719643603354	14
5200	30.92491181482752	10
5300	32.3782389505142	21
5400	31.717772383311722	14
5500	31.8600678650387	19
5600	31.94782362576786	12
5700	32.22141751029968	23
5800	31.396822422840195	21
5900	31.71838931457488	15
6000	32.06444192120911	23
6100	31.35875482914509	11
6200	32.048993272990245	15
6300	31.518157054516532	16
6400	31.223576614805395	15
6500	31.42140093162956	15
6600	31.396415707249734	12
6700	31.48374478883942	18
6800	31.966294650997725	20
6900	31.470628565533726	14
7000	31.77923238515291	19
7100	31.487026621129598	13
7200	31.728578008239584	16
7300	31.520965947470504	21
7400	31.7444903308161	14
7500	31.607960762899694	17
7600	31.267997882552198	13
7700	32.188709645703376	17
7800	31.584746740560348	15
7900	31.62797429659752	12
8000	31.20398442536024	9
8100	31.9730770760627	16
8200	31.661630009105203	18
8300	31.16489890897278	12
8400	32.051283748709274	17
8500	30.06404632023584	9
8600	31.190134342200654	16
8700	31.99265413066404	20
8800	31.702661136090473	17
8900	31.2264522682812	12
9000	31.477484762533923	16
9100	30.86451722722274	17
9200	31.732686186094135	16
9300	31.62831542921292	18
9400	31.71594466565598	15
9500	30.915304029440787	13
9600	31.26779679220527	11
9700	30.684370501889916	11
9800	31.972242662063117	15
9900	31.706438564617418	17
10000	31.92706626943308	16
10100	31.576722472447237	17
10200	31.41864856814681	11
10300	31.221917487087875	15
10400	31.541405594888673	13
10500	31.572515937043963	21
10600	31.615032594064832	20
10700	31.999279395116744	20
10800	31.753634110613586	17
10900	30.949341211171678	8
11000	31.83630710286179	17
11100	32.38541433693958	19
11200	32.616521566725844	19
11300	31.814792248682696	19
11400	31.4641423445018	14
11500	32.08470988285414	20
11600	31.918063068154087	16
11700	31.56730522807059	18
11800	32.76503314198729	24
11900	31.396700591771914	14
12000	32.03823649809906	18
12100	32.06120570684371	15
12200	31.52644475820588	14
12300	32.641926687998655	23
12400	31.992787972284805	19
12500	31.518728623703154	14
12600	32.21358989463786	15
12700	31.642181307696266	16
12800	31.25671874231295	12
12900	31.945121278270644	17
13000	31.90728092244629	11
13100	31.93535962208596	12
13200	31.494763690624733	16
13300	31.632326581165945	13
13400	31.955619592850017	17
13500	31.43807609294431	15
13600	31.789372223673137	13
