#MCS	Mean_volume
0	25.72
100	19.41
200	19.82
300	19.56
400	19.59
500	19.48
600	19.93
700	19.38
800	19.68
900	19.36
1000	19.5
1100	19.74
1200	19.67
1300	19.88
1400	19.46
1500	19.85
1600	19.75
1700	19.49
1800	19.68
1900	20.01
2000	19.66
2100	19.86
2200	19.82
2300	19.82
2400	20.04
2500	20.22
2600	20.18
2700	20.06
2800	20.01
2900	19.74
3000	20.08
3100	20.2
3200	20.23
3300	20.17
3400	20.31
3500	20.21
3600	20.33
3700	20.3
3800	20.86
3900	20.7
4000	20.45
4100	20.6
4200	20.7
4300	20.69
4400	20.73
4500	20.96
4600	21.12
4700	20.92
4800	20.95
4900	20.93
5000	20.98
5100	21.59
5200	21.48
5300	21.71
5400	21.29
5500	21.39
5600	21.43
5700	21.81
5800	21.62
5900	21.69
6000	21.78
6100	21.89
6200	21.36
6300	22.07
6400	21.89
6500	21.91
6600	22.41
6700	22.0
6800	22.29
6900	22.1
7000	22.33
7100	22.17
7200	22.4
7300	22.66
7400	22.61
7500	22.5
7600	22.91
7700	22.71
7800	23.03
7900	23.33
8000	22.91
8100	23.28
8200	23.4
8300	23.15
8400	23.29
8500	23.44
8600	23.58
8700	23.4
8800	23.65
8900	24.03
9000	23.69
9100	24.08
9200	24.2
9300	24.19
9400	24.25
9500	24.17
9600	24.5
9700	24.25
9800	24.71
9900	24.35
10000	24.64
10100	25.04
10200	24.84
10300	24.75
10400	24.9
10500	25.27
10600	25.21
10700	25.38
10800	25.14
10900	25.49
11000	25.74
11100	25.68
11200	25.41
11300	25.62
11400	25.79
11500	26.06
11600	25.9
11700	26.12
11800	25.92
11900	25.41
12000	26.09
12100	26.13
12200	26.16
12300	26.16
12400	26.31
12500	26.47
12600	26.63
12700	26.74
12800	26.92
12900	27.29
13000	27.05
13100	26.93
13200	26.74
13300	27.22
13400	27.46
13500	27.38
13600	27.48
13700	27.61
13800	27.65
13900	27.48
14000	27.61
14100	27.67
14200	27.69
14300	28.27
14400	27.87
14500	27.93
14600	28.22
14700	28.26
14800	28.31
14900	28.44
15000	28.39
15100	28.65
15200	28.62
15300	28.73
15400	28.87
15500	28.69
15600	29.02
15700	29.21
15800	29.08
15900	29.3
16000	29.45
16100	29.45
16200	29.7
16300	29.67
16400	29.81
16500	29.3
16600	29.89
16700	30.24
16800	30.19
16900	30.07
17000	30.0
17100	30.46
17200	30.24
17300	30.64
17400	30.6
17500	30.42
17600	30.48
17700	30.54
17800	30.58
17900	31.19
18000	31.02
18100	31.3
18200	31.08
18300	31.24
18400	31.41
18500	31.36
18600	31.53
18700	31.27
18800	31.68
18900	32.03
19000	31.74
19100	32.07
19200	32.45
19300	32.11
19400	32.21
19500	32.51
19600	32.57
19700	32.35
19800	32.3
19900	32.6
20000	32.89
20100	32.62
20200	32.73
20300	33.14
20400	32.83
20500	33.35
20600	33.57
20700	33.19
20800	33.1
20900	33.46
21000	33.56
21100	33.25
21200	33.42
21300	33.52
21400	33.76
21500	33.7
21600	33.49
21700	33.8
21800	33.9
21900	33.98
22000	34.16
22100	33.93
22200	34.47
22300	34.31
22400	34.45
22500	34.35
22600	34.65
22700	34.71
22800	34.55
22900	34.5
23000	34.86
23100	34.95
23200	35.19
23300	34.73
23400	35.13
23500	35.09
23600	35.1
23700	35.28
23800	35.4
23900	35.36
24000	35.5
24100	35.31
24200	35.57
24300	35.42
24400	35.9
24500	35.99
24600	36.15
24700	35.86
24800	36.18
24900	35.99
25000	36.07
25100	36.13
25200	36.26
25300	36.49
25400	36.74
25500	36.6
25600	36.35
25700	36.5
25800	36.91
25900	37.06
26000	37.13
26100	37.07
26200	37.13
26300	37.2
26400	37.48
26500	37.28
26600	37.52
