#MCS	Total_cells	P_mean	P10	P20	P30	P40	P50	P60	P70	P75	P80	P90	P95	P99	P_max
0	100	18.56758907579022	10.824774600059754	14.958580231174349	15.624774790794618	18.02477488616205	18.02477488616205	20.42477498152948	20.42477498152948	22.824775076896913	22.824775076896913	25.224775172264344	27.624775267631776	27.624775267631776	27.624775267631776
100	100	33.09425506874526	27.624775267631776	30.01318896707853	31.115773545445517	32.42477545836664	32.902710544487036	34.82477555373407	34.82477555373407	34.82477555373407	37.2247756491015	37.2247756491015	39.624775744468934	44.4247759352038	44.4247759352038
200	100	32.062444777735024	25.187316433811883	27.624775267631776	30.024775362999208	32.42477545836664	32.42477545836664	32.42477545836664	34.82477555373407	34.82477555373407	35.304775572807564	37.2247756491015	39.624775744468934	39.64877574542262	42.024775839836366
300	100	32.470760142213614	27.624775267631776	29.623574196932715	30.024775362999208	30.44340144572252	32.42477545836664	32.42477545836664	34.82477555373407	34.82477555373407	37.2247756491015	37.2247756491015	39.624775744468934	42.024775839836366	42.024775839836366
400	100	32.46700742338755	26.954310580510263	29.684491771196193	30.024775362999208	31.772980488252145	32.42477545836664	33.38477549651361	34.82477555373407	34.82477555373407	35.304775572807564	37.2247756491015	39.624775744468934	42.024775839836366	42.024775839836366
500	100	32.41991818513098	26.68040220153589	27.624775267631776	30.024775362999208	32.42477545836664	32.42477545836664	33.46441547182821	34.82477555373407	34.82477555373407	35.304775572807564	37.46477565863827	39.624775744468934	44.4247759352038	44.4247759352038
600	100	31.37687852783066	27.097062117866336	27.624775267631776	28.684688800051752	30.024775362999208	32.42477545836664	32.42477545836664	34.82477555373407	34.82477555373407	34.82477555373407	37.2247756491015	37.2247756491015	39.64877574542262	42.024775839836366
700	100	32.70397388458392	26.09712174439619	29.438384535090517	30.024775362999208	32.42477545836664	32.42477545836664	34.82477555373407	34.82477555373407	34.82477555373407	37.2247756491015	39.624775744468934	39.7447757492373	42.07277584174374	46.82477603057123
800	100	31.97033104184141	27.581286850358538	28.07176637671346	30.024775362999208	30.024775362999208	32.42477545836664	33.38477549651361	34.82477555373407	34.82477555373407	34.82477555373407	37.2247756491015	37.2247756491015	39.624775744468934	39.624775744468934
900	100	32.61101381382771	26.3843749114043	27.624775267631776	30.024775362999208	32.42477545836664	32.42477545836664	34.82477555373407	34.82477555373407	35.42477557757593	37.2247756491015	39.624775744468934	39.624775744468934	42.024775839836366	42.024775839836366
1000	100	32.328930165625124	26.358199298694398	28.198752670649267	30.024775362999208	32.42477545836664	32.42477545836664	34.82477555373407	34.82477555373407	34.82477555373407	37.2247756491015	37.2247756491015	37.2247756491015	39.67277574637631	44.4247759352038
