#MCS	Total_energy
0	143960.08875226823
100	108414.141194904
200	108571.24746609127
300	109180.20707766371
400	108044.45322515618
500	108476.36404240543
600	108026.44248794192
700	107218.71533409265
800	107576.34013996505
900	107615.19356156312
1000	108299.75769971336
1100	107791.1404011322
1200	107999.9957455252
1300	108141.71722049947
1400	108458.25384876119
1500	107859.05947707093
1600	108223.85472699182
1700	108198.96917338177
1800	108709.5968477124
1900	107992.64766056545
2000	108836.55750886067
2100	108588.15821386626
2200	108307.85167102003
2300	108206.72895563468
2400	109369.45422956218
2500	108483.22793414205
2600	108515.81298122373
2700	108796.60960845299
2800	108654.80249493255
2900	108946.58490717085
3000	109714.28495785547
3100	109404.79268281045
3200	109356.22044933547
3300	110198.60075820067
3400	109493.25173036297
3500	109897.1628584544
3600	110171.63885042934
3700	110031.94562496105
3800	110386.67505642078
3900	109820.9129060136
4000	110006.21865044841
4100	110628.60893522843
4200	110929.04349937715
4300	110563.75455655034
4400	111008.8752048297
4500	111167.73868501441
4600	111116.11428307637
4700	110537.97778782473
4800	111318.49958428135
4900	111241.82961381329
5000	111473.60111658435
5100	112616.78018017478
5200	111982.3376912865
5300	111934.79361701205
5400	112338.81956091325
5500	112267.0998310547
5600	113181.87805033903
5700	113020.87446991699
5800	113278.45725296995
5900	113181.05919029441
6000	113672.66540148077
6100	113289.87799872819
6200	113425.27665605831
6300	113864.44952174141
6400	114086.43662960429
6500	114440.70080447728
6600	114046.33141141266
6700	114352.85172416973
6800	114420.44182502416
6900	114807.40465272804
7000	114702.22362108144
7100	115189.14013737865
7200	115010.95533231855
7300	115700.64703684747
7400	115269.86384390449
7500	115396.22226995863
7600	115917.35259259796
7700	116150.18465623423
7800	116364.56724571773
7900	116720.12179205396
8000	117118.53187756332
8100	116682.73275532243
8200	116932.9276413377
8300	117759.86670396739
8400	118026.83275595547
8500	118317.41644688575
8600	118956.3879454427
8700	117625.05520729271
8800	118163.47652007818
8900	119285.9487212173
9000	119149.39928080086
9100	119863.44792874402
9200	118903.4804806629
9300	118995.90634753199
9400	119429.41266531532
9500	119860.03077929214
9600	120527.38227327321
9700	120692.76367195614
9800	120826.87988652734
9900	120599.47664416755
10000	120902.17096065919
10100	121416.2180347647
10200	121574.65078574239
10300	122036.14482013296
10400	121390.34669727745
10500	121548.26024766082
10600	122361.22367799848
10700	122136.88560482077
10800	122506.91542317136
10900	123012.8885478485
11000	123022.29907690999
11100	123023.10178688217
11200	122800.95044263505
11300	122882.40005797021
11400	124299.78357941727
11500	123511.9713183213
11600	124353.02362459549
11700	123700.6687526293
11800	124029.27072125353
11900	124838.4089667375
12000	123738.50162619079
12100	125202.95092564651
12200	125220.59573328665
12300	124874.18001254818
12400	125442.53778780653
12500	126038.3232187289
12600	125603.72119395739
12700	126219.96278777593
12800	126099.22068457176
12900	126906.79900868652
13000	127326.61014452354
13100	126763.05909663007
13200	127765.36863387053
13300	127432.50042881965
13400	127549.30972744814
13500	128484.82238641093
13600	128803.13259804183
13700	128166.75801081292
13800	128170.31858218787
13900	128213.45715378862
14000	128550.38110868305
14100	129339.38240434842
14200	129584.36701026173
14300	128820.4296578375
14400	129550.10661432055
14500	129563.55870582267
14600	130490.8243507797
14700	130350.4935835376
14800	130285.59905869533
14900	130184.68756276848
15000	130549.88606409404
15100	130920.05919479199
15200	131487.8794444301
15300	131779.94375201262
15400	132180.70461421713
15500	132143.55883481255
15600	131459.1172833784
15700	132743.02217124536
15800	132191.98200161709
15900	132704.488907881
16000	133448.66820038238
16100	133311.70414944206
16200	134196.66769701178
16300	134153.0622070712
16400	134051.82933768083
16500	134257.93959388722
16600	134730.128294528
16700	134780.14713606684
16800	134945.25178639052
16900	135660.3729248156
17000	135759.52416162827
17100	135389.11410141506
17200	135969.12948852664
17300	136047.30222475267
17400	136817.09657469788
17500	137395.76883359297
17600	136698.96996643418
17700	137349.9640591742
17800	137428.37153833508
17900	137782.61181575764
18000	138457.4541473665
18100	138109.95514640043
18200	138364.78043151557
18300	138679.12213905528
18400	139133.59074187704
18500	139224.55187984166
18600	139132.89748648193
18700	139844.94743983782
18800	139364.32800792315
18900	140186.46908981152
