#MCS	ActivatedTCell_Wall_contact_area	Total_cell_Wall_contact_area
0	5.0	5.0
100	60.0	60.0
200	68.0	68.0
300	93.0	93.0
400	112.0	112.0
500	114.0	114.0
600	131.0	131.0
700	147.0	147.0
800	178.0	178.0
900	182.0	182.0
1000	181.0	181.0
1100	180.0	180.0
1200	181.0	181.0
1300	185.0	185.0
1400	195.0	195.0
1500	191.0	191.0
1600	203.0	203.0
1700	184.0	184.0
1800	202.0	202.0
1900	204.0	204.0
2000	212.0	212.0
2100	216.0	216.0
2200	233.0	233.0
2300	226.0	226.0
2400	228.0	228.0
2500	237.0	237.0
2600	246.0	246.0
2700	240.0	240.0
2800	232.0	232.0
2900	259.0	259.0
3000	250.0	250.0
3100	244.0	244.0
3200	245.0	245.0
3300	254.0	254.0
3400	263.0	263.0
3500	275.0	275.0
3600	267.0	267.0
3700	292.0	292.0
3800	296.0	296.0
3900	293.0	293.0
4000	314.0	314.0
4100	298.0	298.0
4200	305.0	305.0
4300	306.0	306.0
4400	319.0	319.0
4500	334.0	334.0
4600	315.0	315.0
4700	336.0	336.0
4800	339.0	339.0
4900	324.0	324.0
5000	337.0	337.0
5100	336.0	336.0
5200	347.0	347.0
5300	339.0	339.0
5400	338.0	338.0
5500	350.0	350.0
5600	366.0	366.0
5700	353.0	353.0
5800	350.0	350.0
5900	362.0	362.0
6000	363.0	363.0
6100	356.0	356.0
6200	353.0	353.0
6300	373.0	373.0
6400	370.0	370.0
6500	357.0	357.0
6600	363.0	363.0
6700	351.0	351.0
6800	356.0	356.0
6900	370.0	370.0
7000	383.0	383.0
7100	376.0	376.0
7200	384.0	384.0
7300	377.0	377.0
7400	379.0	379.0
7500	390.0	390.0
7600	390.0	390.0
7700	392.0	392.0
7800	413.0	413.0
7900	424.0	424.0
8000	395.0	395.0
8100	411.0	411.0
8200	393.0	393.0
8300	445.0	445.0
8400	450.0	450.0
8500	425.0	425.0
8600	445.0	445.0
8700	424.0	424.0
8800	443.0	443.0
8900	446.0	446.0
9000	436.0	436.0
9100	426.0	426.0
9200	429.0	429.0
9300	454.0	454.0
9400	453.0	453.0
9500	425.0	425.0
9600	426.0	426.0
9700	419.0	419.0
9800	430.0	430.0
9900	450.0	450.0
10000	430.0	430.0
10100	454.0	454.0
10200	443.0	443.0
10300	449.0	449.0
10400	440.0	440.0
10500	459.0	459.0
10600	440.0	440.0
10700	455.0	455.0
10800	460.0	460.0
10900	449.0	449.0
11000	476.0	476.0
11100	470.0	470.0
11200	474.0	474.0
11300	474.0	474.0
11400	483.0	483.0
11500	490.0	490.0
11600	486.0	486.0
11700	493.0	493.0
11800	497.0	497.0
11900	491.0	491.0
12000	483.0	483.0
12100	487.0	487.0
12200	502.0	502.0
12300	499.0	499.0
12400	508.0	508.0
12500	505.0	505.0
12600	515.0	515.0
12700	501.0	501.0
12800	520.0	520.0
12900	534.0	534.0
13000	521.0	521.0
13100	521.0	521.0
13200	518.0	518.0
13300	516.0	516.0
13400	518.0	518.0
13500	518.0	518.0
13600	540.0	540.0
13700	538.0	538.0
13800	516.0	516.0
13900	534.0	534.0
14000	529.0	529.0
14100	530.0	530.0
14200	526.0	526.0
14300	542.0	542.0
14400	550.0	550.0
14500	548.0	548.0
14600	565.0	565.0
14700	573.0	573.0
14800	546.0	546.0
14900	569.0	569.0
15000	563.0	563.0
15100	582.0	582.0
15200	585.0	585.0
15300	563.0	563.0
15400	588.0	588.0
15500	581.0	581.0
15600	581.0	581.0
15700	577.0	577.0
15800	581.0	581.0
15900	578.0	578.0
16000	568.0	568.0
16100	582.0	582.0
16200	590.0	590.0
16300	611.0	611.0
16400	592.0	592.0
16500	603.0	603.0
16600	622.0	622.0
16700	601.0	601.0
16800	591.0	591.0
16900	589.0	589.0
17000	618.0	618.0
17100	613.0	613.0
17200	607.0	607.0
17300	601.0	601.0
17400	605.0	605.0
17500	617.0	617.0
17600	614.0	614.0
17700	620.0	620.0
17800	617.0	617.0
17900	609.0	609.0
18000	611.0	611.0
18100	625.0	625.0
18200	638.0	638.0
18300	625.0	625.0
18400	641.0	641.0
18500	622.0	622.0
18600	635.0	635.0
18700	648.0	648.0
18800	631.0	631.0
18900	648.0	648.0
19000	655.0	655.0
19100	655.0	655.0
19200	659.0	659.0
19300	652.0	652.0
19400	655.0	655.0
19500	645.0	645.0
19600	654.0	654.0
19700	664.0	664.0
19800	656.0	656.0
19900	654.0	654.0
20000	659.0	659.0
20100	667.0	667.0
20200	649.0	649.0
20300	666.0	666.0
20400	668.0	668.0
20500	654.0	654.0
20600	670.0	670.0
20700	663.0	663.0
20800	676.0	676.0
20900	667.0	667.0
21000	675.0	675.0
21100	667.0	667.0
21200	669.0	669.0
21300	682.0	682.0
21400	675.0	675.0
21500	685.0	685.0
21600	679.0	679.0
21700	687.0	687.0
21800	685.0	685.0
21900	694.0	694.0
22000	694.0	694.0
22100	704.0	704.0
22200	695.0	695.0
22300	695.0	695.0
22400	697.0	697.0
22500	695.0	695.0
22600	711.0	711.0
22700	711.0	711.0
22800	699.0	699.0
22900	700.0	700.0
23000	714.0	714.0
23100	733.0	733.0
23200	709.0	709.0
23300	728.0	728.0
23400	727.0	727.0
23500	741.0	741.0
23600	733.0	733.0
23700	725.0	725.0
23800	732.0	732.0
23900	729.0	729.0
24000	754.0	754.0
24100	737.0	737.0
24200	760.0	760.0
24300	767.0	767.0
24400	750.0	750.0
24500	738.0	738.0
24600	773.0	773.0
24700	761.0	761.0
24800	768.0	768.0
24900	748.0	748.0
25000	776.0	776.0
25100	766.0	766.0
25200	783.0	783.0
25300	777.0	777.0
25400	788.0	788.0
25500	791.0	791.0
25600	792.0	792.0
25700	776.0	776.0
25800	772.0	772.0
25900	774.0	774.0
26000	788.0	788.0
26100	800.0	800.0
26200	814.0	814.0
26300	814.0	814.0
26400	807.0	807.0
26500	826.0	826.0
26600	835.0	835.0
26700	841.0	841.0
26800	833.0	833.0
26900	841.0	841.0
27000	836.0	836.0
27100	834.0	834.0
27200	829.0	829.0
27300	839.0	839.0
27400	835.0	835.0
27500	845.0	845.0
27600	852.0	852.0
27700	835.0	835.0
27800	835.0	835.0
27900	851.0	851.0
28000	850.0	850.0
28100	849.0	849.0
28200	864.0	864.0
28300	843.0	843.0
28400	853.0	853.0
28500	863.0	863.0
28600	852.0	852.0
28700	855.0	855.0
28800	880.0	880.0
28900	864.0	864.0
29000	856.0	856.0
29100	859.0	859.0
29200	857.0	857.0
29300	860.0	860.0
29400	872.0	872.0
29500	870.0	870.0
29600	895.0	895.0
29700	892.0	892.0
29800	899.0	899.0
29900	892.0	892.0
30000	893.0	893.0
30100	890.0	890.0
30200	903.0	903.0
30300	888.0	888.0
30400	900.0	900.0
30500	895.0	895.0
30600	904.0	904.0
30700	916.0	916.0
30800	916.0	916.0
30900	908.0	908.0
31000	916.0	916.0
31100	910.0	910.0
31200	908.0	908.0
31300	911.0	911.0
