#MCS	ActivatedTCells_touching_Wall	Total_cells_touching_Wall	Number_ActivatedTCells	Percent_ActivatedTCells_touching_wall
0	3	3	3	100.0
100	7	7	8	87.5
200	9	9	10	90.0
300	11	11	12	91.66666666666666
400	11	11	12	91.66666666666666
500	12	12	16	75.0
600	14	14	16	87.5
700	14	14	16	87.5
800	15	15	17	88.23529411764706
900	18	18	20	90.0
1000	18	18	20	90.0
1100	20	20	23	86.95652173913044
1200	20	20	23	86.95652173913044
1300	21	21	23	91.30434782608695
1400	21	21	24	87.5
1500	23	23	24	95.83333333333334
1600	24	24	25	96.0
1700	24	24	25	96.0
1800	25	25	26	96.15384615384616
1900	25	25	26	96.15384615384616
2000	27	27	28	96.42857142857143
2100	28	28	29	96.55172413793103
2200	29	29	30	96.66666666666667
2300	29	29	30	96.66666666666667
2400	30	30	31	96.7741935483871
2500	32	32	33	96.96969696969697
2600	32	32	33	96.96969696969697
2700	33	33	34	97.05882352941177
2800	34	34	36	94.44444444444444
2900	36	36	38	94.73684210526315
3000	37	37	39	94.87179487179486
3100	39	39	40	97.5
3200	39	39	40	97.5
3300	40	40	41	97.5609756097561
3400	40	40	41	97.5609756097561
3500	41	41	42	97.61904761904762
3600	41	41	43	95.34883720930233
3700	41	41	43	95.34883720930233
3800	41	41	43	95.34883720930233
3900	41	41	43	95.34883720930233
4000	41	41	43	95.34883720930233
4100	41	41	43	95.34883720930233
4200	41	41	43	95.34883720930233
4300	43	43	45	95.55555555555556
4400	43	43	45	95.55555555555556
4500	43	43	45	95.55555555555556
4600	43	43	45	95.55555555555556
4700	43	43	45	95.55555555555556
4800	43	43	45	95.55555555555556
4900	44	44	46	95.65217391304348
5000	44	44	46	95.65217391304348
5100	45	45	47	95.74468085106383
5200	45	45	47	95.74468085106383
5300	46	46	48	95.83333333333334
5400	46	46	48	95.83333333333334
5500	47	47	49	95.91836734693877
5600	47	47	49	95.91836734693877
5700	48	48	50	96.0
5800	48	48	50	96.0
5900	48	48	50	96.0
6000	49	49	51	96.07843137254902
6100	49	49	51	96.07843137254902
6200	49	49	51	96.07843137254902
6300	49	49	52	94.23076923076923
6400	49	49	52	94.23076923076923
6500	49	49	52	94.23076923076923
6600	51	51	53	96.22641509433963
6700	51	51	53	96.22641509433963
6800	51	51	53	96.22641509433963
6900	51	51	53	96.22641509433963
7000	51	51	53	96.22641509433963
7100	51	51	53	96.22641509433963
7200	51	51	53	96.22641509433963
7300	51	51	53	96.22641509433963
7400	51	51	53	96.22641509433963
7500	51	51	53	96.22641509433963
7600	51	51	53	96.22641509433963
7700	51	51	53	96.22641509433963
7800	52	52	54	96.29629629629629
7900	52	52	54	96.29629629629629
8000	52	52	54	96.29629629629629
8100	52	52	54	96.29629629629629
8200	52	52	54	96.29629629629629
8300	52	52	54	96.29629629629629
8400	52	52	54	96.29629629629629
8500	53	53	55	96.36363636363636
8600	53	53	55	96.36363636363636
8700	54	54	56	96.42857142857143
8800	54	54	56	96.42857142857143
8900	54	54	56	96.42857142857143
9000	54	54	56	96.42857142857143
9100	54	54	56	96.42857142857143
9200	54	54	56	96.42857142857143
9300	54	54	56	96.42857142857143
9400	54	54	56	96.42857142857143
9500	54	54	56	96.42857142857143
9600	54	54	56	96.42857142857143
9700	54	54	56	96.42857142857143
9800	54	54	56	96.42857142857143
9900	54	54	56	96.42857142857143
10000	54	54	56	96.42857142857143
10100	54	54	56	96.42857142857143
10200	54	54	56	96.42857142857143
10300	54	54	56	96.42857142857143
10400	54	54	56	96.42857142857143
10500	54	54	56	96.42857142857143
10600	54	54	56	96.42857142857143
10700	54	54	56	96.42857142857143
10800	54	54	56	96.42857142857143
10900	54	54	56	96.42857142857143
11000	54	54	56	96.42857142857143
11100	54	54	56	96.42857142857143
11200	54	54	56	96.42857142857143
11300	54	54	56	96.42857142857143
11400	54	54	56	96.42857142857143
11500	54	54	56	96.42857142857143
11600	54	54	56	96.42857142857143
11700	54	54	56	96.42857142857143
11800	54	54	56	96.42857142857143
11900	54	54	56	96.42857142857143
12000	54	54	56	96.42857142857143
12100	54	54	56	96.42857142857143
12200	54	54	56	96.42857142857143
12300	54	54	56	96.42857142857143
12400	54	54	56	96.42857142857143
12500	54	54	56	96.42857142857143
12600	54	54	56	96.42857142857143
12700	54	54	56	96.42857142857143
12800	54	54	56	96.42857142857143
12900	54	54	56	96.42857142857143
13000	54	54	56	96.42857142857143
13100	54	54	56	96.42857142857143
13200	54	54	56	96.42857142857143
13300	54	54	56	96.42857142857143
13400	54	54	56	96.42857142857143
13500	54	54	56	96.42857142857143
13600	54	54	56	96.42857142857143
13700	54	54	56	96.42857142857143
13800	54	54	56	96.42857142857143
13900	54	54	56	96.42857142857143
14000	54	54	56	96.42857142857143
14100	55	55	57	96.49122807017544
14200	55	55	57	96.49122807017544
14300	55	55	57	96.49122807017544
14400	55	55	57	96.49122807017544
14500	55	55	57	96.49122807017544
14600	55	55	57	96.49122807017544
14700	55	55	57	96.49122807017544
14800	55	55	57	96.49122807017544
14900	55	55	57	96.49122807017544
15000	55	55	57	96.49122807017544
15100	55	55	57	96.49122807017544
15200	55	55	57	96.49122807017544
15300	55	55	57	96.49122807017544
15400	55	55	57	96.49122807017544
15500	55	55	57	96.49122807017544
15600	55	55	57	96.49122807017544
15700	55	55	57	96.49122807017544
15800	55	55	57	96.49122807017544
15900	55	55	57	96.49122807017544
16000	55	55	57	96.49122807017544
16100	55	55	57	96.49122807017544
16200	55	55	57	96.49122807017544
16300	55	55	57	96.49122807017544
16400	55	55	57	96.49122807017544
16500	55	55	57	96.49122807017544
16600	55	55	57	96.49122807017544
16700	55	55	57	96.49122807017544
16800	55	55	57	96.49122807017544
16900	55	55	57	96.49122807017544
17000	55	55	58	94.82758620689656
17100	55	55	58	94.82758620689656
17200	55	55	58	94.82758620689656
17300	56	56	59	94.91525423728814
17400	56	56	59	94.91525423728814
17500	56	56	59	94.91525423728814
17600	56	56	59	94.91525423728814
17700	56	56	59	94.91525423728814
17800	56	56	59	94.91525423728814
17900	56	56	59	94.91525423728814
18000	57	57	60	95.0
18100	58	58	60	96.66666666666667
18200	58	58	60	96.66666666666667
18300	59	59	61	96.72131147540983
18400	59	59	61	96.72131147540983
18500	59	59	61	96.72131147540983
18600	59	59	61	96.72131147540983
