#MCS	Adhesion_energy
0	102172.5
100	85908.0
200	83818.5
300	83394.0
400	83496.0
500	81754.5
600	82060.5
700	82059.0
800	81705.0
900	82435.5
1000	82624.5
1100	81724.5
1200	82891.5
1300	81396.0
1400	83673.0
1500	83476.5
1600	83983.5
1700	82756.5
1800	81895.5
1900	82618.5
2000	84042.0
2100	82549.5
2200	82618.5
2300	82819.5
2400	83499.0
2500	83937.0
2600	82083.0
2700	84823.5
2800	82915.5
2900	83317.5
3000	84195.0
3100	83827.5
3200	83148.0
3300	85044.0
3400	83214.0
3500	83745.0
3600	85452.0
3700	83776.5
3800	84628.5
3900	85770.0
4000	84571.5
4100	85174.5
4200	84219.0
4300	84885.0
4400	84484.5
4500	85864.5
4600	86068.5
4700	88093.5
4800	86595.0
4900	87339.0
5000	87310.5
5100	86574.0
5200	87966.0
5300	87585.0
5400	89419.5
5500	87417.0
5600	87609.0
5700	89209.5
5800	89199.0
5900	89914.5
6000	87195.0
6100	90025.5
6200	89527.5
6300	91114.5
6400	91522.5
6500	89893.5
6600	91180.5
6700	90457.5
6800	89845.5
6900	89886.0
7000	90435.0
7100	91075.5
7200	91200.0
7300	91855.5
7400	91090.5
7500	92301.0
7600	91929.0
7700	93240.0
7800	92323.5
7900	93571.5
8000	93007.5
8100	94140.0
8200	92091.0
8300	93459.0
8400	93621.0
8500	94111.5
8600	94422.0
8700	93270.0
8800	93733.5
8900	94662.0
9000	94398.0
9100	94860.0
9200	94893.0
9300	95650.5
9400	95700.0
9500	96882.0
9600	95937.0
9700	96459.0
9800	96132.0
9900	95467.5
10000	96115.5
10100	97066.5
10200	96295.5
10300	97972.5
10400	97576.5
10500	98478.0
10600	98841.0
10700	99663.0
10800	98155.5
10900	97221.0
11000	98808.0
11100	99957.0
11200	99706.5
11300	99346.5
11400	99792.0
11500	102354.0
11600	101268.0
11700	99256.5
11800	101208.0
11900	101641.5
12000	100918.5
12100	101109.0
12200	100801.5
12300	101392.5
12400	102573.0
12500	101295.0
12600	102885.0
12700	102337.5
12800	102246.0
12900	103678.5
13000	104298.0
13100	101157.0
13200	103723.5
13300	104443.5
13400	103702.5
13500	105880.5
13600	105366.0
13700	105985.5
13800	105318.0
13900	106489.5
14000	105727.5
14100	107424.0
14200	107281.5
14300	106531.5
14400	106096.5
14500	107637.0
14600	107100.0
14700	108337.5
14800	107584.5
14900	108249.0
15000	110496.0
15100	108393.0
15200	109405.5
15300	109851.0
15400	111502.5
15500	108922.5
15600	110412.0
15700	109114.5
15800	110899.5
15900	111456.0
16000	111147.0
16100	112200.0
16200	111243.0
16300	111277.5
16400	113266.5
16500	112423.5
16600	112902.0
16700	113346.0
16800	111798.0
16900	113820.0
17000	113505.0
17100	112966.5
17200	114501.0
17300	115888.5
17400	115702.5
17500	116688.0
17600	115557.0
17700	116557.5
17800	116800.5
17900	116400.0
18000	117502.5
18100	115888.5
18200	117175.5
18300	118699.5
18400	120363.0
18500	117079.5
18600	119472.0
18700	119892.0
18800	119812.5
18900	120264.0
19000	119583.0
19100	118903.5
19200	120939.0
19300	120790.5
19400	120784.5
19500	122241.0
19600	120960.0
19700	121830.0
19800	121903.5
19900	121653.0
20000	123169.5
20100	123604.5
20200	124252.5
20300	124905.0
20400	123120.0
20500	123972.0
20600	123709.5
20700	123853.5
20800	124731.0
20900	123559.5
21000	125007.0
21100	125653.5
21200	125811.0
21300	124521.0
21400	125172.0
21500	126925.5
21600	127455.0
21700	127786.5
21800	128358.0
21900	127810.5
22000	127954.5
22100	128896.5
22200	126951.0
22300	127956.0
22400	129133.5
22500	128979.0
22600	128691.0
22700	128970.0
22800	128052.0
22900	129945.0
23000	130536.0
23100	130312.5
23200	131730.0
23300	130936.5
23400	130468.5
23500	130356.0
23600	132795.0
23700	133453.5
23800	131923.5
23900	133468.5
24000	133546.5
24100	132421.5
24200	132507.0
24300	132241.5
24400	133674.0
24500	133677.0
24600	133345.5
24700	134553.0
24800	134842.5
24900	134247.0
25000	135544.5
25100	134793.0
25200	136038.0
25300	134728.5
25400	135289.5
25500	135909.0
25600	136320.0
25700	136657.5
25800	136000.5
25900	135201.0
26000	137130.0
26100	138304.5
26200	139255.5
26300	138649.5
26400	137896.5
26500	139285.5
26600	138489.0
26700	139177.5
26800	138499.5
26900	139345.5
27000	140316.0
27100	138525.0
27200	138738.0
27300	140146.5
27400	141318.0
27500	140143.5
27600	141387.0
27700	141673.5
27800	142378.5
27900	140727.0
28000	141313.5
28100	143617.5
28200	142525.5
28300	142950.0
28400	142696.5
28500	143016.0
28600	143083.5
28700	144147.0
28800	144195.0
28900	144109.5
29000	145809.0
29100	144586.5
29200	145537.5
29300	145903.5
29400	146524.5
29500	147301.5
29600	146371.5
29700	145749.0
29800	147591.0
29900	146745.0
30000	147598.5
30100	148138.5
30200	148434.0
30300	147544.5
30400	147598.5
30500	147594.0
30600	149157.0
30700	149538.0
30800	150589.5
30900	150090.0
31000	150946.5
31100	150574.5
31200	150634.5
31300	150502.5
31400	151635.0
31500	151902.0
31600	151423.5
31700	152715.0
31800	152496.0
31900	153456.0
32000	152052.0
32100	153237.0
32200	155335.5
32300	153271.5
32400	153975.0
32500	154773.0
32600	154678.5
32700	154977.0
32800	156034.5
32900	155118.0
33000	155505.0
33100	157188.0
33200	155248.5
33300	158395.5
33400	157141.5
33500	157617.0
33600	157051.5
33700	158136.0
33800	160270.5
33900	158035.5
34000	158359.5
34100	158749.5
34200	159103.5
34300	159619.5
34400	159849.0
34500	159483.0
34600	160992.0
34700	160510.5
34800	159372.0
34900	160587.0
35000	160753.5
35100	160401.0
35200	161280.0
35300	162138.0
35400	162310.5
35500	162445.5
35600	163239.0
35700	161602.5
35800	162996.0
35900	163870.5
36000	163777.5
36100	163689.0
36200	162990.0
36300	164478.0
36400	164220.0
36500	164007.0
36600	164577.0
36700	164023.5
36800	165645.0
36900	164700.0
37000	165805.5
37100	165091.5
37200	164983.5
37300	166507.5
37400	165640.5
37500	166260.0
37600	165679.5
37700	165613.5
37800	165931.5
37900	166996.5
38000	167077.5
38100	167787.0
38200	167965.5
38300	167241.0
38400	167880.0
38500	168111.0
38600	167599.5
38700	168687.0
38800	168265.5
38900	169317.0
39000	168823.5
39100	169072.5
39200	168853.5
39300	168951.0
39400	169426.5
39500	170482.5
39600	170200.5
39700	171051.0
39800	170074.5
39900	170253.0
40000	171477.0
40100	171216.0
40200	170602.5
40300	170919.0
40400	171172.5
40500	170908.5
40600	172507.5
40700	171838.5
40800	171978.0
40900	170470.5
41000	171351.0
41100	170535.0
41200	173202.0
41300	172735.5
41400	171586.5
41500	172210.5
41600	172926.0
41700	172731.0
41800	172053.0
41900	172521.0
42000	172351.5
42100	173589.0
42200	173515.5
42300	173424.0
42400	175369.5
42500	175293.0
42600	175152.0
42700	174552.0
42800	173682.0
42900	174271.5
43000	175920.0
43100	176010.0
43200	175417.5
43300	175770.0
43400	174300.0
43500	175500.0
43600	175614.0
43700	175947.0
43800	175917.0
43900	177345.0
44000	176412.0
44100	176700.0
44200	176797.5
44300	177126.0
44400	176809.5
44500	176536.5
44600	177283.5
44700	176686.5
44800	177450.0
44900	177210.0
45000	176544.0
45100	178422.0
45200	178768.5
45300	177558.0
45400	178501.5
45500	178777.5
45600	178411.5
45700	179526.0
45800	177531.0
45900	179254.5
46000	179722.5
46100	179052.0
46200	180192.0
46300	180234.0
46400	179131.5
46500	178222.5
46600	180541.5
46700	179466.0
46800	179920.5
46900	180226.5
47000	179533.5
47100	180336.0
47200	180825.0
47300	178950.0
47400	180838.5
47500	180213.0
47600	182463.0
47700	180312.0
47800	181108.5
47900	182682.0
48000	181471.5
48100	181012.5
48200	183240.0
48300	182448.0
48400	182178.0
48500	184053.0
48600	183052.5
48700	182905.5
48800	182356.5
48900	182976.0
49000	182949.0
49100	183193.5
49200	183369.0
49300	184692.0
49400	183447.0
49500	183822.0
49600	184435.5
49700	184723.5
49800	184080.0
49900	184560.0
50000	184219.5
50100	184216.5
50200	185502.0
50300	185601.0
50400	186714.0
50500	184735.5
50600	185419.5
50700	184644.0
50800	185679.0
50900	186718.5
51000	186001.5
51100	186426.0
51200	186198.0
51300	186340.5
51400	187132.5
51500	187152.0
51600	187446.0
51700	186303.0
51800	186591.0
51900	187915.5
52000	188665.5
52100	187270.5
52200	187810.5
52300	187302.0
52400	187995.0
52500	188172.0
52600	187909.5
52700	188437.5
52800	188682.0
52900	189691.5
53000	190780.5
53100	188878.5
53200	190249.5
53300	189741.0
53400	189255.0
53500	189456.0
53600	190402.5
53700	189328.5
53800	190710.0
53900	189381.0
54000	189358.5
54100	189975.0
54200	191791.5
54300	190687.5
54400	190933.5
54500	191344.5
54600	190681.5
54700	189640.5
54800	191472.0
54900	191907.0
55000	192622.5
55100	191110.5
55200	191499.0
55300	193597.5
55400	192019.5
55500	193026.0
55600	192573.0
55700	193677.0
55800	193420.5
55900	193792.5
56000	195640.5
56100	194398.5
56200	194796.0
56300	193840.5
56400	195466.5
56500	194329.5
56600	195354.0
56700	193767.0
56800	195673.5
56900	195688.5
57000	195118.5
57100	195120.0
57200	195633.0
57300	195991.5
57400	195646.5
57500	196413.0
57600	196263.0
57700	196278.0
57800	198445.5
57900	198507.0
58000	197104.5
58100	197860.5
58200	198649.5
58300	199146.0
58400	199492.5
58500	199962.0
58600	198832.5
58700	200829.0
58800	197478.0
58900	198609.0
59000	200356.5
59100	199368.0
59200	201042.0
59300	200146.5
59400	201057.0
59500	200904.0
59600	200832.0
59700	200406.0
59800	202594.5
59900	202419.0
60000	201129.0
60100	201634.5
60200	200989.5
60300	200505.0
60400	202536.0
60500	202939.5
60600	202848.0
60700	203206.5
60800	203184.0
60900	203439.0
61000	203550.0
61100	202948.5
61200	202873.5
61300	202935.0
61400	204343.5
61500	204346.5
61600	203736.0
61700	204855.0
61800	205230.0
61900	204786.0
62000	204559.5
62100	206071.5
62200	204646.5
62300	206029.5
62400	205603.5
62500	206845.5
62600	207765.0
62700	206472.0
62800	206914.5
62900	206425.5
63000	207771.0
63100	208549.5
63200	208390.5
63300	207766.5
63400	208566.0
63500	208477.5
63600	208401.0
63700	209809.5
63800	208179.0
63900	209041.5
64000	209331.0
64100	209650.5
64200	209572.5
64300	210846.0
64400	211080.0
64500	210730.5
64600	209133.0
64700	210453.0
64800	211350.0
64900	210315.0
65000	212424.0
65100	212173.5
65200	211621.5
65300	213655.5
65400	212208.0
65500	213724.5
65600	213136.5
65700	213642.0
65800	212040.0
65900	213385.5
66000	214353.0
66100	214074.0
66200	213750.0
66300	213727.5
66400	213735.0
66500	213865.5
66600	214519.5
66700	214902.0
66800	215904.0
66900	214752.0
67000	215967.0
67100	215677.5
67200	216126.0
67300	214894.5
67400	215038.5
67500	214870.5
67600	216631.5
67700	215431.5
67800	216144.0
67900	216948.0
68000	216130.5
68100	216594.0
68200	217833.0
68300	217326.0
68400	218029.5
68500	218092.5
68600	217185.0
68700	220233.0
68800	218797.5
68900	219288.0
69000	219108.0
69100	219585.0
69200	220119.0
69300	218955.0
69400	221017.5
69500	220533.0
69600	219865.5
69700	220750.5
69800	222028.5
69900	221335.5
70000	221709.0
70100	222099.0
70200	223251.0
70300	222511.5
70400	221821.5
70500	222361.5
70600	221368.5
70700	222193.5
70800	223930.5
70900	223320.0
71000	224701.5
71100	223921.5
71200	224547.0
71300	225496.5
71400	224623.5
71500	225711.0
71600	225667.5
71700	226023.0
71800	225343.5
71900	225676.5
72000	226969.5
72100	225772.5
72200	227076.0
72300	227082.0
72400	227355.0
72500	228700.5
72600	228118.5
72700	228441.0
72800	228945.0
72900	229252.5
73000	228661.5
73100	229264.5
73200	227289.0
73300	229693.5
73400	228691.5
73500	229876.5
73600	230784.0
73700	228691.5
73800	230935.5
73900	230881.5
74000	231825.0
74100	230316.0
74200	231495.0
74300	231676.5
74400	232521.0
74500	232975.5
74600	233790.0
74700	232536.0
74800	232741.5
74900	232491.0
75000	234535.5
75100	233325.0
75200	234054.0
75300	233286.0
75400	234471.0
75500	233817.0
75600	235426.5
75700	234720.0
75800	235080.0
75900	235797.0
76000	235594.5
76100	236908.5
76200	235044.0
76300	236586.0
76400	236536.5
76500	237517.5
76600	237385.5
76700	237804.0
76800	237111.0
76900	239083.5
77000	238426.5
77100	237820.5
77200	238216.5
77300	240327.0
77400	239977.5
77500	239218.5
77600	240147.0
77700	241726.5
77800	241630.5
77900	242101.5
78000	240912.0
78100	240823.5
78200	243045.0
78300	243870.0
78400	242271.0
78500	243550.5
78600	243777.0
78700	245209.5
78800	244624.5
78900	245169.0
79000	245007.0
79100	245463.0
79200	246829.5
79300	245278.5
79400	245196.0
79500	246391.5
79600	245434.5
79700	247705.5
79800	246489.0
79900	247549.5
80000	247890.0
80100	248593.5
80200	248277.0
80300	248481.0
80400	249325.5
80500	249343.5
80600	249486.0
80700	249976.5
80800	248235.0
80900	248541.0
81000	249975.0
81100	248980.5
81200	248587.5
81300	250408.5
81400	250290.0
81500	251869.5
81600	251470.5
81700	251947.5
81800	251305.5
81900	252222.0
82000	251566.5
82100	252885.0
82200	251610.0
82300	252186.0
82400	253771.5
82500	252498.0
82600	254820.0
82700	253861.5
82800	254374.5
82900	253851.0
83000	255771.0
83100	256432.5
83200	253683.0
83300	255021.0
83400	255315.0
83500	255474.0
83600	255106.5
