#MCS	TotalCells_Number	TCells_Number	ActivatedTCells_Number	Percentage_ActivatedTCells
0	100	93	7	7.000000000000001
100	100	85	15	15.0
200	100	83	17	17.0
300	100	81	19	19.0
400	100	78	22	22.0
500	100	76	24	24.0
600	100	75	25	25.0
700	100	73	27	27.0
800	100	72	28	28.000000000000004
900	100	72	28	28.000000000000004
1000	100	72	28	28.000000000000004
1100	100	72	28	28.000000000000004
1200	100	70	30	30.0
1300	100	69	31	31.0
1400	100	69	31	31.0
1500	100	69	31	31.0
1600	100	68	32	32.0
1700	100	66	34	34.0
1800	100	66	34	34.0
1900	100	66	34	34.0
2000	100	66	34	34.0
2100	100	66	34	34.0
2200	100	66	34	34.0
2300	100	66	34	34.0
2400	100	65	35	35.0
2500	100	64	36	36.0
2600	100	64	36	36.0
2700	100	64	36	36.0
2800	100	63	37	37.0
2900	100	63	37	37.0
3000	100	63	37	37.0
3100	100	63	37	37.0
3200	100	62	38	38.0
3300	100	61	39	39.0
3400	100	61	39	39.0
3500	100	60	40	40.0
3600	100	60	40	40.0
3700	100	59	41	41.0
3800	100	59	41	41.0
3900	100	59	41	41.0
4000	100	59	41	41.0
4100	100	59	41	41.0
4200	100	59	41	41.0
4300	100	59	41	41.0
4400	100	59	41	41.0
4500	100	58	42	42.0
4600	100	57	43	43.0
4700	100	56	44	44.0
4800	100	56	44	44.0
4900	100	54	46	46.0
5000	100	54	46	46.0
5100	100	54	46	46.0
5200	100	53	47	47.0
5300	100	53	47	47.0
5400	100	52	48	48.0
5500	100	52	48	48.0
5600	100	51	49	49.0
5700	100	50	50	50.0
5800	100	50	50	50.0
5900	100	50	50	50.0
6000	100	50	50	50.0
6100	100	50	50	50.0
6200	100	50	50	50.0
6300	100	50	50	50.0
6400	100	50	50	50.0
6500	100	50	50	50.0
6600	100	50	50	50.0
6700	100	50	50	50.0
6800	100	49	51	51.0
6900	100	49	51	51.0
7000	100	49	51	51.0
7100	100	49	51	51.0
7200	100	49	51	51.0
7300	100	49	51	51.0
7400	100	49	51	51.0
7500	100	49	51	51.0
7600	100	49	51	51.0
7700	100	49	51	51.0
7800	100	49	51	51.0
7900	100	49	51	51.0
8000	100	48	52	52.0
8100	100	48	52	52.0
8200	100	48	52	52.0
8300	100	48	52	52.0
8400	100	48	52	52.0
8500	100	47	53	53.0
8600	100	47	53	53.0
8700	100	47	53	53.0
8800	100	47	53	53.0
8900	100	46	54	54.0
9000	100	45	55	55.00000000000001
9100	100	44	56	56.00000000000001
9200	100	44	56	56.00000000000001
9300	100	44	56	56.00000000000001
9400	100	44	56	56.00000000000001
9500	100	44	56	56.00000000000001
9600	100	44	56	56.00000000000001
9700	100	44	56	56.00000000000001
9800	100	44	56	56.00000000000001
9900	100	44	56	56.00000000000001
10000	100	44	56	56.00000000000001
10100	100	44	56	56.00000000000001
10200	100	44	56	56.00000000000001
10300	100	44	56	56.00000000000001
10400	100	44	56	56.00000000000001
10500	100	44	56	56.00000000000001
10600	100	43	57	56.99999999999999
10700	100	43	57	56.99999999999999
10800	100	43	57	56.99999999999999
10900	100	43	57	56.99999999999999
11000	100	43	57	56.99999999999999
11100	100	43	57	56.99999999999999
11200	100	43	57	56.99999999999999
11300	100	42	58	57.99999999999999
11400	100	42	58	57.99999999999999
11500	100	42	58	57.99999999999999
11600	100	42	58	57.99999999999999
11700	100	42	58	57.99999999999999
11800	100	42	58	57.99999999999999
11900	100	42	58	57.99999999999999
12000	100	42	58	57.99999999999999
12100	100	42	58	57.99999999999999
12200	100	41	59	59.0
12300	100	40	60	60.0
12400	100	40	60	60.0
12500	100	40	60	60.0
12600	100	40	60	60.0
12700	100	39	61	61.0
12800	100	39	61	61.0
12900	100	38	62	62.0
13000	100	38	62	62.0
13100	100	38	62	62.0
13200	100	38	62	62.0
13300	100	37	63	63.0
13400	100	36	64	64.0
13500	100	36	64	64.0
13600	100	36	64	64.0
13700	100	36	64	64.0
13800	100	36	64	64.0
13900	100	36	64	64.0
14000	100	35	65	65.0
14100	100	35	65	65.0
14200	100	35	65	65.0
14300	100	35	65	65.0
14400	100	35	65	65.0
14500	100	35	65	65.0
14600	100	34	66	66.0
14700	100	33	67	67.0
14800	100	33	67	67.0
14900	100	33	67	67.0
15000	100	33	67	67.0
15100	100	33	67	67.0
15200	100	33	67	67.0
15300	100	33	67	67.0
15400	100	33	67	67.0
15500	100	33	67	67.0
15600	100	33	67	67.0
15700	100	33	67	67.0
15800	100	33	67	67.0
15900	100	33	67	67.0
16000	100	33	67	67.0
16100	100	33	67	67.0
16200	100	32	68	68.0
16300	100	32	68	68.0
16400	100	31	69	69.0
16500	100	31	69	69.0
16600	100	31	69	69.0
16700	100	31	69	69.0
16800	100	31	69	69.0
16900	100	31	69	69.0
17000	100	31	69	69.0
17100	100	31	69	69.0
17200	100	31	69	69.0
17300	100	31	69	69.0
17400	100	31	69	69.0
17500	100	31	69	69.0
17600	100	31	69	69.0
17700	100	31	69	69.0
17800	100	31	69	69.0
17900	100	31	69	69.0
18000	100	31	69	69.0
18100	100	31	69	69.0
18200	100	31	69	69.0
18300	100	31	69	69.0
18400	100	31	69	69.0
18500	100	30	70	70.0
18600	100	30	70	70.0
18700	100	30	70	70.0
18800	100	29	71	71.0
18900	100	29	71	71.0
19000	100	29	71	71.0
19100	100	29	71	71.0
19200	100	29	71	71.0
19300	100	29	71	71.0
19400	100	29	71	71.0
19500	100	29	71	71.0
19600	100	29	71	71.0
19700	100	29	71	71.0
19800	100	29	71	71.0
19900	100	29	71	71.0
20000	100	29	71	71.0
20100	100	29	71	71.0
20200	100	29	71	71.0
20300	100	29	71	71.0
20400	100	29	71	71.0
20500	100	29	71	71.0
20600	100	29	71	71.0
20700	100	29	71	71.0
20800	100	28	72	72.0
20900	100	28	72	72.0
21000	100	28	72	72.0
21100	100	28	72	72.0
21200	100	28	72	72.0
21300	100	27	73	73.0
21400	100	27	73	73.0
21500	100	27	73	73.0
21600	100	27	73	73.0
21700	100	27	73	73.0
21800	100	27	73	73.0
21900	100	27	73	73.0
22000	100	27	73	73.0
22100	100	26	74	74.0
22200	100	26	74	74.0
22300	100	26	74	74.0
22400	100	26	74	74.0
22500	100	26	74	74.0
22600	100	26	74	74.0
22700	100	26	74	74.0
22800	100	26	74	74.0
22900	100	26	74	74.0
23000	100	26	74	74.0
23100	100	26	74	74.0
23200	100	26	74	74.0
23300	100	26	74	74.0
23400	100	26	74	74.0
23500	100	26	74	74.0
23600	100	25	75	75.0
23700	100	25	75	75.0
23800	100	25	75	75.0
23900	100	25	75	75.0
24000	100	24	76	76.0
24100	100	24	76	76.0
24200	100	24	76	76.0
24300	100	24	76	76.0
24400	100	24	76	76.0
24500	100	24	76	76.0
24600	100	24	76	76.0
24700	100	24	76	76.0
24800	100	24	76	76.0
24900	100	24	76	76.0
25000	100	24	76	76.0
25100	100	24	76	76.0
25200	100	24	76	76.0
25300	100	24	76	76.0
25400	100	24	76	76.0
25500	100	24	76	76.0
25600	100	24	76	76.0
25700	100	24	76	76.0
25800	100	23	77	77.0
25900	100	23	77	77.0
26000	100	23	77	77.0
26100	100	23	77	77.0
26200	100	23	77	77.0
26300	100	23	77	77.0
26400	100	23	77	77.0
26500	100	23	77	77.0
26600	100	23	77	77.0
26700	100	23	77	77.0
26800	100	23	77	77.0
26900	100	23	77	77.0
27000	100	23	77	77.0
27100	100	23	77	77.0
27200	100	23	77	77.0
27300	100	22	78	78.0
27400	100	22	78	78.0
27500	100	22	78	78.0
27600	100	22	78	78.0
27700	100	22	78	78.0
27800	100	22	78	78.0
27900	100	22	78	78.0
28000	100	22	78	78.0
28100	100	22	78	78.0
28200	100	21	79	79.0
28300	100	21	79	79.0
28400	100	21	79	79.0
28500	100	21	79	79.0
28600	100	21	79	79.0
28700	100	21	79	79.0
28800	100	21	79	79.0
28900	100	21	79	79.0
29000	100	21	79	79.0
29100	100	21	79	79.0
29200	100	21	79	79.0
29300	100	21	79	79.0
29400	100	21	79	79.0
29500	100	21	79	79.0
29600	100	21	79	79.0
29700	100	21	79	79.0
29800	100	21	79	79.0
29900	100	21	79	79.0
30000	100	21	79	79.0
30100	100	21	79	79.0
30200	100	21	79	79.0
30300	100	21	79	79.0
30400	100	21	79	79.0
30500	100	21	79	79.0
30600	100	21	79	79.0
30700	100	21	79	79.0
30800	100	20	80	80.0
30900	100	20	80	80.0
31000	100	20	80	80.0
31100	100	20	80	80.0
31200	100	20	80	80.0
31300	100	20	80	80.0
31400	100	20	80	80.0
31500	100	20	80	80.0
31600	100	20	80	80.0
31700	100	20	80	80.0
31800	100	20	80	80.0
31900	100	20	80	80.0
32000	100	20	80	80.0
32100	100	20	80	80.0
32200	100	20	80	80.0
32300	100	20	80	80.0
32400	100	20	80	80.0
32500	100	20	80	80.0
32600	100	20	80	80.0
32700	100	20	80	80.0
32800	100	20	80	80.0
32900	100	20	80	80.0
33000	100	20	80	80.0
33100	100	20	80	80.0
33200	100	20	80	80.0
33300	100	20	80	80.0
33400	100	20	80	80.0
33500	100	20	80	80.0
33600	100	20	80	80.0
33700	100	20	80	80.0
33800	100	20	80	80.0
33900	100	20	80	80.0
34000	100	20	80	80.0
34100	100	20	80	80.0
34200	100	20	80	80.0
34300	100	20	80	80.0
34400	100	20	80	80.0
34500	100	20	80	80.0
34600	100	20	80	80.0
34700	100	20	80	80.0
34800	100	20	80	80.0
34900	100	20	80	80.0
35000	100	20	80	80.0
35100	100	20	80	80.0
35200	100	20	80	80.0
35300	100	20	80	80.0
35400	100	20	80	80.0
35500	100	20	80	80.0
35600	100	20	80	80.0
35700	100	20	80	80.0
35800	100	20	80	80.0
35900	100	20	80	80.0
36000	100	20	80	80.0
36100	100	20	80	80.0
36200	100	20	80	80.0
36300	100	20	80	80.0
36400	100	20	80	80.0
36500	100	19	81	81.0
36600	100	19	81	81.0
36700	100	19	81	81.0
36800	100	19	81	81.0
36900	100	19	81	81.0
37000	100	19	81	81.0
37100	100	19	81	81.0
37200	100	19	81	81.0
37300	100	19	81	81.0
37400	100	19	81	81.0
37500	100	19	81	81.0
37600	100	19	81	81.0
37700	100	19	81	81.0
37800	100	19	81	81.0
37900	100	19	81	81.0
38000	100	19	81	81.0
38100	100	19	81	81.0
38200	100	19	81	81.0
38300	100	19	81	81.0
38400	100	19	81	81.0
38500	100	19	81	81.0
38600	100	19	81	81.0
38700	100	19	81	81.0
38800	100	19	81	81.0
38900	100	19	81	81.0
39000	100	19	81	81.0
39100	100	19	81	81.0
39200	100	19	81	81.0
39300	100	19	81	81.0
39400	100	19	81	81.0
39500	100	19	81	81.0
39600	100	19	81	81.0
39700	100	19	81	81.0
39800	100	19	81	81.0
39900	100	19	81	81.0
40000	100	19	81	81.0
40100	100	19	81	81.0
40200	100	19	81	81.0
40300	100	19	81	81.0
40400	100	19	81	81.0
40500	100	19	81	81.0
40600	100	19	81	81.0
40700	100	19	81	81.0
40800	100	19	81	81.0
40900	100	18	82	82.0
41000	100	17	83	83.0
41100	100	17	83	83.0
41200	100	17	83	83.0
41300	100	17	83	83.0
41400	100	17	83	83.0
41500	100	17	83	83.0
41600	100	17	83	83.0
41700	100	17	83	83.0
41800	100	17	83	83.0
41900	100	17	83	83.0
42000	100	16	84	84.0
42100	100	16	84	84.0
42200	100	16	84	84.0
42300	100	16	84	84.0
42400	100	16	84	84.0
42500	100	16	84	84.0
42600	100	16	84	84.0
42700	100	16	84	84.0
42800	100	16	84	84.0
42900	100	16	84	84.0
43000	100	16	84	84.0
43100	100	16	84	84.0
43200	100	16	84	84.0
43300	100	16	84	84.0
43400	100	16	84	84.0
43500	100	16	84	84.0
43600	100	16	84	84.0
43700	100	16	84	84.0
43800	100	15	85	85.0
43900	100	15	85	85.0
44000	100	15	85	85.0
44100	100	15	85	85.0
44200	100	15	85	85.0
44300	100	15	85	85.0
44400	100	15	85	85.0
44500	100	15	85	85.0
44600	100	15	85	85.0
44700	100	15	85	85.0
44800	100	15	85	85.0
44900	101	15	86	85.14851485148515
45000	101	15	86	85.14851485148515
45100	101	15	86	85.14851485148515
45200	101	15	86	85.14851485148515
45300	101	15	86	85.14851485148515
45400	101	15	86	85.14851485148515
45500	101	15	86	85.14851485148515
45600	101	15	86	85.14851485148515
45700	101	15	86	85.14851485148515
45800	101	15	86	85.14851485148515
45900	102	15	87	85.29411764705883
46000	102	15	87	85.29411764705883
46100	102	15	87	85.29411764705883
46200	102	15	87	85.29411764705883
46300	102	15	87	85.29411764705883
46400	102	15	87	85.29411764705883
46500	102	15	87	85.29411764705883
46600	102	15	87	85.29411764705883
46700	102	15	87	85.29411764705883
46800	102	15	87	85.29411764705883
46900	103	15	88	85.43689320388349
47000	103	15	88	85.43689320388349
47100	103	15	88	85.43689320388349
47200	103	15	88	85.43689320388349
47300	103	15	88	85.43689320388349
47400	103	15	88	85.43689320388349
47500	103	15	88	85.43689320388349
47600	103	15	88	85.43689320388349
47700	103	14	89	86.40776699029125
47800	103	14	89	86.40776699029125
47900	103	14	89	86.40776699029125
48000	103	13	90	87.37864077669903
48100	103	13	90	87.37864077669903
48200	103	13	90	87.37864077669903
48300	103	13	90	87.37864077669903
48400	103	13	90	87.37864077669903
48500	103	13	90	87.37864077669903
48600	103	13	90	87.37864077669903
48700	103	13	90	87.37864077669903
48800	103	13	90	87.37864077669903
48900	104	13	91	87.5
49000	104	13	91	87.5
49100	104	13	91	87.5
49200	104	12	92	88.46153846153845
49300	104	12	92	88.46153846153845
49400	104	12	92	88.46153846153845
49500	104	12	92	88.46153846153845
49600	104	12	92	88.46153846153845
49700	104	12	92	88.46153846153845
49800	104	12	92	88.46153846153845
49900	104	11	93	89.42307692307693
50000	104	11	93	89.42307692307693
50100	104	11	93	89.42307692307693
50200	104	11	93	89.42307692307693
50300	104	11	93	89.42307692307693
