#MCS	Mean_pressure	{Cells_over_pressure_threshold}
0	17.895341269182083	0
100	32.16298856087943	18
200	32.06744726133241	17
300	32.45832842217128	22
400	31.669436686803866	14
500	31.89181355771113	19
600	31.792919233309775	17
700	32.30025512650168	15
800	31.87202612041283	15
900	31.946909979970833	15
1000	31.847631910879407	20
1100	32.06021892357867	20
1200	32.0547837531983	24
1300	31.975921726990126	19
1400	31.596388389596612	11
1500	31.408639178490557	15
1600	31.08158206284138	16
1700	31.798998030818304	12
1800	31.378669731304598	15
1900	31.337609758039797	12
2000	31.362306929232574	22
2100	30.865004057033165	13
2200	31.447620291319364	14
2300	31.459777708612556	18
2400	30.930411349080597	13
2500	31.429095873264295	13
2600	31.693190076574993	16
2700	31.351176323479095	20
2800	31.368502261705334	13
2900	31.904593384118254	17
3000	31.61911622105449	21
3100	31.303396189096865	12
3200	31.55001745066068	15
3300	31.30041974807743	15
3400	31.350447556848884	18
3500	31.68119443670822	13
3600	31.52938107225049	12
3700	31.572775594228286	14
3800	31.405336953618935	13
3900	31.585331593015745	10
4000	31.010243738606206	11
4100	31.472265339805734	11
4200	32.00104260819487	23
4300	31.695630905546388	16
4400	31.27027317323338	11
4500	31.89933770711118	12
4600	31.013748368887246	11
4700	30.861616242119155	12
4800	31.68030009837638	15
4900	31.658860055144242	10
5000	31.894239381133346	15
5100	31.236131340909377	13
5200	31.39177096629289	13
5300	31.359390044515294	13
5400	30.888321810295448	13
5500	30.792855261361638	10
5600	31.06178397676159	11
5700	31.38813978319243	10
5800	31.256556005117947	9
5900	32.31164996526819	21
6000	31.986986772854625	14
6100	30.725891804405748	13
6200	31.17622709037836	10
6300	31.198349581628865	15
6400	30.98752445770485	8
6500	31.5211041360925	14
6600	31.357361561287945	12
6700	31.26034755883271	14
6800	31.21378589054115	12
6900	31.535143488598006	10
7000	31.620827993380246	11
7100	31.10621569469592	10
7200	31.48670978169014	14
7300	31.39828636630541	14
7400	30.890078851336103	10
7500	31.653331597726	11
7600	31.72655738040583	15
7700	31.288514838744103	11
7800	31.07360570798299	14
7900	30.99010285394048	7
8000	31.414104778491772	12
8100	31.854760786029193	13
8200	31.904202430023798	20
8300	32.14523928982655	16
8400	31.522761919841958	17
8500	31.480436889507317	11
8600	31.56846915156684	17
8700	31.914123587422537	14
8800	31.384236776851893	14
8900	31.885689689074642	19
9000	32.208572819956096	19
9100	31.66591778101746	14
9200	31.01004866476067	14
9300	31.37631137675551	8
9400	30.618766077266418	8
9500	31.783730422219204	13
9600	31.231426408021324	5
9700	31.46931443812946	11
9800	31.919604145782458	16
9900	31.602352580306242	12
10000	31.702753324309942	16
10100	31.58882714489896	18
10200	32.134118362244855	16
10300	31.97030325256317	12
10400	32.40116272296082	19
10500	31.86561742871693	13
10600	31.765441922378287	13
10700	31.933650674051222	18
10800	31.568534027737996	11
10900	31.315555417725164	9
11000	31.812037106741673	12
11100	31.42638385036915	11
11200	31.86472755410684	16
11300	31.341034681769962	9
11400	31.66737527504597	16
11500	32.20323010907658	18
11600	32.025759559426135	18
11700	32.26177629969482	12
11800	31.752929499336968	15
11900	32.124058850022266	15
12000	31.691862805105583	11
12100	31.220581167364962	10
12200	32.23613583700545	18
12300	31.85060488473493	12
12400	31.74920910781132	12
12500	32.10886888387218	17
12600	31.769533264351978	12
12700	32.03874857731412	13
