#MCS	Mean_volume
0	25.92
100	19.52
200	19.54
300	19.3
400	19.54
500	19.45
600	19.49
700	19.15
800	19.32
900	19.36
1000	19.45
1100	19.4
1200	19.34
1300	19.4
1400	19.61
1500	19.74
1600	19.93
1700	19.52
1800	19.75
1900	19.84
2000	19.92
2100	20.17
2200	20.01
2300	19.99
2400	20.25
2500	20.02
2600	19.98
2700	20.21
2800	20.15
2900	20.01
3000	20.18
3100	20.36
3200	20.26
3300	20.44
3400	20.44
3500	20.27
3600	20.4
3700	20.37
3800	20.57
3900	20.53
4000	20.89
4100	20.66
4200	20.57
4300	20.74
4400	20.97
4500	20.71
4600	21.14
4700	21.23
4800	20.86
4900	20.85
5000	20.88
5100	21.18
5200	21.17
5300	21.3
5400	21.5
5500	21.61
5600	21.54
5700	21.39
5800	21.53
5900	21.1
6000	21.32
6100	21.98
6200	21.87
6300	21.95
6400	22.07
6500	21.87
6600	22.06
6700	22.16
6800	22.24
6900	22.14
7000	22.13
7100	22.49
7200	22.39
7300	22.51
7400	22.88
7500	22.54
7600	22.59
7700	22.85
7800	23.07
7900	23.12
8000	22.97
8100	22.86
8200	22.88
8300	22.79
8400	23.21
8500	23.22
8600	23.31
8700	23.2
8800	23.54
8900	23.32
9000	23.2
9100	23.48
9200	23.89
9300	23.79
9400	24.24
9500	23.78
9600	24.06
9700	24.05
9800	23.93
9900	24.15
10000	24.2
10100	24.35
10200	24.1
10300	24.34
10400	24.18
10500	24.53
10600	24.58
10700	24.6
10800	24.83
10900	25.03
11000	24.86
11100	25.09
11200	25.03
11300	25.29
11400	25.26
11500	25.07
11600	25.21
11700	25.16
11800	25.45
11900	25.38
12000	25.66
12100	25.98
12200	25.53
12300	25.74
12400	25.87
12500	25.84
12600	26.07
12700	25.9
12800	25.77
12900	25.99
13000	26.07
13100	26.52
13200	26.31
13300	26.08
13400	26.63
13500	26.57
13600	26.68
13700	26.79
13800	26.68
13900	26.89
14000	26.95
14100	27.2
14200	27.2
14300	27.18
14400	27.34
14500	27.11
14600	27.63
14700	27.46
14800	27.65
14900	28.06
15000	27.75
15100	27.77
15200	28.08
15300	27.79
15400	28.62
15500	28.37
15600	28.33
15700	28.45
15800	28.56
15900	28.56
16000	28.53
16100	28.8
16200	28.81
16300	29.02
16400	28.45
16500	28.93
16600	28.96
16700	29.14
16800	29.19
16900	29.16
17000	29.5
17100	29.44
17200	29.3
17300	29.92
17400	29.77
17500	29.56
17600	30.1
17700	30.06
17800	29.97
17900	30.32
18000	30.38
18100	30.68
18200	30.41
18300	30.34
18400	30.58
18500	30.59
18600	31.0
18700	31.24
18800	31.04
18900	31.23
19000	31.18
19100	31.16
19200	31.25
19300	31.75
19400	31.52
19500	31.58
19600	31.79
19700	31.54
19800	31.76
19900	31.77
20000	32.05
20100	32.28
20200	32.25
20300	32.29
20400	32.03
20500	32.26
20600	32.39
20700	32.42
20800	32.2
20900	32.83
21000	32.68
21100	32.64
21200	33.04
21300	32.51
21400	32.95
21500	32.97
21600	33.01
21700	33.46
21800	33.18
21900	33.11
22000	33.46
22100	33.18
22200	33.57
22300	33.56
22400	33.65
22500	34.06
22600	33.9
22700	33.74
22800	33.89
22900	34.31
23000	34.14
23100	33.86
23200	34.11
23300	34.26
23400	34.3
23500	34.44
23600	34.51
23700	34.74
23800	34.92
23900	34.44
24000	34.71
24100	34.72
24200	34.97
24300	35.04
