#MCS	Total_cells	P_mean	P10	P20	P30	P40	P50	P60	P70	P75	P80	P90	P95	P99	P_max
0	100	17.85371293379476	13.224774695427186	13.224774695427186	15.624774790794618	15.624774790794618	18.02477488616205	18.02477488616205	20.42477498152948	20.42477498152948	20.904775000602974	23.064775086433677	25.224775172264344	27.624775267631776	27.624775267631776
100	100	31.833364510526053	27.483330691454466	29.521030559512475	30.024775362999208	32.1637614227242	32.42477545836664	32.42477545836664	32.42477545836664	34.82477555373407	34.82477555373407	37.2247756491015	37.2247756491015	39.624775744468934	39.624775744468934
200	100	32.34576543220201	25.224775172264344	28.31903977714537	30.024775362999208	32.23500226556352	32.42477545836664	34.82477555373407	34.82477555373407	34.82477555373407	34.82477555373407	37.2247756491015	39.624775744468934	42.04877584079005	44.4247759352038
300	100	32.20320488144136	26.909785053735686	29.719641394094833	30.024775362999208	32.42477545836664	32.42477545836664	34.82477555373407	34.82477555373407	34.82477555373407	34.82477555373407	37.2247756491015	37.2247756491015	39.64877574542262	42.024775839836366
400	100	32.27643178069843	25.224775172264344	27.624775267631776	30.024775362999208	30.595058088433507	32.42477545836664	32.42477545836664	34.82477555373407	34.82477555373407	37.2247756491015	37.30101731339365	39.624775744468934	42.024775839836366	42.024775839836366
500	100	32.82874453563908	27.624775267631776	28.74540542747163	30.024775362999208	32.42477545836664	32.42477545836664	34.82477555373407	34.82477555373407	34.82477555373407	37.2247756491015	37.2247756491015	39.624775744468934	42.04877584079005	44.4247759352038
600	100	32.885604904100184	27.066299026640262	29.9073892567465	30.024775362999208	31.5471483647254	32.42477545836664	34.82477555373407	34.82477555373407	34.82477555373407	37.2247756491015	39.624775744468934	42.024775839836366	42.024775839836366	42.024775839836366
700	100	32.63125117664649	26.529555113857167	29.594898507995094	30.024775362999208	32.42477545836664	32.42477545836664	34.82477555373407	34.82477555373407	34.82477555373407	37.2247756491015	37.2247756491015	39.624775744468934	42.024775839836366	42.024775839836366
800	100	32.671897645431436	26.448249421430955	27.93252291116387	30.024775362999208	32.42477545836664	32.42477545836664	34.82477555373407	34.82477555373407	37.2247756491015	37.2247756491015	37.46477565863827	39.624775744468934	42.024775839836366	42.024775839836366
900	100	32.022658664677735	25.224775172264344	27.946100089451647	30.024775362999208	30.46441417099595	32.42477545836664	32.708861811116	34.82477555373407	34.82477555373407	34.82477555373407	37.2247756491015	39.624775744468934	42.024775839836366	42.024775839836366
