#MCS	Total_divisions
0	0
100	0
200	0
300	0
400	0
500	0
600	0
700	0
800	0
900	0
1000	0
1100	0
1200	0
1300	0
1400	0
1500	0
1600	0
1700	0
1800	0
1900	0
2000	0
2100	0
2200	0
2300	0
2400	0
2500	0
2600	0
2700	0
2800	0
2900	0
3000	0
3100	0
3200	0
3300	0
3400	0
3500	0
3600	0
3700	0
3800	0
3900	0
4000	0
4100	0
4200	0
4300	0
4400	0
4500	0
4600	0
4700	0
4800	0
4900	0
5000	0
5100	0
5200	0
5300	0
5400	0
5500	0
5600	0
5700	0
5800	0
5900	0
6000	0
6100	0
6200	0
6300	0
6400	0
6500	0
6600	0
6700	0
6800	0
6900	0
7000	0
7100	0
7200	0
7300	0
7400	0
7500	0
7600	0
7700	0
7800	0
7900	0
8000	0
8100	0
8200	0
8300	0
8400	0
8500	0
8600	0
8700	0
8800	0
8900	0
9000	0
9100	0
9200	0
9300	0
9400	0
9500	0
9600	0
9700	0
9800	0
9900	0
10000	0
10100	0
10200	0
10300	0
10400	0
10500	0
10600	0
10700	0
10800	0
10900	0
11000	0
11100	0
11200	0
11300	0
11400	0
11500	0
11600	0
11700	0
11800	0
11900	0
12000	0
12100	0
12200	0
12300	0
12400	0
12500	0
12600	0
12700	0
12800	0
12900	0
13000	0
13100	0
13200	0
13300	0
13400	0
13500	0
13600	0
13700	0
13800	0
13900	0
14000	0
14100	0
14200	0
14300	0
14400	0
14500	0
14600	0
14700	0
14800	0
14900	0
15000	0
15100	0
15200	0
15300	0
15400	0
15500	0
15600	0
15700	0
15800	0
15900	0
16000	0
16100	0
16200	0
16300	0
16400	0
16500	0
16600	0
16700	0
16800	0
16900	0
17000	0
17100	0
17200	0
17300	0
17400	0
17500	0
17600	0
17700	0
17800	0
17900	0
18000	0
18100	0
18200	0
18300	0
18400	0
18500	0
18600	0
18700	0
18800	0
18900	0
19000	0
19100	0
19200	0
19300	0
19400	0
19500	0
19600	0
19700	0
19800	0
19900	0
20000	0
20100	0
20200	0
20300	0
20400	0
20500	0
20600	0
20700	0
20800	0
20900	0
21000	0
21100	0
21200	0
21300	0
21400	0
21500	0
21600	0
21700	0
21800	0
21900	0
22000	0
22100	0
22200	0
22300	0
22400	0
22500	0
22600	0
22700	0
22800	0
22900	0
23000	0
23100	0
23200	0
23300	0
23400	0
23500	0
23600	0
23700	0
23800	0
23900	0
24000	0
24100	0
24200	0
24300	0
24400	0
24500	0
24600	0
24700	0
24800	0
24900	0
25000	0
25100	0
25200	0
25300	0
25400	0
25500	0
25600	0
25700	0
25800	0
25900	0
26000	0
26100	0
26200	0
26300	0
26400	0
26500	0
26600	0
26700	0
26800	0
26900	0
27000	0
27100	0
27200	0
27300	0
27400	0
27500	0
27600	0
27700	0
27800	0
27900	0
28000	0
28100	0
28200	0
28300	0
28400	0
28500	0
28600	0
28700	0
28800	0
28900	0
29000	0
29100	0
29200	0
29300	0
29400	0
29500	0
29600	0
29700	0
29800	0
29900	0
30000	0
30100	0
30200	0
30300	0
30400	0
30500	0
30600	0
30700	0
30800	0
30900	0
31000	0
31100	0
31200	0
31300	0
31400	0
31500	0
31600	0
31700	0
31800	0
31900	0
32000	0
32100	0
32200	0
32300	0
32400	0
32500	0
32600	0
32700	0
32800	0
32900	0
33000	0
33100	0
33200	0
33300	0
33400	0
33500	0
33600	0
33700	0
33800	0
33900	0
34000	0
34100	0
34200	0
34300	0
34400	0
34500	0
34600	0
34700	0
34800	0
34900	0
35000	0
35100	0
35200	0
35300	0
35400	0
35500	0
35600	0
35700	0
35800	0
35900	0
36000	0
36100	0
36200	0
36300	0
36400	0
36500	0
36600	0
36700	0
36800	0
36900	0
37000	0
37100	0
37200	0
37300	0
37400	0
37500	0
37600	0
37700	0
37800	0
37900	0
38000	0
38100	0
38200	0
38300	0
38400	0
38500	0
38600	0
38700	0
38800	0
38900	0
39000	0
39100	0
39200	0
39300	0
39400	0
39500	0
39600	0
39700	0
39800	0
39900	0
40000	0
40100	0
40200	0
40300	0
40400	0
40500	0
40600	0
40700	0
40800	0
40900	0
41000	0
41100	0
41200	0
41300	0
41400	0
41500	0
41600	0
41700	0
41800	0
41900	0
42000	0
42100	0
42200	0
42300	0
42400	0
42500	0
42600	0
42700	0
42800	0
42900	0
43000	0
43100	0
43200	0
43300	0
43400	0
43500	0
43600	0
43700	0
43800	0
43900	0
44000	0
44100	0
44200	0
44300	0
44400	0
44500	0
44600	0
44700	0
44800	0
44900	1
45000	1
45100	1
45200	1
45300	1
45400	1
45500	1
45600	1
45700	1
45800	1
45900	2
46000	2
46100	2
46200	2
46300	2
46400	2
46500	2
46600	2
46700	2
46800	2
46900	3
47000	3
47100	3
47200	3
47300	3
47400	3
47500	3
47600	3
47700	3
47800	3
47900	3
48000	3
48100	3
48200	3
48300	3
48400	3
48500	3
48600	3
48700	3
48800	3
48900	4
49000	4
49100	4
49200	4
49300	4
49400	4
49500	4
49600	4
49700	4
49800	4
49900	4
50000	4
50100	4
50200	4
50300	4
50400	5
50500	5
50600	5
50700	5
50800	5
50900	6
51000	6
51100	6
51200	6
51300	6
51400	6
51500	7
51600	7
51700	7
51800	8
51900	8
52000	8
52100	8
52200	8
52300	8
52400	9
52500	9
52600	9
52700	9
52800	9
52900	9
53000	9
53100	9
53200	9
53300	9
53400	10
53500	10
53600	10
53700	10
53800	11
53900	11
54000	11
54100	11
54200	11
54300	11
54400	11
54500	11
54600	11
54700	11
54800	11
54900	11
55000	11
55100	11
55200	11
55300	11
55400	11
55500	11
55600	11
55700	11
55800	11
55900	11
56000	11
56100	11
56200	11
56300	11
56400	12
56500	12
56600	12
56700	12
56800	12
56900	12
57000	12
57100	12
57200	12
57300	12
57400	12
57500	12
57600	12
57700	12
57800	12
57900	12
58000	12
58100	12
58200	12
58300	12
58400	14
58500	14
58600	14
58700	14
58800	14
58900	15
59000	15
59100	15
59200	15
59300	15
59400	15
59500	15
59600	15
59700	15
59800	15
59900	15
60000	15
60100	15
60200	15
60300	15
60400	15
60500	16
60600	16
60700	16
60800	17
60900	17
61000	17
61100	17
61200	17
61300	17
61400	17
61500	17
61600	17
61700	18
61800	18
61900	18
62000	18
62100	18
62200	18
62300	18
62400	18
62500	18
62600	19
62700	19
62800	19
62900	19
63000	19
63100	19
63200	19
63300	19
63400	19
63500	19
63600	19
63700	19
63800	19
63900	19
64000	19
64100	19
64200	19
64300	19
64400	20
64500	20
64600	21
64700	22
64800	22
64900	22
65000	22
65100	23
65200	23
65300	23
65400	23
65500	23
65600	23
65700	24
65800	24
65900	24
66000	24
66100	24
66200	24
66300	24
66400	24
66500	24
66600	24
66700	24
66800	24
66900	24
67000	24
67100	24
67200	24
67300	24
67400	24
67500	24
67600	24
67700	25
67800	26
67900	26
68000	26
68100	26
68200	26
68300	26
68400	26
68500	26
68600	26
68700	26
68800	26
68900	26
69000	26
69100	26
69200	26
69300	27
69400	27
69500	27
69600	27
69700	27
69800	27
69900	27
70000	27
70100	27
70200	27
70300	27
70400	27
70500	27
70600	27
70700	27
70800	27
70900	27
71000	27
71100	27
71200	27
71300	27
71400	27
71500	27
71600	27
71700	27
71800	27
71900	27
72000	28
72100	29
72200	29
72300	29
72400	29
72500	29
72600	29
72700	29
72800	30
72900	30
73000	30
73100	30
73200	30
73300	30
73400	30
73500	30
73600	31
73700	31
73800	31
73900	31
74000	31
74100	31
74200	31
74300	31
74400	31
74500	31
74600	31
74700	31
74800	31
74900	31
75000	31
75100	31
75200	31
75300	31
75400	31
75500	34
75600	34
75700	34
75800	34
75900	34
76000	34
76100	34
76200	34
76300	34
76400	34
76500	34
76600	35
76700	35
76800	35
76900	35
77000	35
77100	35
77200	35
77300	35
77400	35
77500	36
77600	36
77700	36
77800	36
77900	36
78000	36
78100	36
78200	36
78300	36
78400	37
78500	39
78600	39
78700	39
78800	39
78900	39
79000	39
79100	39
79200	40
79300	40
79400	40
79500	40
79600	40
79700	40
79800	40
79900	40
80000	40
80100	40
80200	40
80300	40
80400	41
80500	41
80600	41
80700	41
80800	41
80900	41
81000	41
81100	41
81200	42
81300	42
81400	42
81500	42
81600	42
81700	42
81800	42
81900	42
82000	42
82100	42
82200	42
82300	42
82400	42
82500	43
82600	43
82700	43
82800	43
82900	43
83000	44
83100	44
83200	44
83300	44
83400	44
83500	45
83600	45
83700	45
83800	45
83900	45
84000	45
84100	45
84200	45
84300	45
84400	45
84500	45
84600	45
84700	45
84800	45
84900	45
85000	45
85100	45
85200	45
85300	45
85400	45
85500	45
85600	45
85700	45
85800	45
85900	45
86000	45
86100	45
86200	45
86300	45
86400	45
86500	45
86600	45
86700	45
86800	45
86900	45
87000	45
87100	45
87200	45
87300	45
87400	45
87500	45
87600	45
87700	46
87800	47
87900	47
88000	47
88100	47
88200	47
88300	47
88400	47
88500	47
88600	47
88700	47
88800	48
88900	48
89000	48
89100	48
89200	48
89300	48
89400	49
89500	50
89600	50
89700	50
89800	50
89900	50
90000	50
90100	50
90200	50
90300	50
90400	50
90500	50
90600	50
90700	50
90800	50
90900	50
91000	50
91100	50
91200	50
91300	50
91400	50
91500	50
91600	50
91700	50
91800	50
91900	50
92000	51
92100	51
92200	51
92300	51
92400	51
92500	53
92600	53
92700	53
92800	53
92900	53
93000	53
93100	53
93200	53
93300	53
93400	54
93500	54
93600	54
93700	54
93800	55
93900	55
94000	55
94100	55
94200	55
94300	55
94400	56
94500	57
94600	57
94700	57
94800	57
94900	57
95000	57
95100	57
95200	57
95300	57
95400	57
95500	57
95600	57
95700	57
95800	57
95900	57
96000	57
96100	57
96200	57
96300	57
96400	57
96500	57
96600	57
96700	57
96800	57
96900	57
97000	57
97100	58
97200	58
97300	58
97400	58
97500	59
97600	59
97700	60
97800	60
97900	60
98000	60
98100	60
98200	60
98300	60
98400	60
98500	60
98600	60
98700	60
98800	61
98900	62
99000	62
99100	62
99200	62
99300	63
99400	63
99500	63
99600	63
99700	63
99800	63
99900	63
100000	63
100100	63
100200	63
100300	63
100400	63
100500	63
100600	63
100700	64
100800	64
100900	64
101000	64
101100	64
101200	64
101300	65
101400	66
101500	66
101600	66
101700	66
101800	66
101900	66
102000	66
102100	66
102200	66
102300	66
102400	66
102500	66
102600	66
102700	66
102800	66
102900	66
103000	66
103100	66
103200	66
103300	66
103400	66
103500	66
103600	66
103700	66
103800	66
103900	66
104000	67
104100	67
104200	67
104300	67
104400	67
104500	67
104600	67
104700	67
104800	68
104900	68
105000	69
105100	69
105200	69
105300	70
105400	70
105500	70
105600	70
105700	70
105800	70
105900	70
106000	70
106100	70
106200	70
106300	70
106400	70
106500	70
106600	70
106700	70
106800	70
106900	71
107000	71
107100	72
107200	72
107300	72
107400	72
107500	72
107600	72
107700	72
107800	72
107900	73
108000	73
108100	73
108200	74
108300	76
108400	76
108500	76
108600	76
108700	76
108800	76
108900	77
109000	77
109100	77
109200	77
109300	78
109400	78
109500	78
109600	78
109700	79
109800	79
109900	79
110000	80
110100	80
110200	81
110300	81
110400	81
110500	81
110600	81
110700	81
110800	81
110900	81
111000	81
111100	82
111200	82
111300	82
111400	82
111500	82
111600	82
111700	82
111800	82
111900	82
112000	82
112100	82
112200	82
112300	82
112400	82
112500	83
112600	83
112700	83
112800	83
112900	83
113000	84
113100	85
113200	85
113300	85
113400	85
113500	85
113600	85
113700	86
113800	86
113900	87
114000	87
114100	88
114200	88
114300	88
114400	88
114500	90
114600	90
114700	90
114800	90
114900	90
115000	90
115100	90
115200	90
115300	91
115400	91
115500	91
115600	92
