#MCS	Total_energy
0	147472.5089779517
100	108921.8201795663
200	107640.12052793217
300	107135.1325738319
400	107497.839417248
500	106392.93542729833
600	107210.20268778689
700	106617.86335366215
800	106624.296042807
900	106408.70301552062
1000	106341.74293108915
1100	106303.01254105112
1200	106849.86975273771
1300	106147.24423564172
1400	107221.50184530299
1500	107528.6779457695
1600	107286.13619725416
1700	107048.11923382447
1800	106193.36504298021
1900	106882.53043049945
2000	107134.9318318676
2100	106901.52554740425
2200	106881.58387611312
2300	106743.77617934106
2400	107223.7746761498
2500	107924.83646771082
2600	107176.2144728543
2700	107575.61396923284
2800	107725.43050607765
2900	107585.63663833262
3000	108331.61057293283
3100	108205.84724690329
3200	107868.1482182953
3300	108895.28562578133
3400	108047.31647264189
3500	108730.55325690583
3600	109116.72856542657
3700	108605.62804000406
3800	109535.81874105944
3900	110101.27895919612
4000	109598.2562611839
4100	109628.84899655405
4200	110304.81208286015
4300	109881.97655144134
4400	110241.08611757091
4500	110789.8301664695
4600	110779.34466455334
4700	111701.53202811921
4800	111731.0434666604
4900	112051.4803738221
5000	112298.57058775217
5100	111904.1195876513
5200	112481.40834284702
5300	112427.6486027517
5400	113591.09555415869
5500	112785.7805697697
5600	112905.49844111971
5700	113625.22211088374
5800	113464.73554003984
5900	114347.99964731537
6000	113395.1642301249
6100	114212.40306727563
6200	114665.50701425594
6300	115196.99369684795
6400	115684.84877594626
6500	115222.37666254835
6600	115613.57756563528
6700	115466.97426118102
6800	115437.44620740494
6900	115741.41724015637
7000	116178.62648890434
7100	116204.09723757664
7200	116776.51583591348
7300	116706.18586209367
7400	117175.51569519071
7500	117260.6049033347
7600	117548.34943843927
7700	118119.47668463957
7800	117801.39680378264
7900	119044.32135868407
8000	118780.5749673733
8100	118850.84064250861
8200	118807.5965432345
8300	118943.02092578815
8400	119343.89447307146
8500	119826.63145305822
8600	120125.69621351136
8700	119734.96263016938
8800	120791.30570076797
8900	120667.01856485265
9000	120507.94688742288
9100	120916.22012601978
9200	121162.11019176421
9300	121520.45326236323
9400	121718.47864498604
9500	121856.09241030895
9600	121676.87425202607
9700	122732.41263487568
9800	122324.88835741313
9900	122219.87439601452
10000	122703.8792597664
10100	123074.42462412184
10200	122901.89287309736
10300	123822.04361836314
10400	123995.84268978212
10500	124295.94681836208
10600	124749.2717973904
10700	125329.08893559924
10800	124953.42173421275
10900	124365.06655447787
11000	125355.88655021873
11100	126149.31983449934
11200	126157.90048891486
11300	125750.0254732017
11400	126532.78462745034
11500	127888.51615355165
11600	127709.35968601033
11700	127184.52130284804
11800	127665.62931302647
11900	128467.28552656638
12000	128304.6887704044
12100	128166.16940040096
12200	128111.36637277226
12300	128948.91853183442
12400	129208.48755680601
12500	128997.10980410359
12600	129858.84578674858
12700	129855.69756436312
12800	129917.39287245751
12900	130896.74601499138
13000	131057.27967665599
13100	130644.53767793607
13200	131419.06740304403
13300	131959.62873515848
13400	131849.26808524985
13500	132339.00703218626
13600	132907.11794096025
13700	133039.89775676135
13800	133188.41018248087
13900	134046.50103177052
14000	133525.00578256138
14100	134513.691425469
14200	134936.5972205465
14300	134292.1503623892
14400	134645.55033868455
14500	135629.91771360242
14600	135468.84728522957
14700	136216.67859601174
14800	136218.74216572623
14900	136704.5211185146
15000	137364.79608782762
15100	136947.81954398545
15200	137385.2864901867
15300	137491.48555645676
15400	138740.48945918164
15500	137706.4859984921
15600	138692.59818637854
15700	137698.13359129356
15800	139160.41412942854
15900	139054.9476848644
16000	139529.3864837183
16100	139997.94125289697
16200	139641.85826574927
16300	140061.39090902053
16400	141156.7902144912
16500	141054.5848354986
16600	141260.74454605096
16700	141611.9915199844
16800	141314.24388888475
16900	142403.644757959
17000	142129.65267883023
17100	141978.84705302014
17200	143075.91075369267
17300	144107.42553474358
17400	143811.76424480922
17500	144200.0141510221
17600	144659.7327074378
17700	144642.17432795113
17800	145139.6912102122
