#MCS	ActivatedTCell_Wall_contact_area	Total_cell_Wall_contact_area
0	32.0	32.0
100	147.0	147.0
200	174.0	174.0
300	177.0	177.0
400	235.0	235.0
500	262.0	262.0
600	296.0	296.0
700	308.0	308.0
800	325.0	325.0
900	295.0	295.0
1000	312.0	312.0
1100	318.0	318.0
1200	368.0	368.0
1300	350.0	350.0
1400	337.0	337.0
1500	367.0	367.0
1600	365.0	365.0
1700	379.0	379.0
1800	369.0	369.0
1900	363.0	363.0
2000	388.0	388.0
2100	366.0	366.0
2200	413.0	413.0
2300	397.0	397.0
2400	379.0	379.0
2500	417.0	417.0
2600	398.0	398.0
2700	417.0	417.0
2800	409.0	409.0
2900	468.0	468.0
3000	458.0	458.0
3100	445.0	445.0
3200	463.0	463.0
3300	484.0	484.0
3400	478.0	478.0
3500	503.0	503.0
3600	487.0	487.0
3700	509.0	509.0
3800	519.0	519.0
3900	550.0	550.0
4000	513.0	513.0
4100	524.0	524.0
4200	516.0	516.0
4300	527.0	527.0
4400	534.0	534.0
4500	538.0	538.0
4600	545.0	545.0
4700	553.0	553.0
4800	582.0	582.0
4900	566.0	566.0
5000	588.0	588.0
5100	580.0	580.0
5200	590.0	590.0
5300	594.0	594.0
5400	587.0	587.0
5500	610.0	610.0
5600	600.0	600.0
5700	607.0	607.0
5800	609.0	609.0
5900	653.0	653.0
6000	641.0	641.0
6100	610.0	610.0
6200	620.0	620.0
6300	655.0	655.0
6400	638.0	638.0
6500	669.0	669.0
6600	666.0	666.0
6700	663.0	663.0
6800	651.0	651.0
6900	663.0	663.0
7000	660.0	660.0
7100	645.0	645.0
7200	689.0	689.0
7300	687.0	687.0
7400	678.0	678.0
7500	697.0	697.0
7600	694.0	694.0
7700	690.0	690.0
7800	690.0	690.0
7900	660.0	660.0
8000	689.0	689.0
8100	713.0	713.0
8200	697.0	697.0
8300	707.0	707.0
8400	691.0	691.0
8500	697.0	697.0
8600	699.0	699.0
8700	700.0	700.0
8800	680.0	680.0
8900	710.0	710.0
9000	743.0	743.0
9100	788.0	788.0
9200	772.0	772.0
9300	796.0	796.0
9400	783.0	783.0
9500	784.0	784.0
9600	784.0	784.0
9700	778.0	778.0
9800	762.0	762.0
9900	803.0	803.0
10000	771.0	771.0
10100	778.0	778.0
10200	778.0	778.0
10300	782.0	782.0
10400	803.0	803.0
10500	770.0	770.0
10600	760.0	760.0
10700	787.0	787.0
10800	816.0	816.0
10900	799.0	799.0
11000	816.0	816.0
11100	798.0	798.0
11200	833.0	833.0
11300	837.0	837.0
11400	788.0	788.0
11500	781.0	781.0
11600	800.0	800.0
11700	802.0	802.0
11800	786.0	786.0
11900	810.0	810.0
12000	812.0	812.0
12100	827.0	827.0
12200	841.0	841.0
12300	889.0	889.0
12400	874.0	874.0
12500	858.0	858.0
12600	855.0	855.0
12700	856.0	856.0
12800	887.0	887.0
12900	883.0	883.0
13000	889.0	889.0
13100	893.0	893.0
13200	885.0	885.0
13300	884.0	884.0
13400	891.0	891.0
13500	902.0	902.0
13600	929.0	929.0
13700	915.0	915.0
13800	887.0	887.0
13900	901.0	901.0
14000	912.0	912.0
14100	933.0	933.0
14200	908.0	908.0
14300	916.0	916.0
14400	928.0	928.0
14500	953.0	953.0
14600	957.0	957.0
14700	966.0	966.0
14800	993.0	993.0
14900	982.0	982.0
15000	975.0	975.0
15100	956.0	956.0
15200	1008.0	1008.0
15300	997.0	997.0
15400	982.0	982.0
15500	983.0	983.0
15600	1002.0	1002.0
15700	978.0	978.0
15800	964.0	964.0
15900	961.0	961.0
16000	974.0	974.0
16100	992.0	992.0
16200	1026.0	1026.0
16300	1019.0	1019.0
16400	1031.0	1031.0
16500	1027.0	1027.0
16600	1044.0	1044.0
16700	1039.0	1039.0
16800	1037.0	1037.0
16900	1058.0	1058.0
17000	1053.0	1053.0
17100	1089.0	1089.0
17200	1050.0	1050.0
17300	1056.0	1056.0
17400	1043.0	1043.0
17500	1047.0	1047.0
17600	1043.0	1043.0
17700	1061.0	1061.0
17800	1073.0	1073.0
17900	1069.0	1069.0
18000	1070.0	1070.0
18100	1060.0	1060.0
18200	1068.0	1068.0
18300	1039.0	1039.0
18400	1063.0	1063.0
18500	1031.0	1031.0
18600	1058.0	1058.0
18700	1099.0	1099.0
18800	1062.0	1062.0
18900	1082.0	1082.0
19000	1090.0	1090.0
19100	1092.0	1092.0
19200	1102.0	1102.0
19300	1103.0	1103.0
19400	1076.0	1076.0
19500	1079.0	1079.0
19600	1095.0	1095.0
19700	1077.0	1077.0
19800	1070.0	1070.0
19900	1095.0	1095.0
20000	1122.0	1122.0
20100	1150.0	1150.0
20200	1128.0	1128.0
20300	1085.0	1085.0
20400	1111.0	1111.0
20500	1139.0	1139.0
20600	1132.0	1132.0
20700	1140.0	1140.0
20800	1116.0	1116.0
20900	1109.0	1109.0
21000	1114.0	1114.0
21100	1115.0	1115.0
21200	1128.0	1128.0
21300	1149.0	1149.0
21400	1145.0	1145.0
21500	1158.0	1158.0
21600	1156.0	1156.0
21700	1147.0	1147.0
21800	1161.0	1161.0
21900	1139.0	1139.0
22000	1152.0	1152.0
22100	1168.0	1168.0
22200	1147.0	1147.0
22300	1174.0	1174.0
22400	1168.0	1168.0
22500	1169.0	1169.0
22600	1190.0	1190.0
22700	1192.0	1192.0
22800	1171.0	1171.0
22900	1193.0	1193.0
23000	1186.0	1186.0
23100	1184.0	1184.0
23200	1175.0	1175.0
23300	1184.0	1184.0
23400	1193.0	1193.0
23500	1201.0	1201.0
23600	1184.0	1184.0
23700	1190.0	1190.0
23800	1206.0	1206.0
23900	1184.0	1184.0
24000	1209.0	1209.0
24100	1216.0	1216.0
24200	1220.0	1220.0
24300	1249.0	1249.0
24400	1220.0	1220.0
24500	1244.0	1244.0
24600	1212.0	1212.0
24700	1239.0	1239.0
24800	1235.0	1235.0
24900	1233.0	1233.0
25000	1236.0	1236.0
25100	1257.0	1257.0
25200	1241.0	1241.0
25300	1243.0	1243.0
25400	1239.0	1239.0
25500	1227.0	1227.0
25600	1251.0	1251.0
25700	1290.0	1290.0
25800	1283.0	1283.0
25900	1273.0	1273.0
26000	1306.0	1306.0
26100	1287.0	1287.0
26200	1290.0	1290.0
26300	1293.0	1293.0
26400	1290.0	1290.0
26500	1306.0	1306.0
26600	1291.0	1291.0
26700	1309.0	1309.0
26800	1297.0	1297.0
26900	1310.0	1310.0
27000	1317.0	1317.0
27100	1311.0	1311.0
27200	1320.0	1320.0
27300	1315.0	1315.0
27400	1325.0	1325.0
27500	1331.0	1331.0
27600	1333.0	1333.0
27700	1325.0	1325.0
27800	1329.0	1329.0
27900	1345.0	1345.0
28000	1339.0	1339.0
28100	1362.0	1362.0
28200	1378.0	1378.0
28300	1372.0	1372.0
28400	1366.0	1366.0
28500	1356.0	1356.0
28600	1350.0	1350.0
28700	1345.0	1345.0
28800	1348.0	1348.0
28900	1357.0	1357.0
29000	1358.0	1358.0
29100	1344.0	1344.0
29200	1340.0	1340.0
29300	1352.0	1352.0
29400	1357.0	1357.0
29500	1352.0	1352.0
29600	1351.0	1351.0
